,FUNCTION,BugsDelivered,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,CoverageEstimation,SCALAR_INPUT,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,min_Slack
12,astar,4.51241,1208197.47,1659,0.01,13537.23,67122.08,1064,90,1,1,3,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,13,0,57,4,11,15,13,17,0,45,1,20,24,15,28,22,0,48,0,29,25,10,20,26,2,44,1,17,1.11022e-16
13,astar,5.07118,1510642.79,1861,0.01,15213.54,83924.6,1190,90,1,1,3,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43,14,3,71,0,13,24,16,33,0,47,0,29,19,19,16,0,0,43,10,13,26,15,14,0,0,48,1,19,1.11022e-16
14,astar,5.020056667,1482121.59,1840,0.01,15060.17,82340.09,1169,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,12,0,63,0,29,18,2,36,0,76,0,18,2,0,19,27,0,57,0,18,16,10,22,4,0,59,0,9,1.11022e-16
15,astar,2.82943,607731.62,1076,0.01,8488.29,33762.87,705,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,14,0,15,4,15,10,7,14,4,15,2,2,7,6,10,14,0,12,4,12,6,2,8,6,2,3,2,5,1.11022e-16
16,astar,2.134183333,501352.32,851,0.01,6402.55,27852.91,571,90,1,1,3,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
17,astar,5.020056667,1482121.59,1840,0.01,15060.17,82340.09,1169,90,1,1,3,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,24,1,60,0,18,50,16,25,0,45,0,25,27,37,26,15,0,74,11,29,31,19,8,14,15,47,0,17,1.11022e-16
18,astar,2.249233333,510942.27,887,0.01,6747.7,28385.68,591,90,1,1,3,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,1,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1.11022e-16
19,astar,2.850466667,612250.07,1084,0.01,8551.4,34013.89,713,90,1,1,3,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,5,0,18,1,9,13,4,16,1,9,0,4,12,2,12,9,1,1,6,11,9,4,8,9,3,1,4,6,1.11022e-16
20,astar,2.355813333,522629.43,922,0.01,7067.44,29034.97,615,90,1,1,3,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,4,0,7,2,0,4,1,0,1,0,2,2,4,3,1,0,0,0,0,1,0,1,1,0,0,0,1.11022e-16
21,astar,4.542476667,1205291.37,1668,0.01,13627.43,66960.63,1073,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,46,1,0,53,0,26,25,22,18,0,52,0,16,21,21,28,10,0,35,0,37,21,6,24,28,0,49,0,21,1.11022e-16
22,astar,2.860353333,590212.87,1082,0.01,8581.06,32789.6,711,90,1,1,3,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,5,1,16,4,20,16,8,14,0,3,0,0,10,5,8,7,0,6,3,8,7,7,5,5,1,2,2,4,1.11022e-16
23,astar,2.85343,595475.25,1081,0.01,8560.29,33081.96,710,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,4,0,20,4,8,11,6,11,2,10,0,2,13,4,11,9,0,6,6,7,11,4,5,4,1,1,0,2,1.11022e-16
24,astar,2.886826667,579400.45,1088,0.01,8660.48,32188.91,717,90,1,1,3,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,0,4,12,4,15,6,5,15,3,6,0,5,11,3,12,12,0,2,3,15,10,3,6,6,2,0,1,3,1.11022e-16
25,astar,4.53442,1187111.4,1662,0.01,13603.26,65950.63,1067,90,1,1,3,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30,0,10,54,2,12,28,20,12,2,48,0,21,23,27,27,21,0,44,2,26,13,39,39,1,0,24,0,13,1.11022e-16
26,astar,2.131953333,505108.99,851,0.01,6395.86,28061.61,571,90,1,1,3,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
27,astar,3.03231,639553.43,1142,0.01,9096.93,35530.75,750,90,1,1,3,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,4,4,32,0,22,11,10,25,1,22,0,1,14,6,16,11,0,7,5,14,9,4,17,5,4,1,3,6,1.11022e-16
28,astar,3.007566667,648431.12,1136,0.01,9022.7,36023.95,744,90,1,1,3,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,9,0,28,10,22,12,21,13,6,12,0,0,9,6,11,12,3,17,6,13,14,13,8,3,0,6,1,9,1.11022e-16
29,astar,2.878856667,594031.25,1089,0.01,8636.57,33001.74,718,90,1,1,3,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,10,0,15,2,13,8,6,12,2,3,0,3,5,8,8,7,0,4,0,8,7,3,6,6,2,0,1,3,1.11022e-16
30,astar,2.12721,508329.48,850,0.01,6381.63,28240.53,570,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
31,astar,4.518036667,1188102.4,1657,0.01,13554.11,66005.69,1062,90,1,1,3,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,12,0,61,0,21,17,7,22,0,50,3,10,14,36,12,9,0,48,0,13,23,21,15,17,0,37,0,14,1.11022e-16
32,astar,6.279443333,2269613.28,2292,0.01,18838.33,126089.63,1445,90,1,1,3,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,10,0,54,2,37,31,29,6,0,69,0,33,6,47,9,24,21,59,0,30,38,29,63,19,0,55,0,31,1.11022e-16
33,astar,2.88304,572385.05,1085,0.02,8649.12,31799.17,714,90,1,1,3,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,12,0,15,0,12,7,5,11,2,2,0,8,8,4,10,9,0,1,0,6,3,2,5,8,1,0,0,3,1.11022e-16
34,astar,3.069043333,643802.54,1155,0.01,9207.13,35766.81,763,90,1,1,3,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,1,0,19,11,22,19,9,15,0,10,0,0,14,13,13,6,0,13,4,14,11,5,11,3,0,3,0,2,1.11022e-16
35,astar,2.13669,501941.45,852,0.01,6410.07,27885.64,572,90,1,1,3,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
36,astar,4.50425,1206012.66,1656,0.01,13512.75,67000.7,1061,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,23,0,63,14,40,25,29,36,16,62,0,10,25,15,27,36,0,49,0,33,10,27,24,14,0,45,1,18,1.11022e-16
37,astar,3.02505,624447.27,1136,0.01,9075.15,34691.51,744,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,1,0,25,7,24,6,5,7,0,7,0,11,6,6,12,6,0,12,2,14,7,4,13,4,1,4,0,4,1.11022e-16
38,astar,2.267306667,519071.67,895,0.01,6801.92,28837.32,599,90,1,1,3,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
39,astar,6.259083333,2301942.57,2290,0.01,18777.25,127885.7,1443,90,1,1,3,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,12,3,54,26,19,54,29,34,21,70,0,47,19,12,19,3,0,67,2,37,13,33,27,41,2,66,0,25,1.11022e-16
40,astar,4.52608,1206374.42,1663,0.01,13578.24,67020.8,1068,90,1,1,3,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,35,0,53,0,36,18,14,41,7,40,0,23,19,26,35,17,0,56,26,19,19,11,11,2,0,33,0,24,1.11022e-16
41,astar,6.28844,2292628.98,2298,0.01,18865.32,127368.28,1451,90,1,1,3,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,0,0,79,0,33,34,36,27,5,46,0,34,21,27,35,20,0,63,0,10,21,21,13,3,9,74,0,15,1.11022e-16
42,astar,4.520783333,1178304.12,1656,0.01,13562.35,65461.34,1061,90,1,1,3,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,3,0,55,0,30,28,17,34,13,48,0,17,19,21,14,20,3,48,8,21,16,10,14,12,0,42,5,19,1.11022e-16
43,astar,2.860113333,607220.34,1086,0.01,8580.34,33734.46,715,90,1,1,3,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,19,4,16,6,14,13,1,9,0,9,7,4,9,8,0,5,3,7,5,3,6,6,1,2,0,7,1.11022e-16
44,astar,4.449886667,1180723.08,1634,0.01,13349.66,65595.73,1039,90,1,1,3,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,49,6,3,91,0,27,27,12,9,0,55,1,21,2,33,11,26,5,54,9,20,21,17,26,0,0,41,14,29,1.11022e-16
45,astar,4.496143333,1198394.79,1652,0.01,13488.43,66577.49,1057,90,1,1,3,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,18,8,53,0,16,13,15,6,0,57,0,19,14,24,15,19,0,51,0,31,25,6,29,10,3,42,0,29,1.11022e-16
46,astar,6.279916667,2319778.59,2299,0.01,18839.75,128876.59,1452,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,3,3,58,0,23,8,23,44,0,51,0,35,23,18,9,25,9,56,0,18,28,9,16,21,0,73,3,31,1.11022e-16
47,astar,2.131953333,505108.99,851,0.01,6395.86,28061.61,571,90,1,1,3,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022e-16
48,astar,4.50166,1189104.16,1652,0.01,13504.98,66061.34,1057,90,1,1,3,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,45,13,0,78,0,13,11,14,13,0,32,0,17,25,14,33,8,0,32,0,4,13,10,16,15,0,38,0,28,1.11022e-16
49,astar,4.496223333,1177111.67,1648,0.01,13488.67,65395.09,1053,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,10,0,54,0,24,33,9,20,0,49,0,21,17,14,17,8,0,42,0,23,28,32,29,1,0,32,0,19,1.11022e-16
50,astar,2.87357,592940.28,1087,0.01,8620.71,32941.13,716,90,1,1,3,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,9,0,20,4,21,9,3,19,0,5,0,8,16,2,11,8,0,0,3,18,10,6,9,6,1,1,1,2,1.11022e-16
51,astar,4.496023333,1209307.02,1654,0.01,13488.07,67183.72,1059,90,1,1,3,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,28,11,0,62,0,12,26,10,24,0,33,0,18,23,26,13,26,8,44,0,15,12,20,22,4,0,43,0,25,1.11022e-16
52,astar,3.036686667,654709.94,1147,0.01,9110.06,36372.77,755,90,1,1,3,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,25,0,7,15,13,21,0,10,0,11,18,0,10,9,4,9,11,16,6,5,9,6,0,3,2,1,1.11022e-16
53,astar,5.017923333,1468438.73,1837,0.01,15053.77,81579.93,1166,90,1,1,3,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,19,28,20,78,23,29,11,39,36,0,58,0,16,14,21,21,22,6,60,0,33,24,18,36,12,2,50,0,26,1.11022e-16
54,astar,4.534396667,1192404.52,1663,0.01,13603.19,66244.7,1068,90,1,1,3,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,28,14,0,66,2,21,24,15,17,0,49,0,17,27,24,21,2,1,41,0,24,23,20,23,4,0,38,6,7,1.11022e-16
55,astar,2.273546667,504727.72,894,0.01,6820.64,28040.43,598,90,1,1,3,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,2,1,1,0,0,0,2,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1.11022e-16
56,astar,6.262823333,2293259.68,2290,0.01,18788.47,127403.32,1443,90,1,1,3,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,19,0,63,0,24,41,25,17,0,58,0,7,28,31,27,15,0,60,0,27,36,19,38,13,0,65,0,19,1.11022e-16
57,astar,5.05791,1499963.99,1855,0.01,15173.73,83331.33,1184,90,1,1,3,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,39,2,0,55,5,21,31,38,31,0,57,0,27,27,29,37,12,0,39,0,22,7,34,23,17,7,55,0,19,1.11022e-16
58,astar,4.520753333,1167960.25,1654,0.01,13562.26,64886.68,1059,90,1,1,3,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,12,18,58,3,12,36,19,27,11,46,3,15,5,23,21,7,2,42,0,26,34,22,30,6,0,44,1,28,1.11022e-16
59,astar,6.314353333,2342821.18,2313,0.01,18943.06,130156.73,1466,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,2,0,75,0,32,12,41,17,19,52,14,19,25,41,12,46,0,57,0,27,8,20,35,0,3,73,0,19,1.11022e-16
60,astar,2.87935,597489.22,1090,0.01,8638.05,33193.85,719,90,1,1,3,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,0,25,7,14,10,6,7,5,0,0,7,7,6,5,6,0,10,2,6,4,2,9,5,5,1,0,10,1.11022e-16
61,astar,2.86248,587352.27,1082,0.01,8587.44,32630.68,711,90,1,1,3,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,9,0,26,0,8,9,5,10,5,3,0,3,16,9,15,7,0,8,9,14,3,1,9,4,2,0,2,6,1.11022e-16
62,astar,2.26629,506956.98,892,0.01,6798.87,28164.28,596,90,1,1,3,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,2,1,3,2,1,2,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1.11022e-16
63,astar,3.00793,630982.23,1132,0.01,9023.79,35054.57,740,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,12,8,24,0,12,13,13,23,2,10,0,7,9,5,10,10,0,8,3,17,7,7,9,8,7,4,0,5,1.11022e-16
64,astar,2.26883,507525.32,893,0.01,6806.49,28195.85,597,90,1,1,3,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,1,2,1,1,0,2,0,0,1,0,1,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,1.11022e-16
65,astar,2.343036667,519795.21,917,0.01,7029.11,28877.51,610,90,1,1,3,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,1,2,0,8,4,0,4,1,0,0,0,1,3,1,3,1,0,0,0,0,1,1,1,1,0,0,0,1.11022e-16
66,astar,2.867773333,588437.94,1084,0.01,8603.32,32691.0,713,90,1,1,3,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6,1,22,0,14,10,6,10,0,6,0,3,10,7,7,8,0,1,2,8,6,1,4,3,1,3,1,2,1.11022e-16
67,astar,2.278633333,505856.86,896,0.01,6835.9,28103.16,600,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,1,0,0,0,2,0,2,1,0,0,0,1,1,2,3,0,0,0,1,0,0,0,1,0,0,0,0,1.11022e-16
68,astar,2.861826667,600640.53,1085,0.01,8585.48,33368.92,714,90,1,1,3,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,2,0,21,0,11,10,6,14,4,9,0,7,9,2,13,8,0,3,3,18,8,7,7,6,1,3,0,3,1.11022e-16
69,astar,3.036683333,633589.54,1142,0.01,9110.05,35199.42,750,90,1,1,3,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,13,0,20,0,24,6,8,15,3,15,0,3,6,11,12,11,5,5,4,11,6,2,9,9,4,1,0,5,1.11022e-16
70,astar,4.47705,1198729.98,1646,0.01,13431.15,66596.11,1051,90,1,1,3,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,49,21,0,57,10,33,12,21,22,0,46,0,28,31,4,18,0,0,43,3,37,13,33,6,12,0,41,0,20,1.11022e-16
71,astar,3.051176667,626508.6,1145,0.01,9153.53,34806.03,753,90,1,1,3,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,12,8,26,0,23,11,6,21,3,13,0,8,13,1,19,9,4,7,8,12,7,5,10,6,4,2,1,1,1.11022e-16
72,astar,2.36528,517179.5,924,0.01,7095.84,28732.19,617,90,1,1,3,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,9,2,0,3,1,2,0,3,2,0,2,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.11022e-16
