inputName,size,arr[size]
values_57,22,"{-41, -70, 10, -115, -53, -85, 81, -124, -40, -73, 21, -1, -63, -20, -27, -65, -74, -26, 13, 39, 28, 112"
values_88,26,"{-56, -30, -58, 20, 38, -45, -34, 124, -86, 36, 91, 25, 124, -78, -24, 114, 7, 105, 28, -15, 87, 25, -13, 52, -114, -123"
values_23,3,"{56, 2, -120"
values_45,7,"{-120, 119, 69, 91, 64, -51, -93"
values_66,26,"{-106, 84, -53, 96, 13, 73, 98, -29, -24, -118, -62, -123, -73, 100, 117, 100, 53, 103, 95, 126, -81, 85, 112, -121, 58, 21"
values_36,19,"{35, -96, 58, -37, 54, 7, -31, 49, 29, -69, 110, 0, 68, 101, 59, -119, 38, -24, 110"
values_56,12,"{31, 1, -91, -111, 18, 92, -16, -21, 40, -2, -1, -20"
values_26,10,"{45, -47, 87, -113, -71, -27, 125, -35, 12, 46"
values_43,20,"{-45, -63, 70, -24, 46, -72, -32, -56, -57, 118, 17, 3, 123, 4, -44, -33, -2, 49, 101, 107"
values_52,9,"{126, 4, 124, 64, -51, -109, -17, -67, 84"
values_98,15,"{108, -111, 72, 68, 112, 50, -11, 36, -14, -14, -11, 67, -42, 33, 115"
values_61,9,"{-115, 42, 97, 49, -97, -41, -103, -44, 45"
values_44,17,"{75, 47, 39, -99, 73, 74, 17, -29, -124, 14, 92, 55, -120, 104, -17, -72, 26"
values_68,19,"{-7, 112, -91, -14, -117, 104, -96, 29, -102, -48, -18, -45, -116, -21, -96, -52, 93, -93, -87"
values_41,27,"{68, 27, 94, 11, -9, 67, -74, -109, -7, -86, -92, -14, -25, 38, -71, -31, 64, -69, 53, 19, -77, 39, 68, 3, -71, 108, -8"
values_85,22,"{-103, -52, -79, 108, -28, -123, 34, -35, 121, -99, 109, -105, 114, -40, 117, 82, 30, -56, 117, -14, 76, -1"
values_79,27,"{-7, 117, 57, 33, 125, -110, -3, -62, 126, -2, 9, 11, -64, -4, -122, -91, -92, 46, 108, -77, -94, 38, 79, -32, 96, 92, -75"
values_71,28,"{110, 40, -12, -75, 61, 79, 89, -113, 21, 78, -94, -110, -22, 25, 14, 110, -53, 104, -22, -108, -70, 116, 63, 102, -100, -114, 74, -3"
values_63,7,"{-76, 21, 32, -79, 67, -105, -69"
values_20,25,"{25, 57, 74, 110, 5, 17, 92, -14, 0, -119, 55, 88, -124, -113, 107, -45, -67, 48, 52, -102, -87, 24, 0, 84, 92"
values_74,11,"{16, 82, 120, -62, -43, 33, 32, -91, -57, 11, 41"
values_72,14,"{-40, 121, -118, -90, -106, -3, -53, -38, -118, 51, 74, -73, -72, -11"
values_86,24,"{54, 2, -120, -119, -99, -100, -70, -44, 69, -110, 60, -52, 111, 95, -13, -9, -87, -109, -77, 76, 8, 40, 57, 8"
values_75,16,"{82, -111, -32, -104, -4, -123, 79, -10, -33, 40, -4, 31, -4, 77, -121, 124"
values_55,25,"{-73, 109, -1, 70, 95, -4, -84, 18, -19, 36, 81, 59, -111, -73, -79, -102, 32, -5, -74, -6, -47, -53, -1, -45, -108"
values_14,19,"{97, 84, -90, 25, 30, 36, 112, 23, 18, -98, -35, -61, -101, 57, 21, -108, -58, -2, -48"
values_47,4,"{77, 14, -75, -126"
values_91,21,"{-91, 13, -79, -44, -30, -35, -97, 70, 8, -9, -119, 16, -76, -69, -104, -28, 62, 40, 87, 121, 102"
values_64,18,"{-27, 103, 42, 81, 90, -118, -76, -52, -43, -20, 90, 1, 68, 113, 94, 5, -123, -54"
values_11,28,"{-94, 66, 14, -32, -82, 58, 125, 16, -83, 92, 36, -22, -104, 3, -3, -124, 104, -69, 32, -120, -94, -82, 19, 65, 86, -47, -85, -49"
values_49,25,"{7, -8, -73, 89, 66, -7, -52, 79, 48, -69, -83, 85, -101, 37, -121, -30, 74, -54, 20, -99, 97, 38, 78, -52, -25"
values_62,25,"{30, -35, 36, -43, -5, 81, -111, 63, -17, -26, -27, 14, -41, -67, -72, 56, 50, -17, -31, 64, 8, -7, 33, -58, 54"
values_80,9,"{-66, -125, 18, 81, -22, -57, 60, -76, -73"
values_39,15,"{94, 38, 13, 91, -53, 56, -73, -63, -116, -126, 117, -14, 70, 108, 69"
values_90,28,"{-76, -113, -10, -71, -47, -82, -14, 118, -24, 5, 2, -81, -6, 110, -121, -56, 61, 16, 32, -104, 83, 30, -73, 107, 90, 81, -88, -69"
values_53,28,"{-70, 51, 103, -7, -78, 86, 85, 114, -95, 43, 11, -90, 85, -45, 89, 74, -14, -43, -47, -67, -40, 13, 54, -102, 20, 61, 50, 105"
values_94,25,"{101, 51, 110, 114, -70, -109, -45, 23, 7, 46, 4, 107, 124, -109, -76, -40, -110, -82, 17, -27, 37, 27, 79, -30, 8"
values_7,3,"{-24, 72, -87"
values_31,16,"{9, 73, 8, 60, -8, 19, -62, -59, 92, -95, -115, 53, 82, -82, -33, 68"
values_93,25,"{-27, -12, 113, 50, 18, -2, -66, 54, -59, -12, -52, -31, -89, 100, -73, 40, 29, 89, -73, -7, -61, -116, 106, -118, 5"
values_38,4,"{34, -8, 116, -73"
values_58,19,"{24, -86, 115, 101, 20, 10, 113, 124, 47, 125, -100, -70, -46, -96, -98, 121, -10, -1, 123"
values_78,22,"{-126, 109, 38, 7, 111, -40, -82, -105, 63, 72, 67, 44, -20, 80, -92, -25, 17, 109, -96, -32, -122, -82"
values_50,6,"{11, -123, -21, -54, 12, -27"
values_3,21,"{66, -83, -52, 5, 124, -41, 108, -37, 14, -90, 121, 94, 111, 115, -84, 99, -10, 77, -100, 100, 120"
values_13,18,"{113, -45, -120, -74, -115, -78, 126, 48, 89, -105, 65, 46, -36, -114, -39, 101, -61, -51"
values_83,25,"{101, 15, -124, -62, 51, -16, -18, -95, 41, 13, -62, 67, -53, 113, -117, -116, 82, 96, -21, -111, 126, -101, 25, 77, -114"
values_1,19,"{96, 21, 29, 81, -124, 58, 61, -79, 116, -37, 22, -109, 45, 37, 84, -40, -1, 119, -22"
values_21,23,"{1, -34, 85, -71, -17, -12, 22, -105, 117, 23, -39, 109, -91, 6, -11, -86, 74, 96, -57, -59, -64, -49, -89"
values_32,21,"{-118, 121, 65, 9, 74, -116, -124, 71, -79, 65, -21, -5, -33, 74, 58, -111, -68, 3, 100, 84, 76"
values_22,5,"{-57, 7, 95, 53, 94"
values_9,4,"{91, 104, -97, -52"
values_6,7,"{69, -100, 49, -105, -82, 65, -87"
values_76,14,"{31, 92, -64, -85, -15, 29, 81, 76, 69, 77, -43, 5, 6, -55"
values_18,3,"{109, -25, 51"
values_16,9,"{-115, -62, -60, -65, -95, -15, 71, -100, -110"
values_40,5,"{5, -121, -15, -72, -6"
values_2,21,"{69, -31, -1, -25, -125, 118, -44, 8, 125, 45, -88, 47, -92, -112, 85, -114, 117, 117, 59, -21, 66"
values_60,9,"{-108, 55, -9, -58, -30, -13, -75, -60, 57"
values_99,5,"{92, -19, -31, 23, 50"
values_48,28,"{55, 44, 83, -54, 66, 25, -107, -45, 87, -59, -9, 10, -86, -82, 119, -104, -16, -106, -34, 8, -91, -124, -2, -48, -98, -120, 49, 67"
values_69,17,"{-55, 120, -22, -40, 61, 3, 19, -110, -111, 66, 16, 116, -117, -106, 77, -12, 2"
values_46,20,"{-126, -80, 77, -71, 41, -34, 71, 102, 112, 107, 48, -34, -105, -52, 33, -59, -108, -100, 68, 102"
values_24,25,"{-8, 101, -44, -37, 17, 1, 123, -80, -6, 112, -48, 4, -111, 47, -119, -116, -117, 71, 90, -58, 119, -52, -80, 113, -105"
values_95,13,"{89, -29, -80, 101, 38, 114, -103, -125, 73, -76, 121, -104, 54"
values_42,25,"{-20, -125, 21, -13, 95, 44, -6, 4, 30, 109, 101, 2, 2, -6, 123, -54, -3, 20, -97, -48, -69, -109, -70, 5, 90"
values_37,12,"{26, 105, -21, -13, -89, 24, 116, -124, 105, -14, -99, -82"
values_10,15,"{-20, 4, -117, -17, 10, 90, -72, 51, 6, 38, -35, 122, -96, -92, -6"
values_67,20,"{-27, 32, 85, 24, -41, 64, 25, -110, -31, -126, 96, -105, 95, -104, -90, 67, -3, 99, 43, -1"
values_35,5,"{-21, 31, -72, -54, -99"
values_30,8,"{121, -85, 93, -15, 13, 38, 6, -70"
values_4,27,"{81, 108, -69, -112, 100, -29, 44, -84, 15, 0, 9, 37, -115, 66, -112, -38, -46, -51, 79, -120, -22, -105, 24, 115, -34, -5, -3"
