inputName,dim,a[dim]
values_97,24,"{67, 33, 108, 117, 88, 83, -68, -33, -24, -35, 122, 0, -111, -47, 21, -3, 117, 104, -26, 78, 127, -2, -111, 37"
values_81,16,"{-107, 60, 127, 72, -78, 66, 27, 59, -105, 68, -85, 25, 93, 122, 55, -3"
values_8,5,"{-72, -97, 23, -57, -29"
values_73,9,"{-11, 95, -82, 24, -127, 58, 124, -80, -16"
values_89,28,"{71, 40, 28, 30, -58, 69, -107, -81, -118, -100, 57, 97, 54, -80, -63, 76, 92, 78, -107, 10, 8, 96, -110, 25, 13, -88, 25, 115"
values_82,4,"{76, 126, -118, -110"
values_34,20,"{4, -47, 49, -17, 24, 26, 34, -120, -39, -84, -18, -117, 61, 120, -103, -40, 53, 40, -127, 51"
values_70,7,"{-32, -7, -96, 25, 118, 39, 22"
values_29,28,"{54, 65, 30, -32, -113, 1, -103, 107, 81, 15, 13, 76, 114, -3, 25, 83, 51, -53, -16, 37, -31, 111, 28, -45, -108, -25, 71, -30"
values_51,7,"{39, 23, -119, 13, -48, -73, 40"
values_57,7,"{-57, 29, 89, -62, 87, -114, 87"
values_88,3,"{-28, 37, 4"
values_23,24,"{-16, -22, 86, 90, 98, 94, -92, -61, 85, 118, 119, 100, 121, -49, -27, 53, -58, -124, -121, -6, -87, -85, 46, 1"
values_45,9,"{-101, -91, -56, 57, -89, -68, 62, -32, 74"
values_66,18,"{-78, 119, 73, -61, 36, 91, 38, -45, -24, -99, -18, 72, -85, 89, -84, -77, 42, -50"
values_36,9,"{-34, 57, -20, 47, -18, -43, 10, -68, 7"
values_56,19,"{62, 80, -87, -113, 80, 19, -74, -102, -14, -88, -3, -98, -49, 6, -120, -109, -2, 5, -92"
values_26,28,"{16, 30, -89, 93, -68, 126, -18, -15, -83, -106, -47, -116, 96, 0, 125, -31, 68, -108, -96, 106, 66, 13, -88, -93, -94, -91, 71, 19"
values_43,10,"{-45, 105, 43, 122, -49, -74, -28, -83, -14, 4"
values_52,19,"{70, 40, 94, 7, 90, 65, 118, 35, -55, -78, 18, -64, -21, 23, 83, -70, -72, 92, 60"
values_98,25,"{46, -15, 60, -84, -44, 88, 42, 109, -89, 36, -96, -106, -14, 12, 16, -44, 74, 39, -17, 68, -54, -108, -97, 27, -26"
values_61,9,"{-2, 23, 46, 55, -105, -83, 55, 24, 105"
values_44,27,"{-19, -62, 11, -38, -26, 113, -109, -127, 98, -92, -104, 17, -119, 83, 9, 97, -122, 8, -82, 10, 67, 77, -98, -104, 95, 93, 16"
values_68,26,"{-118, 27, 32, -95, -108, -127, 60, 86, 65, 27, 117, -70, 7, 117, 99, -105, -113, -64, -14, 88, -116, -16, -5, 127, -28, 120"
values_41,4,"{23, 118, 125, -84"
values_85,7,"{-36, 11, -71, -109, 103, -48, 58"
values_79,5,"{3, -127, -46, -20, 106"
values_71,20,"{24, 101, 116, 13, 118, -50, 89, 23, -10, 40, -122, 67, 73, -115, 110, -46, -62, 110, 55, 15"
values_63,3,"{-115, -105, 28"
values_20,8,"{44, -40, -20, 20, -85, 73, 18, -84"
values_74,7,"{20, 59, -24, -49, -45, -52, -104"
values_72,17,"{42, -102, -64, 32, 47, 3, 29, -5, 6, -40, -125, -14, 73, 88, 71, -5, 71"
values_86,26,"{-9, -88, -5, -107, -34, 12, -54, -46, 30, 95, -126, 66, -6, -24, -45, -100, -53, 38, 127, 98, 91, 37, -82, 106, 93, -55"
values_75,2,"{-79, 123"
values_55,12,"{-57, -76, -95, 46, -25, -33, -96, -106, 41, -14, 22, 32"
values_14,6,"{11, 19, 0, 112, -82, 45"
values_47,17,"{-18, -88, 99, -26, -32, 110, -87, 22, 34, 42, -23, 82, -33, -123, 23, 76, -26"
values_91,27,"{-120, -51, -88, 68, 114, 116, -121, 10, -101, 124, -41, -100, 24, -91, -8, -73, 21, 76, 73, 46, 91, -95, 98, -90, 119, -102, 59"
values_64,12,"{-9, -103, 71, -34, -87, -5, 96, 103, 119, 70, 57, 113"
values_11,21,"{-66, 122, -68, -21, 76, 39, 99, -3, 4, -50, -5, -2, 70, 17, -123, 22, 58, -117, -75, 55, 44"
values_49,5,"{-47, -98, 70, 71, -93"
values_62,14,"{78, 22, 124, 120, 85, -111, -66, 5, -19, -31, 48, 65, 26, 49"
values_80,17,"{81, 117, 109, 48, -105, -22, 126, 59, -83, 5, -52, -81, -20, -21, 2, 101, 124"
values_39,13,"{-115, 46, -103, -73, -4, 45, 86, -29, 34, 85, 61, 43, 107"
values_90,21,"{113, -32, 72, 35, 1, 70, 18, 124, 9, 91, -22, 94, -74, 13, -11, 53, -77, 76, -78, 49, 84"
values_53,21,"{24, 37, -112, -26, -14, 60, -14, 3, 43, 70, 89, -45, -57, 85, 111, -88, 96, -125, -95, -73, 125"
values_94,3,"{-36, 68, 80"
values_7,15,"{-77, -17, 72, 96, 29, -2, -80, 28, -7, 50, -23, -72, 114, 83, 126"
values_31,14,"{-51, -76, -43, -107, -123, 112, 15, 73, 112, -52, 13, -89, 95, 34"
values_93,13,"{-11, -126, -113, 24, 70, 65, -115, -45, -118, 126, -69, -125, -109"
values_38,23,"{66, -36, 86, -37, 46, -66, 0, -71, -33, -70, 70, -88, 28, -112, 60, 17, -48, -88, -96, 47, -27, -96, -118"
values_58,27,"{46, 39, -57, 100, -44, 103, -81, -58, -69, -91, -22, 50, 6, 118, -3, -40, -118, 53, 92, -109, -63, 22, 5, -29, -94, -100, -41"
values_78,14,"{71, 122, -19, 57, -29, 41, -25, -58, -28, 53, 56, -6, 84, -28"
values_50,13,"{-31, 97, 75, 66, -82, -52, -27, 16, 100, 26, 91, 31, 67"
values_3,15,"{-47, -61, 99, -109, 75, 100, -28, -19, 106, -13, 48, 94, -58, -38, 96"
values_13,2,"{36, 28"
values_83,14,"{-35, 34, 1, -48, 2, 30, 10, 76, -87, -20, 114, -25, -120, 114"
values_1,10,"{70, 37, -71, 114, -107, -72, 41, 39, -85, -73"
values_21,7,"{-34, 127, 33, 54, -37, -104, -105"
values_32,10,"{127, -75, -105, -15, -121, -53, -5, -102, 106, -91"
values_22,27,"{92, -26, -1, -122, -63, -9, 72, 108, 110, 69, -39, 104, -73, 19, 104, -14, -24, 23, 2, -102, -3, -47, 31, -101, -36, -103, -67"
values_9,9,"{27, -36, -43, -91, 75, 33, 78, 1, -71"
values_6,25,"{-59, 92, 119, -113, -57, 127, 111, 108, -18, 5, 90, -85, -100, 69, -1, 62, -29, -122, 31, 90, -12, 120, 97, -26, 45"
values_76,5,"{-51, 95, 3, -106, -3"
values_18,25,"{0, -7, -83, -73, 62, -105, 23, -61, -8, -49, -80, -29, 49, -79, -8, 83, -3, 77, -47, 59, -30, -100, -97, 16, -60"
values_16,18,"{17, 24, -75, -121, -79, -20, 16, -78, -66, 108, 0, 97, -73, -28, -122, 59, 2, -38"
values_40,5,"{70, -49, -12, -64, 94"
values_2,6,"{44, -50, 104, 70, -34, -47"
values_60,18,"{22, -103, -27, -57, -110, -11, 9, -88, 80, 0, 51, 35, 94, 8, -34, 104, -91, -53"
values_99,8,"{-63, -37, 104, -37, -4, -104, 72, -124"
values_48,26,"{29, 36, -81, -73, 11, -91, -66, -127, 80, -68, 88, 9, 119, 106, -96, 19, -77, -44, -65, -127, -114, -75, -95, 59, 77, -110"
values_69,27,"{-2, 3, 30, -76, -106, -62, 75, -67, 35, 8, -68, 31, -93, 116, 48, -117, 117, -104, -26, -83, -37, -87, 109, -6, 117, -53, 54"
values_46,6,"{72, 33, -8, 82, -105, 89"
values_24,7,"{115, -64, 64, 11, 110, 80, -35"
values_95,26,"{-4, 127, 70, 14, -9, -116, 51, 50, 90, 39, 55, 90, -39, -37, -105, -38, 35, -60, 42, -109, 122, -42, -9, -74, -83, -38"
values_42,20,"{-34, -125, 38, 44, -117, -50, 120, 18, -20, 13, -59, -87, -105, -21, -111, -119, -11, -105, -99, -95"
values_37,3,"{-74, 78, -46"
values_10,5,"{-100, -32, -22, -87, -83"
values_67,7,"{126, 13, 2, 4, -106, 106, -56"
values_35,17,"{39, 111, -4, -107, -1, -26, -18, 90, 92, 77, -17, 98, -32, -30, -25, 96, -109"
values_30,28,"{23, -69, 97, 76, 32, 42, 38, 114, -110, 33, -103, -89, 39, 111, 17, -96, 35, -79, 36, 27, 83, 25, 118, -22, -103, 103, -6, 2"
values_4,23,"{82, -59, 69, 66, -125, -42, -37, -111, -122, -104, -112, -106, -121, -61, 113, 103, 63, -69, -120, 114, 59, -72, 73"
