inputName,dim,a[dim]
values_64,22,"{60, -47, 99, 16, 66, -52, 5, -67, 84, 90, -31, -95, -119, -11, -94, 29, 32, 46, -105, -30, 58, -3"
values_11,16,"{105, 97, -24, -127, -86, -86, -82, 103, 6, 64, 67, 68, 1, 115, -104, 57"
values_49,7,"{-87, 31, 13, -51, -92, -122, 87"
values_62,20,"{-36, -44, -80, -79, 17, 112, -68, 95, -106, 112, 62, 122, -123, 66, 4, 77, -69, -9, 86, 93"
values_80,27,"{4, -88, -8, 21, -104, -23, 76, 79, 102, 38, 111, -114, 112, 23, 32, 13, 43, -119, 90, -78, -7, 43, 54, 7, -112, 60, 103"
values_39,19,"{103, -89, -21, -75, 124, -3, 4, -94, -53, 115, -86, -14, 75, -53, 52, 23, 17, 106, -19"
values_90,4,"{121, 90, -64, -114"
values_53,8,"{-112, -74, 80, 5, -109, -5, 59, 68"
values_94,17,"{-22, 50, 112, -45, -74, 69, -35, -17, -113, 126, -41, 51, 81, 104, -55, -72, 72"
values_7,18,"{-36, 67, 107, -98, 31, 85, -58, -19, -105, -11, -105, 25, 113, 41, -70, -110, 91, 1"
values_31,17,"{119, 101, 38, 51, 25, -113, -75, 127, -92, 101, -18, 63, -77, -94, 76, 116, 24"
values_93,22,"{29, 127, -84, 82, 43, -37, -4, -89, -92, 39, 118, 52, 74, -24, 115, -65, 97, -14, 74, 32, -110, 47"
values_38,9,"{-84, 38, -78, -119, -31, -70, -117, 94, -6"
values_58,3,"{-97, -78, -23"
values_78,15,"{-108, -37, -77, 48, 9, 78, 73, -88, -26, -121, 102, 48, 34, -92, -52"
values_50,13,"{-14, 36, -30, 88, -15, 101, 103, -77, 127, -107, 66, -110, -36"
values_3,2,"{-44, 119"
values_13,14,"{59, -98, -54, 26, 25, 69, -69, -1, -20, -9, 79, 46, 20, -123"
values_83,2,"{-8, 114"
values_1,18,"{-96, 76, 19, 113, -99, -103, -40, 116, 36, 61, 33, 49, 46, -102, -109, 97, 110, 5"
values_21,4,"{-25, 34, 107, -91"
values_32,3,"{14, -3, 69"
values_22,8,"{50, 77, 4, 30, -78, 91, -36, 78"
values_9,12,"{-45, 93, -71, 115, 54, -96, -37, 88, 41, -77, 53, -108"
values_6,5,"{50, 125, 61, 5, 88"
values_76,23,"{-46, 6, -26, -107, -11, 2, 57, -106, -61, 82, -22, 29, 4, 81, 113, -33, -53, -86, 121, 12, 56, -123, -50"
values_18,17,"{81, 4, -17, 41, -122, -116, 122, -77, 115, 111, 116, -119, 27, -74, -87, -120, 93"
values_16,19,"{17, 37, -46, 123, 82, 28, -123, -57, -39, -124, -86, 54, 33, -114, 82, 111, -104, 15, 101"
values_40,22,"{30, 126, -37, 47, 58, 102, 87, -10, -21, -78, -82, -22, -5, 82, 31, -99, 77, 42, -116, 45, -88, -51"
values_2,3,"{-104, 56, 49"
values_60,7,"{35, 12, 90, 5, 5, 104, 70"
values_99,8,"{-24, -31, 18, -10, 106, -44, 85, -30"
values_48,12,"{83, -47, -117, -76, -60, 73, 44, 37, 73, -100, -60, -87"
values_69,5,"{-28, 11, -56, -46, -33"
values_46,21,"{0, 100, -29, -13, -55, 13, 75, -126, -24, 10, -110, 61, 40, 45, 10, 47, 68, -60, -72, -38, 23"
values_24,18,"{72, 112, -3, 12, 116, 102, 74, 126, 124, -100, 54, 38, -73, 26, -73, -85, -6, -8"
values_95,7,"{57, 126, 31, -28, 92, 0, 18"
values_42,10,"{-59, 66, 65, -11, 106, -16, -14, -115, 18, -90"
values_37,18,"{123, -100, -67, -50, -93, 6, -2, -76, 114, -87, 25, 85, 2, -62, -86, 68, -1, 11"
values_10,11,"{-30, -97, -114, -7, -5, -98, -58, 34, 77, -105, -52"
values_67,18,"{127, 108, -17, -47, 97, 120, 120, 92, 29, 25, -114, -122, -31, 127, 59, -107, 22, -112"
values_35,11,"{-126, 109, 37, -24, -13, 54, -95, 29, -18, 64, -12"
values_30,24,"{59, 111, -15, 93, -74, 118, 91, -14, 127, -40, -114, 90, 34, 2, -95, -115, 107, -36, 42, -124, -63, 25, -45, 71"
values_4,28,"{-22, 103, -82, -16, 51, 73, 112, 108, 101, 65, -13, -8, -12, -70, 70, -58, 51, -20, -18, -21, -56, 24, -85, -98, 79, 124, -126, 51"
