;DEVICE;BOARD;FUNCTION;DATA_TYPE;DATA_START;DATA_RANGE;RANGE_SI
30;Bambu;xc7a100t-1csg324-Artix-7;selectionsort;int8_t;2.0;23.0;3
31;Bambu;xc7a100t-1csg324-Artix-7;shell_sort;int8_t;2.0;26.0;3
32;Bambu;xc7a100t-1csg324-Artix-7;straight_sort;int8_t;2.0;26.0;3
33;Bambu;xc7vx690t-3ffg1930-Virtex-7;astar;int8_t;2.0;26.0;3
34;Bambu;xc7vx690t-3ffg1930-Virtex-7;bellmanford;int8_t;2.0;26.0;3
35;Bambu;xc7vx690t-3ffg1930-Virtex-7;bfsdfs;int8_t;2.0;26.0;3
36;Bambu;xc7vx690t-3ffg1930-Virtex-7;binarysearch;int8_t;2.0;26.0;3
37;Bambu;xc7vx690t-3ffg1930-Virtex-7;bubblesort;int8_t;2.0;26.0;3
38;Bambu;xc7vx690t-3ffg1930-Virtex-7;dijkstra;int8_t;2.0;26.0;3
39;Bambu;xc7vx690t-3ffg1930-Virtex-7;fft;int8_t;2.0;8.0;3
40;Bambu;xc7vx690t-3ffg1930-Virtex-7;floydwarshall;int8_t;2.0;26.0;3
41;Bambu;xc7vx690t-3ffg1930-Virtex-7;insertionsort;int8_t;2.0;26.0;3
42;Bambu;xc7vx690t-3ffg1930-Virtex-7;kruskal;int8_t;2.0;26.0;3
43;Bambu;xc7vx690t-3ffg1930-Virtex-7;mergesort;int8_t;2.0;23.0;3
44;Bambu;xc7vx690t-3ffg1930-Virtex-7;qsort;int8_t;2.0;26.0;3
45;Bambu;xc7vx690t-3ffg1930-Virtex-7;quicksort;int8_t;2.0;26.0;3
46;Bambu;xc7vx690t-3ffg1930-Virtex-7;selectionsort;int8_t;2.0;23.0;3
47;Bambu;xc7vx690t-3ffg1930-Virtex-7;shell_sort;int8_t;2.0;26.0;3
48;Bambu;xc7vx690t-3ffg1930-Virtex-7;straight_sort;int8_t;2.0;26.0;3
49;Bambu;xc7z020-1clg484-Zynq-7000;astar;int8_t;2.0;26.0;3
50;Bambu;xc7z020-1clg484-Zynq-7000;bellmanford;int8_t;2.0;26.0;3
51;Bambu;xc7z020-1clg484-Zynq-7000;bfsdfs;int8_t;2.0;26.0;3
52;Bambu;xc7z020-1clg484-Zynq-7000;binarysearch;int8_t;2.0;26.0;3
53;Bambu;xc7z020-1clg484-Zynq-7000;bubblesort;int8_t;2.0;26.0;3
54;Bambu;xc7z020-1clg484-Zynq-7000;dijkstra;int8_t;2.0;26.0;3
55;Bambu;xc7z020-1clg484-Zynq-7000;fft;int8_t;2.0;8.0;3
56;Bambu;xc7z020-1clg484-Zynq-7000;floydwarshall;int8_t;2.0;26.0;3
57;Bambu;xc7z020-1clg484-Zynq-7000;insertionsort;int8_t;2.0;26.0;3
58;Bambu;xc7z020-1clg484-Zynq-7000;kruskal;int8_t;2.0;26.0;3
59;Bambu;xc7z020-1clg484-Zynq-7000;mergesort;int8_t;2.0;23.0;3
60;Bambu;xc7z020-1clg484-Zynq-7000;qsort;int8_t;2.0;26.0;3
61;Bambu;xc7z020-1clg484-Zynq-7000;quicksort;int8_t;2.0;26.0;3
62;Bambu;xc7z020-1clg484-Zynq-7000;selectionsort;int8_t;2.0;23.0;3
63;Bambu;xc7z020-1clg484-Zynq-7000;shell_sort;int8_t;2.0;26.0;3
64;Bambu;xc7z020-1clg484-Zynq-7000;straight_sort;int8_t;2.0;26.0;3
