;DEVICE;BOARD;FUNCTION;DATA_TYPE;NUM_S;RANGE_S;NUM_SI;RANGE_SI;NUM_ARR;RANGE_ARR
25;Bambu;xc7a100t-1csg324-Artix-7;bubblesort;int8_t;0;0;1;3;1;1
26;Bambu;xc7a100t-1csg324-Artix-7;dijkstra;int8_t;0;0;1;3;1;1
27;Bambu;xc7a100t-1csg324-Artix-7;fft;int8_t;2;3;1;3;1;1
28;Bambu;xc7a100t-1csg324-Artix-7;fibcall;int8_t;1;3;0;0;0;0
29;Bambu;xc7a100t-1csg324-Artix-7;floydwarshall;int8_t;0;0;1;3;1;0
30;Bambu;xc7a100t-1csg324-Artix-7;gcd;int8_t;2;3;0;0;0;0
31;Bambu;xc7a100t-1csg324-Artix-7;insertionsort;int8_t;0;0;1;3;1;1
32;Bambu;xc7a100t-1csg324-Artix-7;kruskal;int8_t;0;0;1;3;1;1
33;Bambu;xc7a100t-1csg324-Artix-7;mergesort;int8_t;0;0;1;3;1;1
34;Bambu;xc7a100t-1csg324-Artix-7;park_miller;int8_t;1;3;0;0;0;1
35;Bambu;xc7a100t-1csg324-Artix-7;prime;int8_t;1;3;0;0;0;1
36;Bambu;xc7a100t-1csg324-Artix-7;qsort;int8_t;0;0;1;3;1;1
37;Bambu;xc7a100t-1csg324-Artix-7;quicksort;int8_t;0;0;1;3;1;1
38;Bambu;xc7a100t-1csg324-Artix-7;selectionsort;int8_t;0;0;1;3;1;1
39;Bambu;xc7a100t-1csg324-Artix-7;shell_sort;int8_t;0;0;1;3;1;1
40;Bambu;xc7a100t-1csg324-Artix-7;sqrt;int8_t;1;3;0;0;0;1
41;Bambu;xc7a100t-1csg324-Artix-7;straight_sort;int8_t;0;0;1;3;1;0
42;Bambu;xc7vx690t-3ffg1930-Virtex-7;astar;int8_t;1;3;1;3;1;1
43;Bambu;xc7vx690t-3ffg1930-Virtex-7;bellmanford;int8_t;0;0;1;3;1;1
44;Bambu;xc7vx690t-3ffg1930-Virtex-7;bfsdfs;int8_t;0;0;1;3;2;0
45;Bambu;xc7vx690t-3ffg1930-Virtex-7;binarysearch;int8_t;1;3;1;3;1;1
46;Bambu;xc7vx690t-3ffg1930-Virtex-7;bubblesort;int8_t;0;0;1;3;1;1
47;Bambu;xc7vx690t-3ffg1930-Virtex-7;dijkstra;int8_t;0;0;1;3;1;1
48;Bambu;xc7vx690t-3ffg1930-Virtex-7;fft;int8_t;2;3;1;3;1;1
49;Bambu;xc7vx690t-3ffg1930-Virtex-7;fibcall;int8_t;1;3;0;0;0;0
50;Bambu;xc7vx690t-3ffg1930-Virtex-7;floydwarshall;int8_t;0;0;1;3;1;0
51;Bambu;xc7vx690t-3ffg1930-Virtex-7;gcd;int8_t;2;3;0;0;0;0
52;Bambu;xc7vx690t-3ffg1930-Virtex-7;insertionsort;int8_t;0;0;1;3;1;1
53;Bambu;xc7vx690t-3ffg1930-Virtex-7;kruskal;int8_t;0;0;1;3;1;1
54;Bambu;xc7vx690t-3ffg1930-Virtex-7;mergesort;int8_t;0;0;1;3;1;1
55;Bambu;xc7vx690t-3ffg1930-Virtex-7;park_miller;int8_t;1;3;0;0;0;1
56;Bambu;xc7vx690t-3ffg1930-Virtex-7;prime;int8_t;1;3;0;0;0;1
57;Bambu;xc7vx690t-3ffg1930-Virtex-7;qsort;int8_t;0;0;1;3;1;1
58;Bambu;xc7vx690t-3ffg1930-Virtex-7;quicksort;int8_t;0;0;1;3;1;1
59;Bambu;xc7vx690t-3ffg1930-Virtex-7;selectionsort;int8_t;0;0;1;3;1;1
60;Bambu;xc7vx690t-3ffg1930-Virtex-7;shell_sort;int8_t;0;0;1;3;1;1
61;Bambu;xc7vx690t-3ffg1930-Virtex-7;sqrt;int8_t;1;3;0;0;0;1
62;Bambu;xc7vx690t-3ffg1930-Virtex-7;straight_sort;int8_t;0;0;1;3;1;0
63;Bambu;xc7z020-1clg484-Zynq-7000;astar;int8_t;1;3;1;3;1;1
64;Bambu;xc7z020-1clg484-Zynq-7000;bellmanford;int8_t;0;0;1;3;1;1
65;Bambu;xc7z020-1clg484-Zynq-7000;bfsdfs;int8_t;0;0;1;3;2;0
66;Bambu;xc7z020-1clg484-Zynq-7000;binarysearch;int8_t;1;3;1;3;1;1
67;Bambu;xc7z020-1clg484-Zynq-7000;bubblesort;int8_t;0;0;1;3;1;1
68;Bambu;xc7z020-1clg484-Zynq-7000;dijkstra;int8_t;0;0;1;3;1;1
69;Bambu;xc7z020-1clg484-Zynq-7000;fft;int8_t;2;3;1;3;1;1
70;Bambu;xc7z020-1clg484-Zynq-7000;fibcall;int8_t;1;3;0;0;0;0
71;Bambu;xc7z020-1clg484-Zynq-7000;floydwarshall;int8_t;0;0;1;3;1;0
72;Bambu;xc7z020-1clg484-Zynq-7000;gcd;int8_t;2;3;0;0;0;0
73;Bambu;xc7z020-1clg484-Zynq-7000;insertionsort;int8_t;0;0;1;3;1;1
74;Bambu;xc7z020-1clg484-Zynq-7000;kruskal;int8_t;0;0;1;3;1;1
75;Bambu;xc7z020-1clg484-Zynq-7000;mergesort;int8_t;0;0;1;3;1;1
76;Bambu;xc7z020-1clg484-Zynq-7000;park_miller;int8_t;1;3;0;0;0;1
77;Bambu;xc7z020-1clg484-Zynq-7000;prime;int8_t;1;3;0;0;0;1
78;Bambu;xc7z020-1clg484-Zynq-7000;qsort;int8_t;0;0;1;3;1;1
79;Bambu;xc7z020-1clg484-Zynq-7000;quicksort;int8_t;0;0;1;3;1;1
80;Bambu;xc7z020-1clg484-Zynq-7000;selectionsort;int8_t;0;0;1;3;1;1
81;Bambu;xc7z020-1clg484-Zynq-7000;shell_sort;int8_t;0;0;1;3;1;1
82;Bambu;xc7z020-1clg484-Zynq-7000;sqrt;int8_t;1;3;0;0;0;1
83;Bambu;xc7z020-1clg484-Zynq-7000;straight_sort;int8_t;0;0;1;3;1;0
