;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;DSP;BRAM;Flip_Flop;Area;min_Slack;Max_Freq;Time;Energy;BugsDelivered;DifficultyLevel;DistinctOperands;DistinctOperators;Effort;ProgramLength;ProgramLevel;ProgramVolume;TimeToImplement;TotalOperators;Total_Operands;VocabularySize;Sloc;DecisionPoint;GlobalVariables;If;Loop;Goto;Assignment;ExitPoint;Function;FunctionCall;PointerDereferencing;CyclomaticComplexity;SyntacticallyReachableFunctions;SemanticallyReachedFunctions;CoverageEstimation;SCALAR_INPUT;RANGE_SCALAR_VALUES;SCALAR_INDEX_INPUT;RANGE_SCALAR_INDEX_VALUES;ARRAY_INPUT;RANGE_ARRAY_INPUT;cInstr;assemblyInstr;clockCycles;CC4CS;Bugs_Delivered
11;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;0;0.0;16.0;945.0;11500.0;6.661338147750939e-16;331.49887995881943;1.9577743372183407;58.73323011655022;2.3631066666666665;73.41;138;66;520448.63;924;0.01;7089.32;28913.81;617;307;204;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1053;;649.0;0.6163342830009497;2.3631066666666665
12;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;77;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;4.995491991423069;149.8647597426921;2.8618266666666665;69.96;175;66;600640.53;1085;0.01;8585.48;33368.92;714;371;241;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2570;;1656.0;0.6443579766536965;2.8618266666666665
13;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;17;0.0;16.0;1113.0;11894.0;6.661338147750939e-16;331.49887995881943;7.248893270162824;217.4667981048847;3.0062266666666666;70.69;183;66;637517.34;1133;0.01;9018.68;35417.63;741;392;249;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;3639;;2403.0;0.6603462489694971;3.0062266666666666
14;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;12;0.0;16.0;1113.0;11894.0;6.661338147750939e-16;331.49887995881943;4.358989086718802;130.76967260156405;3.0219966666666664;73.08;177;66;662585.25;1144;0.01;9065.99;36810.29;752;392;243;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;2199;;1445.0;0.6571168713051387;3.0219966666666664
15;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;33;0.0;16.0;934.0;11514.0;6.661338147750939e-16;331.49887995881943;19.0468215180225;571.404645540675;4.25138;84.38;219;66;1076239.38;1564;0.01;12754.14;59791.08;1004;560;285;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;9409;;6314.0;0.6710596237644808;4.25138
16;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;25;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;46.57934289828721;1397.3802869486162;7.420266666666667;142.86;231;66;3180114.97;2710;0.01;22260.8;176673.05;1710;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;21339;;15441.0;0.7236046675101926;7.420266666666667
17;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;19;0.0;16.0;1113.0;11894.0;6.661338147750939e-16;331.49887995881943;38.75729535374614;1162.718860612384;3.0283266666666666;71.47;181;66;649300.27;1143;0.01;9084.98;36072.24;751;392;247;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;15824;;12848.0;0.8119312436804853;3.0283266666666666
18;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;97;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;44.932278509810764;1347.968355294323;7.349076666666667;142.86;231;66;3149604.65;2684;0.01;22047.23;174978.04;1684;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;20799;;14895.0;0.7161401990480312;7.349076666666667
19;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;81;0.0;8.0;674.0;10091.0;6.661338147750939e-16;221.2982138158016;16.507137301345722;495.2141190403717;2.583266666666667;69.09;160;66;535462.56;991;0.01;7749.8;29747.92;656;335;226;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;11505;;3653.0;0.31751412429378534;2.583266666666667
20;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;8;0.0;16.0;945.0;11500.0;6.661338147750939e-16;331.49887995881943;2.0995546050908556;62.98663815272566;2.3481466666666666;73.95;137;66;520928.9;919;0.01;7044.44;28940.49;612;307;203;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1002;;696.0;0.6946107784431138;2.3481466666666666
21;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;73;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;29.761789847451695;892.8536954235508;2.8778366666666666;68.02;180;66;587222.79;1087;0.01;8633.51;32623.49;716;371;246;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;19081;;9866.0;0.517058854357738;2.8778366666666666
22;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;89;0.0;8.0;674.0;10091.0;6.661338147750939e-16;221.2982138158016;4.740209972382059;142.2062991714618;2.5851466666666667;70.87;156;66;549592.51;995;0.01;7755.44;30532.92;660;335;222;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1654;;1049.0;0.6342200725513906;2.5851466666666667
23;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;82;0.0;8.0;674.0;10091.0;6.661338147750939e-16;221.2982138158016;4.7085784473042;141.25735341912602;2.58798;68.66;161;66;533107.54;992;0.01;7763.94;29617.09;657;335;227;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1750;;1042.0;0.5954285714285714;2.58798
24;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;34;0.0;16.0;934.0;11514.0;6.661338147750939e-16;331.49887995881943;16.802470043615035;504.074101308451;4.25871;81.77;226;66;1044702.72;1560;0.01;12776.13;58039.04;1000;560;292;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;8546;;5570.0;0.6517669084952025;4.25871
25;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;70;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;6.304697018160758;189.14091054482273;2.84958;70.77;173;66;604983.8;1082;0.01;8548.74;33610.21;711;371;239;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;3140;;2090.0;0.6656050955414012;2.84958
26;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;29;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;54.68495097857331;1640.5485293571994;7.32557;143.48;230;66;3153179.65;2677;0.01;21976.71;175176.65;1677;1000;296;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;25133;;18128.0;0.7212827756336291;7.32557
27;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;51;0.0;16.0;948.0;11501.0;6.661338147750939e-16;331.49887995881943;55.994156005311005;1679.82468015933;6.283953333333334;121.0;231;66;2281075.35;2295;0.01;18851.86;126726.41;1448;847;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;27224;;18562.0;0.6818248604172789;6.283953333333334
28;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;57;0.0;16.0;948.0;11501.0;6.661338147750939e-16;331.49887995881943;38.313854941464015;1149.4156482439205;6.2300033333333324;122.06;229;66;2281242.6;2278;0.01;18690.01;126735.7;1431;847;295;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;18243;;12701.0;0.6962122457929069;6.2300033333333324
29;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;88;0.0;8.0;674.0;10091.0;6.661338147750939e-16;221.2982138158016;2.5802286884939525;77.40686065481857;2.584233333333333;69.97;158;66;542443.9;993;0.01;7752.7;30135.77;658;335;224;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;932;;571.0;0.6126609442060086;2.584233333333333
30;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;23;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;39.73165762018916;1191.9497286056749;7.320096666666667;143.48;230;66;3150823.9;2675;0.01;21960.29;175045.77;1675;1000;296;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;18150;;13171.0;0.7256749311294766;7.320096666666667
31;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;45;0.0;16.0;992.0;11654.0;6.661338147750939e-16;331.49887995881943;9.300182252148142;279.00546756444425;3.36672;74.85;194;66;755950.2;1259;0.01;10100.16;41997.23;819;440;260;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;4624;;3083.0;0.6667387543252595;3.36672
32;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;66;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;4.461553535818068;133.84660607454202;2.8512766666666667;69.96;175;66;598426.18;1081;0.01;8553.83;33245.9;710;371;241;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2228;;1479.0;0.6638240574506283;2.8512766666666667
33;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;36;0.0;16.0;934.0;11514.0;6.661338147750939e-16;331.49887995881943;16.757221021953594;502.7166306586078;4.208209999999999;85.95;215;66;1085130.96;1552;0.01;12624.63;60285.05;992;560;281;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;8279;;5555.0;0.6709747554052422;4.208209999999999
34;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;56;0.0;16.0;948.0;11501.0;6.661338147750939e-16;331.49887995881943;43.927750228926776;1317.8325068678032;6.264550000000001;122.59;228;66;2303953.0;2292;0.01;18793.65;127997.39;1445;847;294;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;20603;;14562.0;0.7067902732611756;6.264550000000001
35;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;26;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;41.457153646212106;1243.714609386363;7.306413333333333;143.48;230;66;3144934.5;2670;0.01;21919.24;174718.58;1670;1000;296;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;19044;;13743.0;0.7216446124763705;7.306413333333333
36;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;43;0.0;16.0;992.0;11654.0;6.661338147750939e-16;331.49887995881943;10.126731047830463;303.80193143491385;3.385903333333333;72.6;200;66;737449.83;1261;0.01;10157.71;40969.43;821;440;266;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;5060;;3357.0;0.6634387351778656;3.385903333333333
37;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;52;0.0;16.0;948.0;11501.0;6.661338147750939e-16;331.49887995881943;35.110224207834;1053.30672623502;6.261076666666667;121.53;230;66;2282652.36;2288;0.01;18783.23;126814.02;1441;847;296;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;16141;;11639.0;0.7210829564463168;6.261076666666667
38;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;98;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;54.56127031936538;1636.8381095809611;7.349076666666667;142.86;231;66;3149604.65;2684;0.01;22047.23;174978.04;1684;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;26094;;18087.0;0.6931478500804783;7.349076666666667
39;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;61;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;5.260952918503523;157.82858755510568;2.8507900000000004;69.56;176;66;594924.4;1080;0.01;8552.37;33051.36;709;371;242;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2495;;1744.0;0.698997995991984;2.8507900000000004
40;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;44;0.0;16.0;992.0;11654.0;6.661338147750939e-16;331.49887995881943;37.909630347955144;1137.2889104386543;3.3801200000000002;72.24;201;66;732527.17;1258;0.01;10140.36;40695.95;818;440;267;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;18128;;12567.0;0.6932369814651368;3.3801200000000002
41;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;68;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;6.054319098300786;181.62957294902355;2.8728366666666667;70.36;174;66;606416.25;1090;0.01;8618.51;33689.79;719;371;240;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;3089;;2007.0;0.6497248300420848;2.8728366666666667
42;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;41;0.0;16.0;992.0;11654.0;6.661338147750939e-16;331.49887995881943;29.698441217125676;890.9532365137703;3.36752;72.96;199;66;737131.51;1255;0.01;10102.56;40951.75;815;440;265;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;12980;;9845.0;0.7584745762711864;3.36752
43;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;85;0.0;8.0;674.0;10091.0;6.661338147750939e-16;221.2982138158016;2.9191378857567307;87.57413657270193;2.56956;70.87;156;66;546278.38;989;0.01;7708.68;30348.8;654;335;222;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1053;;646.0;0.6134852801519468;2.56956
44;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;79;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;25.5506142314936;766.518426944808;2.8430066666666667;72.02;170;66;614239.94;1082;0.01;8529.02;34124.44;711;371;236;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;12578;;8470.0;0.6733979965018286;2.8430066666666667
45;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;71;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;4.986442187090781;149.59326561272343;2.866163333333333;67.27;182;66;578413.55;1081;0.01;8598.49;32134.09;710;371;248;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;12428;;1653.0;0.13300611522368844;2.866163333333333
46;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;63;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;6.660655988564093;199.81967965692277;2.8820699999999997;67.27;182;66;581623.99;1087;0.01;8646.21;32312.44;716;371;248;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;3259;;2208.0;0.6775084381712182;2.8820699999999997
47;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;20;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;49.78900683480541;1493.6702050441625;7.37372;142.86;231;66;3160165.91;2693;0.01;22121.16;175564.77;1693;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;22993;;16505.0;0.7178271647892837;7.37372
48;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;74;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;5.260952918503523;157.82858755510568;2.854846666666667;70.77;173;66;606102.07;1084;0.01;8564.54;33672.34;713;371;239;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2659;;1744.0;0.6558856713050019;2.854846666666667
49;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;72;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;4.346922680942417;130.40768042827253;2.849073333333333;72.88;168;66;622878.37;1086;0.01;8547.22;34604.35;715;371;234;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;2222;;1441.0;0.6485148514851485;2.849073333333333
50;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;86;0.0;8.0;674.0;10091.0;6.661338147750939e-16;221.2982138158016;4.988743383708097;149.66230151124293;2.59554;70.87;156;66;551801.92;999;0.01;7786.62;30655.66;664;335;222;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1864;;1104.0;0.592274678111588;2.59554
51;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;75;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;6.401228264371832;192.03684793115497;2.878353333333333;68.4;179;66;590609.3;1088;0.01;8635.06;32811.63;717;371;245;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;3062;;2122.0;0.6930111038536904;2.878353333333333
52;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;55;0.0;16.0;948.0;11501.0;6.661338147750939e-16;331.49887995881943;44.389290249873476;1331.6787074962042;6.30658;122.06;229;66;2309282.46;2306;0.01;18919.74;128293.47;1459;847;295;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;21467;;14715.0;0.685470722504309;6.30658
53;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;14;0.0;16.0;1113.0;11894.0;6.661338147750939e-16;331.49887995881943;26.214266549194733;786.427996475842;3.0495033333333335;69.18;187;66;632861.68;1146;0.01;9148.51;35158.98;754;392;253;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;15157;;8690.0;0.5733324536517781;3.0495033333333335
54;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;47;0.0;16.0;992.0;11654.0;6.661338147750939e-16;331.49887995881943;9.888419533746873;296.6525860124062;3.37969;71.88;202;66;728808.69;1257;0.01;10139.07;40489.37;817;440;268;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;4947;;3278.0;0.6626238124115625;3.37969
55;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;91;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;60.006235925958755;1800.1870777787626;7.320539999999999;142.24;232;66;3123850.88;2672;0.01;21961.62;173547.27;1672;1000;298;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;28052;;19892.0;0.7091116497932411;7.320539999999999
56;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;64;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;2.2684842859602345;68.05452857880704;2.85607;69.56;176;66;596026.11;1082;0.01;8568.21;33112.56;711;371;242;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;1136;;752.0;0.6619718309859155;2.85607
57;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;11;0.0;16.0;1113.0;11894.0;6.661338147750939e-16;331.49887995881943;5.574679468689513;167.24038406068536;3.0261266666666664;67.73;191;66;614858.12;1134;0.01;9078.38;34158.78;742;392;257;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;2810;;1848.0;0.6576512455516014;3.0261266666666664
58;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;49;0.0;16.0;992.0;11654.0;6.661338147750939e-16;331.49887995881943;11.514367712114648;345.43103136343944;3.368306666666667;73.71;197;66;744789.11;1257;0.01;10104.92;41377.17;817;440;263;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;6287;;3817.0;0.607125815174169;3.368306666666667
59;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;62;0.0;16.0;968.0;11500.0;6.661338147750939e-16;331.49887995881943;3.577689312697923;107.3306793809377;2.877653333333333;69.96;175;66;603962.04;1091;0.01;8632.96;33553.45;720;371;241;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;1866;;1186.0;0.6355841371918542;2.877653333333333
60;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;80;0.0;8.0;673.0;10091.0;6.661338147750939e-16;221.2982138158016;2.4898529025572116;74.69558707671635;2.5920433333333333;69.97;158;66;544082.71;996;0.01;7776.13;30226.82;661;335;224;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;912;;551.0;0.6041666666666666;2.5920433333333333
61;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;39;0.0;16.0;934.0;11514.0;6.661338147750939e-16;331.49887995881943;22.58227841050308;677.4683523150924;4.248846666666667;85.56;216;66;1090537.09;1566;0.01;12746.54;60585.39;1006;560;282;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;11097;;7486.0;0.6745967378570785;4.248846666666667
62;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;90;0.0;16.0;1082.0;12090.0;6.661338147750939e-16;331.49887995881943;40.55820641587148;1216.7461924761444;7.3463400000000005;142.86;231;66;3148431.17;2683;0.01;22039.02;174912.84;1683;1000;297;103;19;13;19;7;3;36;10;10;11;9;29;10;10;100.0;1;3;1;3;1;1;18990;;13445.0;0.7080042127435492;7.3463400000000005
63;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;53;0.0;16.0;948.0;11501.0;6.661338147750939e-16;331.49887995881943;40.85684995883699;1225.7054987651097;6.223716666666667;121.0;231;66;2259208.83;2273;0.01;18671.15;125511.6;1426;847;297;103;19;13;19;7;3;36;10;10;11;9;29;10;9;90.0;1;3;1;3;1;1;18901;;13544.0;0.7165758425480133;6.223716666666667
