,ProgramLevel,TimeToImplement,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,RANGE_ARRAY_INPUT,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_18,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,clockCycles
16,0.03,6846.6,100,0,0,1,0,0,92,-106,15,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
17,0.03,7631.55,100,0,0,1,0,0,80,35,101,-73,-26,94,-37,113,69,84,105,16,-105,-114,-67,8,101,17,-72,-36,-54,108,54,-119,-70,86,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369
18,0.03,6898.02,100,0,0,1,0,0,24,-46,1,-41,27,-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
19,0.03,6912.61,100,0,0,1,0,0,124,-56,-74,28,55,2,87,50,-27,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
20,0.03,7017.42,100,0,0,1,0,0,-29,125,42,-80,90,-45,-90,-112,-114,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
21,0.03,7329.66,100,0,0,1,0,0,-82,-49,68,55,-33,-19,52,84,114,16,-78,99,8,15,91,-36,45,-15,103,-64,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642
22,0.03,7262.47,100,0,0,1,0,0,102,-18,-11,98,95,79,-74,-49,-94,-116,109,-112,17,7,122,5,-121,-27,-9,60,71,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829
23,0.03,7207.05,100,0,0,1,0,0,101,-20,0,5,20,-21,86,-92,92,76,-123,2,48,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374
24,0.03,7105.09,100,0,0,1,0,0,12,-74,65,17,-111,-12,42,87,-35,60,-101,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
25,0.03,6916.86,100,0,0,1,0,0,99,12,-81,-99,125,-126,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
26,0.03,6819.77,100,0,0,1,0,0,101,44,-76,100,98,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
27,0.03,7528.61,100,0,0,1,0,0,-74,29,75,-78,-73,122,-48,53,101,-19,-39,-87,-5,-96,-36,15,103,-39,53,-4,55,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670
28,0.03,7569.31,100,0,0,1,0,0,33,-100,51,67,-1,-96,-63,120,-54,88,108,106,-3,65,-89,33,3,-118,-76,-33,34,-53,-74,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029
29,0.03,7407.25,100,0,0,1,0,0,107,-33,63,77,105,-109,-13,-39,83,32,16,-60,-110,118,-73,-41,57,24,10,29,85,71,26,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990
30,0.03,6744.32,100,0,0,1,0,0,-49,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
31,0.03,7520.91,100,0,0,1,0,0,42,62,-88,-27,91,-68,-82,78,-63,-45,77,-86,-110,41,84,122,50,89,-23,-45,-68,-48,117,-57,9,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113
32,0.03,6946.86,100,0,0,1,0,0,120,-68,101,8,32,-110,112,-43,51,-73,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
33,0.03,7198.51,100,0,0,1,0,0,-88,25,52,3,-9,-8,-25,32,114,78,13,55,-13,65,75,-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392
34,0.03,7626.87,100,0,0,1,0,0,-32,-110,-50,-27,98,-45,2,-113,-38,-43,-113,31,-105,5,-93,-45,-32,-68,30,-81,-15,42,98,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741
35,0.03,7600.89,100,0,0,1,0,0,102,-59,33,-91,111,19,-40,-11,10,-25,112,-120,27,-8,27,-52,77,-86,109,-66,-112,-95,-44,24,61,20,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319
36,0.03,7281.87,100,0,0,1,0,0,-1,-14,4,79,-72,103,-99,-42,-55,117,69,95,101,-13,-113,34,119,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507
37,0.03,7666.93,100,0,0,1,0,0,-9,126,-41,-3,84,1,87,35,57,58,-110,117,85,53,-10,-95,-57,73,-16,-26,67,-72,34,-69,87,-53,-40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481
38,0.03,6786.36,100,0,0,1,0,0,29,59,-105,80,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
39,0.03,7600.89,100,0,0,1,0,0,103,100,-31,-92,-97,52,-112,2,102,-48,103,-1,-49,101,41,-54,-108,-123,20,-46,35,80,107,-84,-17,-113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280
40,0.03,7267.62,100,0,0,1,0,0,44,5,106,70,70,122,-30,-48,65,-86,-114,57,-90,69,-36,-115,90,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650
41,0.03,7386.48,100,0,0,1,0,0,108,18,-60,-6,-93,-80,101,-53,-74,-62,-108,5,107,80,-46,7,-86,59,-44,-9,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673
42,0.03,7144.29,100,0,0,1,0,0,20,88,-63,42,-6,20,-33,19,102,-110,71,-72,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364
43,0.03,6862.4,100,0,0,1,0,0,110,-54,-70,-51,-81,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
44,0.03,6846.6,100,0,0,1,0,0,20,-69,-5,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
45,0.03,6967.14,100,0,0,1,0,0,-32,57,69,-117,120,123,-44,124,-115,41,125,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
46,0.03,7420.32,100,0,0,1,0,0,-12,-61,-117,-4,-109,106,-28,59,109,35,47,-2,-2,71,-44,-39,1,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441
47,0.03,6935.13,100,0,0,1,0,0,-83,-122,87,106,-26,-23,110,-31,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
48,0.03,7029.86,100,0,0,1,0,0,-81,-56,-124,-3,122,-113,57,94,-51,-87,111,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230
49,0.03,6814.82,100,0,0,1,0,0,-19,31,-102,120,-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
50,0.03,7479.63,100,0,0,1,0,0,-118,2,68,33,-115,-49,43,79,74,105,56,92,-13,-80,77,117,51,96,109,94,-70,47,-57,6,-115,105,122,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084
51,0.03,6988.89,100,0,0,1,0,0,-75,-62,0,40,-117,122,25,-82,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
52,0.03,6950.22,100,0,0,1,0,0,-3,123,64,-26,-87,76,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
53,0.03,7085.23,100,0,0,1,0,0,40,-103,-119,-22,30,-62,-52,108,-25,-79,12,82,-57,43,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323
54,0.03,7186.66,100,0,0,1,0,0,-101,79,-119,33,108,123,42,78,-73,79,-76,-19,-93,-36,-48,11,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518
55,0.03,6969.16,100,0,0,1,0,0,-99,-32,-45,60,-33,75,-82,-26,86,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
56,0.03,7884.87,100,0,0,1,0,0,-74,-27,-94,94,-80,76,-121,-126,-52,72,-12,-27,87,38,-71,-91,-27,121,-46,-38,21,0,91,-46,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850
57,0.03,6833.98,100,0,0,1,0,0,-113,34,-124,16,-103,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
58,0.03,6777.12,100,0,0,1,0,0,-115,-78,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
59,0.03,6916.86,100,0,0,1,0,0,0,34,-95,104,-124,66,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
60,0.03,6814.82,100,0,0,1,0,0,56,48,-96,-44,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
61,0.03,7399.2,100,0,0,1,0,0,-20,55,-64,-99,-80,-8,-11,-91,106,-123,56,34,93,101,110,107,-39,108,72,122,53,-70,34,14,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837
62,0.03,6860.99,100,0,0,1,0,0,-106,47,-115,-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
63,0.03,7467.48,100,0,0,1,0,0,23,-124,-83,44,-107,-112,46,-67,-92,-106,-24,109,95,-24,92,120,-59,-43,4,48,110,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607
64,0.03,7602.86,100,0,0,1,0,0,2,-95,-34,27,73,46,71,116,-55,21,-121,0,-75,33,76,-101,20,-108,91,99,38,125,71,13,-59,-51,-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166
65,0.03,6881.73,100,0,0,1,0,0,-88,-25,-3,62,-94,-93,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
66,0.03,7144.29,100,0,0,1,0,0,-10,18,-53,102,33,-41,-96,44,-93,84,39,18,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274
67,0.03,6940.89,100,0,0,1,0,0,49,-115,-117,61,-28,35,94,104,-7,-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
68,0.03,6860.99,100,0,0,1,0,0,-66,-55,119,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
69,0.03,7694.32,100,0,0,1,0,0,-73,-104,-20,54,18,-25,17,9,-93,8,-55,103,-121,-9,-53,58,50,75,48,-74,-121,-25,-89,-4,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065
70,0.03,7507.28,100,0,0,1,0,0,41,70,-29,-50,-3,23,-22,-5,-97,42,79,33,-110,82,-121,-112,-84,-125,-34,109,-57,-70,36,81,71,40,114,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157
71,0.03,7323.38,100,0,0,1,0,0,66,-77,-102,122,21,-71,-47,-122,103,16,7,-92,-47,2,-36,7,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528
72,0.03,7176.38,100,0,0,1,0,0,-40,95,-63,32,-48,-7,-122,99,75,13,96,-27,-124,17,-31,-121,94,-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593
73,0.03,7306.17,100,0,0,1,0,0,-88,47,118,-10,15,79,110,57,-24,61,56,-121,-49,92,-81,-124,39,101,28,125,-17,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879
74,0.03,7273.9,100,0,0,1,0,0,-96,85,-53,12,27,-103,97,-49,90,86,-89,-23,21,-6,124,13,1,6,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530
75,0.03,6734.32,100,0,0,1,0,0,91,16,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
76,0.03,6878.52,100,0,0,1,0,0,-80,68,94,34,73,-31,86,2,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
77,0.03,7402.57,100,0,0,1,0,0,-52,-108,-110,-125,73,-105,-4,37,53,-52,53,64,16,111,96,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251
78,0.03,6800.59,100,0,0,1,0,0,57,-102,47,100,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
79,0.03,6715.74,100,0,0,1,0,0,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
80,0.03,6935.92,100,0,0,1,0,0,110,71,-75,42,69,-110,-17,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
81,0.03,7001.68,100,0,0,1,0,0,111,47,-93,-110,124,-14,40,44,17,-56,87,-16,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294
82,0.03,6853.35,100,0,0,1,0,0,25,-107,86,-96,-54,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
83,0.03,7208.52,100,0,0,1,0,0,-91,-54,86,68,-64,125,-36,-115,-24,10,-18,93,-102,-120,-36,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471
84,0.03,6969.46,100,0,0,1,0,0,-31,81,-1,119,115,64,22,-27,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183
85,0.03,7037.66,100,0,0,1,0,0,-26,96,-33,-7,-90,80,-85,61,-48,-17,-47,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305
86,0.03,6744.32,100,0,0,1,0,0,-103,-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
87,0.03,7076.58,100,0,0,1,0,0,104,-54,-126,-4,-126,-86,-76,-117,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
88,0.03,6872.92,100,0,0,1,0,0,-3,58,-71,115,-45,54,64,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
89,0.03,7427.28,100,0,0,1,0,0,25,-92,-65,-64,46,11,-74,-15,-38,47,-93,-102,36,-10,81,12,-69,-49,35,72,23,8,116,-56,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903
90,0.03,7235.7,100,0,0,1,0,0,54,-49,84,-111,-109,-34,-43,1,-88,65,-77,-101,-15,107,-69,25,125,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447
91,0.03,7047.75,100,0,0,1,0,0,-108,48,-18,-103,110,-104,0,-9,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
