,BugsDelivered,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,DecisionPoint,GlobalVariables,If,Loop,Assignment,ExitPoint,Function.1,FunctionCall,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,cInstr,Bugs_Delivered,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,BRAM
10,2.13669,118,66,501941.45,852,0.01,6410.07,27885.64,572,280,184,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,253.0,2.13669,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
11,3.811246667,209,66,895442.3,1411,0.01,11433.74,49746.79,915,496,275,103,19,13,19,7,36,10,10,11,29,10,10,100,1,1,1,3,1,5014.0,3.811246667,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,26,15,16,55,3,17,34,19,12,24,0,30,3,21,7,28,19,4,6,25,15,8,10,13,20,12,0,18,0,10,16
12,2.870926667,178,66,592394.8,1086,0.01,8612.78,32910.82,715,371,244,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1665.0,2.870926667,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,20,0,0,22,11,21,6,11,10,3,5,6,0,2,9,4,16,7,0,3,1,12,10,8,5,5,2,1,0,6,16
13,2.459206667,148,66,526403.02,953,0.01,7377.62,29244.61,633,320,214,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1414.0,2.459206667,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,6,4,2,7,2,8,6,0,7,4,1,1,0,0,7,1,5,5,3,0,2,1,1,1,1,2,1,0,2,0,16
14,2.470753333,145,66,539816.66,960,0.01,7412.26,29989.81,640,320,211,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1431.0,2.470753333,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,5,0,10,1,6,3,1,4,3,2,0,0,0,7,5,5,8,0,0,0,0,1,1,1,1,1,0,1,0,16
15,4.987316667,225,66,1472455.58,1828,0.01,14961.95,81803.09,1157,671,291,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,21904.0,4.987316667,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,44,10,15,0,61,0,5,14,28,39,11,0,74,0,14,28,8,38,2,0,46,0,27,17,15,21,0,0,68,4,18,16
16,2.57334,159,66,536759.59,988,0.01,7720.02,29819.98,653,335,225,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1516.0,2.57334,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,8,5,3,6,6,4,2,4,4,1,2,0,0,0,4,1,5,5,1,1,1,2,1,1,3,3,2,1,1,0,8
17,2.46347,150,66,520284.71,953,0.01,7390.41,28904.71,633,320,216,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,886.0,2.46347,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,7,2,5,0,9,6,1,8,1,1,1,1,1,3,1,3,4,0,3,1,0,3,2,1,3,1,2,2,0,16
18,2.134716667,116,66,510123.58,853,0.01,6404.15,28340.2,573,280,182,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,320.0,2.134716667,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
19,6.652046667,232,66,2543375.78,2428,0.01,19956.14,141298.65,1532,896,298,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,22941.0,6.652046667,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,16,2,0,72,4,27,12,24,26,5,0,54,0,21,16,34,19,18,0,42,3,14,16,23,23,31,0,45,0,14,16
20,3.780423333,213,66,871520.95,1396,0.01,11341.27,48417.83,900,496,279,103,19,13,19,7,36,10,10,11,29,10,10,100,1,1,1,3,1,21839.0,3.780423333,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,33,7,0,48,14,22,25,16,18,0,0,34,0,7,16,15,27,27,0,29,5,16,14,6,28,5,4,20,0,4,16
21,2.86663,176,66,598229.53,1086,0.01,8599.89,33234.97,715,371,242,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,2399.0,2.86663,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,13,2,0,20,6,7,9,3,11,0,3,10,0,3,16,6,12,7,0,2,5,9,10,3,5,6,1,0,4,1,16
22,6.55427,228,66,2549956.55,2398,0.01,19662.81,141664.25,1502,896,294,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,20788.0,6.55427,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,38,16,24,63,0,6,0,39,12,28,0,73,0,15,36,27,22,20,0,68,0,37,16,18,36,0,0,50,0,11,16
23,6.547246667,229,66,2536100.73,2394,0.01,19641.74,140894.48,1498,896,295,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,19572.0,6.547246667,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,50,22,22,11,57,0,28,13,33,12,7,8,84,0,46,15,18,30,31,4,72,0,26,23,24,29,34,0,53,0,37,16
24,5.036096667,224,66,1493495.14,1847,0.01,15108.29,82971.95,1176,671,290,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,19692.0,5.036096667,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35,11,3,0,79,0,32,13,29,67,0,6,62,2,10,10,21,17,2,0,38,25,23,14,24,26,22,0,43,0,23,16
25,2.865186667,167,66,630152.01,1093,0.01,8595.56,35008.44,722,371,233,103,19,13,19,7,36,10,10,11,29,10,10,100,1,1,1,3,1,1294.0,2.865186667,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,20,5,1,22,3,7,8,9,16,0,0,10,0,4,13,4,16,8,1,0,3,16,7,3,7,12,2,0,0,4,16
26,2.603633333,161,66,536331.98,998,0.01,7810.9,29796.22,663,335,227,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1880.0,2.603633333,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,13,7,0,5,0,8,5,5,3,1,0,0,0,0,4,2,4,4,0,1,1,2,0,1,3,2,2,0,0,0,8
27,2.575446667,160,66,533841.58,988,0.01,7726.34,29657.87,653,335,226,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1617.0,2.575446667,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,16,11,1,7,1,7,6,4,4,2,4,2,1,0,5,2,7,5,1,1,0,2,3,2,3,3,1,1,2,0,8
28,2.580153333,161,66,531495.32,989,0.01,7740.46,29527.52,654,335,227,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1718.0,2.580153333,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,7,5,0,10,5,8,6,3,4,0,2,0,2,0,7,4,5,5,0,2,1,1,3,2,3,3,2,0,2,0,8
29,6.615263333,231,66,2540261.76,2416,0.01,19845.79,141125.65,1520,896,297,103,19,13,19,7,36,10,10,11,29,10,10,100,1,1,1,3,1,7170.0,6.615263333,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,36,14,20,74,11,36,40,10,11,22,0,55,26,31,26,20,27,9,18,63,11,27,6,48,28,5,0,70,4,29,16
30,2.582096667,157,66,545447.62,993,0.01,7746.29,30302.65,658,335,223,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1279.0,2.582096667,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,13,2,1,10,1,13,6,0,7,5,1,0,1,0,6,5,9,4,1,3,2,2,2,2,3,2,2,0,0,0,8
31,2.58636,159,66,539475.98,993,0.01,7759.08,29970.89,658,335,225,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1045.0,2.58636,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,9,3,1,9,0,11,10,3,5,0,3,2,1,0,9,4,7,10,1,1,0,1,7,4,1,4,1,0,0,0,8
32,2.353623333,136,66,525982.97,922,0.01,7060.87,29221.28,615,307,202,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1024.0,2.353623333,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,3,1,1,2,3,2,0,3,3,1,0,1,0,0,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,16
33,5.037333333,228,66,1467653.2,1843,0.01,15112.0,81536.29,1172,671,294,103,19,13,19,7,36,10,10,11,29,10,10,100,1,1,1,3,1,4828.0,5.037333333,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,28,26,0,59,6,39,27,30,10,0,0,51,7,18,0,41,6,29,3,79,8,29,32,22,23,17,9,52,0,17,16
34,2.59814,156,66,552354.28,1000,0.01,7794.42,30686.35,665,335,222,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1639.0,2.59814,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21,3,0,5,2,12,7,2,6,2,4,0,0,0,6,5,7,6,1,2,1,4,0,1,6,4,1,0,1,0,8
35,2.56266,154,66,551887.38,988,0.01,7687.98,30660.41,653,335,220,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1836.0,2.56266,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,12,10,0,11,0,9,5,2,6,3,2,1,2,0,8,2,8,7,0,0,4,1,2,3,2,3,2,0,1,0,8
36,2.56956,156,66,546278.38,989,0.01,7708.68,30348.8,654,335,222,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1396.0,2.56956,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13,7,1,16,2,7,4,2,4,4,3,1,0,0,4,1,8,7,0,2,1,2,3,2,4,2,1,0,1,0,8
37,2.585583333,155,66,553231.5,996,0.01,7756.75,30735.08,661,335,221,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1411.0,2.585583333,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,6,5,0,7,4,15,6,4,8,1,1,0,1,0,6,4,7,5,1,1,3,2,4,1,3,3,1,0,1,0,8
38,2.13446,117,66,505702.54,852,0.01,6403.38,28094.59,572,280,183,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,253.0,2.13446,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
39,2.359756667,140,66,512286.1,921,0.01,7079.27,28460.34,614,307,206,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,822.0,2.359756667,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,4,2,4,3,6,3,0,3,1,1,0,0,0,1,3,2,4,0,0,0,0,0,0,1,0,1,0,0,0,16
40,2.565253333,154,66,552445.97,989,0.01,7695.76,30691.44,654,335,220,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1500.0,2.565253333,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,13,4,3,14,5,18,7,4,9,2,1,1,1,0,6,3,8,8,1,2,0,3,2,1,4,3,3,0,0,0,8
41,2.374723333,141,66,511879.12,926,0.01,7124.17,28437.73,619,307,207,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,937.0,2.374723333,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,6,1,0,1,1,0,0,2,2,1,0,1,0,2,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,16
42,2.592043333,158,66,544082.71,996,0.01,7776.13,30226.82,661,335,224,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1421.0,2.592043333,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,11,3,0,8,5,4,9,7,6,2,1,1,1,4,9,8,13,6,0,1,3,5,6,4,2,2,2,0,2,0,8
43,6.598836667,231,66,2533953.16,2410,0.01,19796.51,140775.18,1514,896,297,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,18868.0,6.598836667,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,17,36,5,53,0,12,30,10,28,29,2,63,0,51,16,20,12,33,0,55,4,32,0,25,10,13,14,59,4,26,16
44,2.854386667,174,66,602521.83,1083,0.01,8563.16,33473.44,712,371,240,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,2361.0,2.854386667,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,12,0,2,20,5,13,9,3,9,0,2,7,1,3,11,5,8,8,0,3,2,9,5,7,9,6,2,0,0,4,16
45,2.843363333,175,66,596765.43,1078,0.01,8530.09,33153.63,707,371,241,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,2237.0,2.843363333,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,17,0,0,30,0,25,7,5,14,0,0,2,3,8,7,5,16,9,1,6,0,12,7,0,11,3,2,1,1,5,16
46,2.36873,143,66,503445.88,922,0.01,7106.19,27969.22,615,307,209,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,938.0,2.36873,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,4,1,2,0,2,2,0,5,2,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16
47,2.573036667,154,66,554121.74,992,0.01,7719.11,30784.54,657,335,220,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1758.0,2.573036667,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,10,5,0,4,0,6,6,6,8,3,1,2,0,1,9,4,6,4,0,2,0,4,2,3,3,2,2,0,1,0,8
48,2.853916667,175,66,598979.77,1082,0.01,8561.75,33276.65,711,371,241,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1521.0,2.853916667,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,19,9,0,20,2,14,9,8,7,0,4,16,0,0,12,11,8,6,0,11,9,5,14,3,8,4,3,6,0,2,16
49,2.84038,170,66,613672.25,1081,0.01,8521.14,34092.9,710,371,236,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,3078.0,2.84038,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,9,14,0,21,4,9,10,6,17,0,6,13,3,10,9,2,9,8,0,6,3,7,7,7,5,4,0,2,0,2,16
50,6.597663333,230,66,2544518.21,2411,0.01,19792.99,141362.12,1515,896,296,103,19,13,19,7,36,10,10,11,29,10,10,100,1,1,1,3,1,10268.0,6.597663333,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,20,25,2,0,68,0,9,18,31,7,4,1,49,0,30,30,21,17,6,0,57,0,23,27,26,8,15,0,61,0,19,16
51,2.86493,174,66,604747.21,1087,0.01,8594.79,33597.07,716,371,240,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,2531.0,2.86493,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,16,2,0,22,3,16,7,4,16,4,1,11,0,2,10,5,7,8,1,1,2,18,6,3,12,7,2,0,0,5,16
52,2.587746667,156,66,550144.86,996,0.01,7763.24,30563.6,661,335,222,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1416.0,2.587746667,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,10,3,0,11,7,6,6,1,4,0,1,0,0,0,4,4,5,6,0,1,0,4,2,3,4,2,1,0,0,0,8
53,2.471673333,149,66,525520.92,957,0.01,7415.02,29195.61,637,320,215,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1209.0,2.471673333,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,12,7,1,3,3,7,3,0,5,1,1,0,0,2,7,3,3,4,1,1,0,1,0,1,2,2,1,0,0,0,16
54,2.5963,160,66,538164.19,996,0.01,7788.9,29898.01,661,335,226,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1527.0,2.5963,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,12,7,8,5,3,8,7,3,5,2,2,2,0,1,6,4,8,5,0,1,0,2,3,2,3,2,1,0,0,0,8
55,2.132213333,116,66,509525.54,852,0.01,6396.64,28306.97,572,280,182,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,195.0,2.132213333,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
56,2.364463333,141,66,509667.98,922,0.01,7093.39,28314.89,615,307,207,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,937.0,2.364463333,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,3,1,1,2,7,1,0,2,1,1,0,1,0,1,3,1,4,0,0,0,0,0,0,0,1,0,0,0,0,16
57,2.477686667,147,66,533966.47,961,0.01,7433.06,29664.8,641,320,213,103,19,13,19,7,36,10,10,11,29,10,9,90,1,1,1,3,1,1403.0,2.477686667,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,6,3,0,7,1,5,6,1,4,1,2,0,1,0,3,2,5,3,2,0,0,0,0,1,2,3,0,0,0,0,16
