inputName,size,arr[size]
values_73,4,"{34, 90, 51, 70"
values_89,11,"{91, 67, 83, 100, 2, 67, 18, 114, 116, 75, 91"
values_82,20,"{49, 13, 46, 34, 48, 40, 2, 7, 102, 107, 60, 49, 35, 36, 83, 90, 31, 33, 10, 10"
values_34,18,"{3, 45, 63, 86, 2, 9, 100, 109, 96, 100, 61, 28, 46, 71, 20, 19, 85, 11"
values_70,26,"{112, 59, 73, 103, 109, 91, 25, 13, 97, 3, 16, 72, 49, 35, 67, 115, 53, 48, 10, 24, 7, 50, 29, 19, 65, 4"
values_29,18,"{54, 96, 94, 21, 35, 22, 26, 33, 32, 77, 18, 11, 29, 91, 84, 94, 110, 97"
values_51,26,"{69, 81, 61, 45, 90, 83, 58, 31, 16, 109, 4, 100, 64, 60, 21, 10, 55, 37, 31, 22, 13, 7, 10, 26, 69, 38"
values_57,23,"{12, 73, 24, 7, 56, 96, 16, 82, 43, 76, 24, 15, 12, 93, 36, 63, 42, 51, 11, 63, 104, 22, 30"
values_88,14,"{87, 13, 22, 49, 54, 58, 21, 106, 40, 65, 48, 33, 111, 61"
values_23,20,"{67, 17, 24, 46, 47, 57, 89, 110, 56, 57, 5, 11, 16, 44, 82, 53, 61, 36, 28, 13"
values_45,20,"{89, 94, 12, 3, 10, 100, 94, 47, 27, 12, 98, 75, 61, 72, 46, 63, 55, 14, 67, 13"
values_66,12,"{42, 83, 85, 90, 83, 47, 107, 86, 105, 76, 101, 77"
values_36,16,"{33, 108, 13, 106, 72, 53, 72, 88, 113, 35, 22, 91, 13, 96, 51, 26"
values_56,12,"{19, 106, 74, 24, 19, 78, 35, 31, 26, 48, 6, 45"
values_26,28,"{106, 58, 27, 35, 10, 33, 41, 105, 2, 30, 53, 93, 102, 35, 92, 86, 15, 33, 84, 107, 38, 96, 106, 87, 78, 29, 94, 104"
values_43,20,"{97, 55, 96, 20, 74, 20, 17, 64, 18, 106, 14, 96, 83, 58, 46, 48, 12, 84, 70, 113"
values_52,9,"{97, 53, 93, 34, 41, 25, 37, 33, 107"
values_98,21,"{78, 21, 11, 87, 78, 20, 60, 66, 91, 99, 61, 63, 112, 65, 9, 59, 22, 2, 93, 105, 93"
values_61,22,"{58, 82, 40, 59, 115, 4, 46, 114, 63, 21, 25, 21, 113, 97, 109, 77, 6, 12, 24, 22, 56, 11"
values_44,18,"{116, 73, 99, 4, 83, 59, 81, 111, 94, 34, 5, 42, 36, 70, 5, 12, 4, 57"
values_68,14,"{14, 22, 102, 110, 13, 14, 12, 79, 46, 14, 3, 44, 65, 100"
values_41,3,"{63, 70, 44"
values_85,10,"{64, 46, 111, 79, 37, 24, 6, 23, 63, 94"
values_79,18,"{34, 29, 46, 44, 37, 30, 93, 33, 57, 13, 12, 92, 56, 57, 83, 59, 81, 58"
values_71,9,"{70, 49, 13, 40, 116, 104, 83, 51, 114"
values_63,20,"{78, 26, 94, 14, 92, 109, 81, 93, 54, 81, 41, 50, 25, 52, 33, 51, 110, 48, 3, 10"
values_20,5,"{52, 16, 7, 75, 27"
values_74,14,"{14, 33, 116, 77, 107, 57, 82, 13, 54, 42, 87, 63, 106, 5"
values_72,27,"{32, 82, 56, 114, 115, 64, 2, 29, 33, 38, 103, 35, 44, 85, 33, 91, 114, 18, 26, 3, 16, 83, 95, 94, 40, 60, 26"
values_86,12,"{58, 7, 101, 27, 103, 6, 19, 101, 87, 68, 24, 102"
values_75,18,"{83, 113, 30, 48, 29, 35, 51, 104, 52, 102, 74, 45, 6, 70, 13, 88, 87, 59"
values_55,16,"{109, 51, 100, 98, 58, 31, 65, 52, 84, 81, 72, 42, 108, 5, 98, 113"
values_14,24,"{10, 113, 81, 35, 57, 70, 86, 95, 20, 68, 74, 78, 106, 96, 62, 26, 68, 19, 97, 71, 76, 26, 57, 62"
values_47,19,"{11, 101, 75, 65, 43, 59, 114, 19, 18, 99, 16, 18, 58, 57, 19, 95, 116, 73, 99"
values_91,26,"{115, 80, 8, 83, 10, 41, 29, 69, 102, 40, 84, 17, 45, 89, 51, 5, 109, 62, 49, 50, 81, 80, 110, 51, 47, 107"
values_64,16,"{14, 3, 101, 22, 25, 2, 114, 107, 67, 72, 59, 24, 98, 97, 78, 67"
values_11,6,"{81, 70, 110, 18, 6, 42"
values_49,15,"{2, 71, 88, 77, 17, 43, 71, 45, 90, 87, 63, 34, 71, 27, 95"
values_62,26,"{48, 51, 74, 49, 17, 30, 50, 116, 109, 52, 67, 95, 77, 107, 111, 108, 29, 112, 77, 6, 70, 111, 71, 85, 112, 25"
values_80,9,"{61, 109, 52, 61, 73, 108, 8, 23, 9"
values_39,19,"{95, 116, 3, 114, 45, 72, 12, 16, 94, 107, 19, 79, 82, 78, 64, 26, 41, 70, 82"
values_90,21,"{3, 98, 42, 40, 92, 84, 47, 16, 65, 48, 85, 32, 47, 103, 11, 12, 12, 11, 94, 96, 99"
values_53,3,"{57, 64, 93"
values_94,21,"{13, 97, 12, 84, 97, 76, 87, 49, 106, 92, 66, 26, 77, 56, 80, 60, 19, 66, 45, 60, 100"
values_7,8,"{30, 19, 82, 77, 90, 77, 65, 65"
values_31,11,"{42, 51, 27, 101, 49, 100, 103, 73, 26, 93, 83"
values_93,17,"{6, 13, 21, 16, 94, 21, 22, 84, 80, 43, 61, 97, 101, 74, 116, 22, 102"
values_38,22,"{19, 60, 91, 9, 4, 7, 23, 19, 107, 69, 93, 69, 106, 43, 63, 99, 97, 2, 67, 22, 14, 15"
values_58,12,"{112, 9, 38, 70, 42, 52, 100, 60, 73, 54, 61, 91"
values_78,15,"{15, 5, 105, 99, 96, 76, 16, 18, 18, 98, 104, 88, 21, 82, 63"
values_50,18,"{61, 15, 69, 18, 99, 87, 67, 13, 79, 116, 100, 71, 97, 40, 82, 32, 111, 43"
values_3,15,"{91, 65, 3, 90, 25, 113, 34, 81, 84, 102, 63, 99, 67, 40, 37"
values_13,18,"{114, 26, 14, 37, 6, 57, 47, 87, 6, 24, 68, 78, 104, 108, 86, 70, 97, 60"
values_83,11,"{105, 102, 110, 71, 48, 113, 37, 47, 52, 35, 89"
values_1,25,"{19, 26, 73, 70, 110, 41, 96, 6, 75, 72, 84, 56, 71, 91, 82, 72, 80, 31, 102, 23, 70, 114, 25, 90, 38"
values_21,24,"{108, 29, 75, 52, 99, 4, 59, 109, 109, 82, 4, 65, 83, 38, 24, 81, 108, 28, 69, 60, 73, 38, 21, 6"
values_32,8,"{21, 50, 13, 69, 97, 18, 42, 86"
values_22,14,"{74, 27, 73, 32, 96, 80, 30, 89, 109, 53, 61, 86, 71, 47"
values_9,2,"{93, 41"
values_6,13,"{83, 29, 35, 22, 34, 19, 8, 55, 20, 61, 84, 69, 52"
values_76,7,"{14, 71, 61, 13, 22, 93, 91"
values_18,12,"{86, 87, 83, 30, 24, 4, 63, 14, 29, 113, 32, 9"
values_16,7,"{12, 10, 95, 82, 107, 42, 11"
values_40,24,"{23, 28, 51, 62, 92, 89, 11, 93, 97, 26, 78, 113, 92, 20, 66, 72, 4, 110, 59, 77, 98, 79, 78, 56"
values_2,18,"{114, 38, 35, 35, 103, 36, 43, 62, 115, 80, 54, 10, 41, 94, 92, 107, 115, 31"
values_60,13,"{65, 10, 105, 89, 98, 28, 67, 110, 85, 16, 89, 114, 81"
values_99,12,"{12, 12, 76, 99, 50, 106, 37, 114, 26, 102, 108, 38"
values_48,22,"{26, 60, 38, 31, 27, 23, 40, 31, 96, 82, 17, 51, 15, 24, 25, 49, 107, 25, 9, 53, 6, 22"
values_69,3,"{52, 62, 82"
values_46,7,"{66, 115, 39, 63, 30, 93, 41"
values_24,5,"{4, 4, 79, 106, 61"
values_95,18,"{107, 90, 82, 26, 26, 85, 45, 93, 111, 99, 2, 99, 2, 71, 111, 47, 68, 91"
values_42,10,"{103, 38, 32, 32, 55, 93, 33, 50, 30, 72"
values_37,3,"{81, 66, 55"
values_10,26,"{76, 58, 36, 64, 15, 115, 89, 56, 15, 24, 110, 65, 37, 36, 62, 26, 15, 10, 5, 68, 47, 86, 79, 62, 15, 8"
values_67,24,"{96, 24, 109, 75, 107, 107, 112, 112, 74, 94, 58, 43, 112, 58, 101, 2, 52, 77, 83, 56, 97, 18, 10, 110"
values_35,22,"{17, 76, 31, 114, 20, 39, 59, 99, 65, 99, 58, 75, 112, 46, 83, 42, 113, 3, 4, 112, 110, 105"
values_30,21,"{68, 42, 85, 43, 42, 25, 8, 108, 12, 8, 21, 13, 99, 116, 10, 72, 51, 18, 27, 13, 42"
values_4,23,"{64, 111, 82, 19, 7, 74, 98, 104, 89, 45, 83, 70, 102, 51, 87, 52, 109, 84, 111, 29, 10, 47, 89"
