inputName,dim,a[dim]
values_72,7,"{71, -92, -123, 101, 94, -73, 9"
values_86,26,"{-57, 28, -97, -25, -61, 48, -84, 5, -94, 2, 4, -7, 75, -47, 18, 106, -117, 115, -104, -93, -109, -51, 101, -87, -121, 80"
values_75,21,"{-34, -126, 85, -8, -42, 88, 60, -60, 22, 100, 63, 75, -84, 115, 94, -62, -66, -29, -61, -56, -10"
values_55,6,"{87, 105, 117, 60, 99, 22"
values_14,12,"{61, -65, 43, -90, -95, 38, 9, -46, -40, -40, 120, 59"
values_47,23,"{54, -50, -79, 10, 97, 108, 16, -105, -48, -103, 52, 12, 67, -108, 30, 113, 99, -59, -30, 30, 84, 101, -80"
values_91,5,"{-90, -107, 51, -74, 84"
values_64,4,"{14, -104, -100, 11"
values_11,10,"{125, -11, -57, -126, 66, -57, 62, 42, 65, -54"
values_49,19,"{-52, -113, 88, 23, -22, 66, -48, 29, 30, 47, 68, 54, 47, 102, 72, -125, 13, -14, -13"
values_62,19,"{-19, 78, -59, -80, -111, -110, 4, 127, 119, -40, 119, 7, -51, 101, 21, -57, -77, 81, 13"
values_80,13,"{100, 106, 77, -94, 38, 58, -62, 15, 58, -60, 34, 79, -95"
values_39,4,"{-79, 1, -116, -74"
values_90,20,"{-61, 32, -123, -100, 59, -6, 12, 118, -53, -16, -77, 120, -9, -86, -10, 76, 85, 91, -89, -112"
values_53,27,"{-122, -81, 52, 106, 85, -52, 72, 63, -39, 8, -35, 82, -100, 88, -123, -112, -112, -118, 72, -50, -12, 12, 42, -69, 70, -119, 68"
values_94,16,"{-38, -114, -74, -15, 54, -29, 38, -23, 44, 74, 91, -30, -8, 121, -105, 124"
values_7,24,"{-119, -25, 55, 73, -83, -99, 2, -98, -14, -111, 40, 105, 107, 99, -61, 2, 59, -43, 43, -112, 10, -70, 110, -107"
values_31,9,"{-78, -60, -124, 55, -46, -108, -77, -53, 31"
values_93,22,"{7, 46, -123, -124, -89, -117, -25, 35, -70, -48, 27, 126, -112, 124, 66, -54, -57, -103, 101, -37, 0, 12"
values_38,19,"{-19, 71, -21, 105, -106, -71, -8, -17, 71, -8, -13, 79, -95, -96, -118, 124, 76, 115, -121"
values_58,3,"{94, -59, -75"
values_78,10,"{-97, 101, 63, -3, -74, 98, -100, -42, 36, -50"
values_50,12,"{72, 42, -109, 120, 106, 125, -3, -48, 51, -2, 112, -42"
values_3,15,"{-91, -98, 13, -24, -81, 118, 48, 33, 14, -50, 104, 86, -69, -76, -104"
values_13,23,"{-86, 57, -38, -59, 59, 13, 125, 63, 121, -49, 120, 93, -56, -100, 95, 14, 123, -64, -49, -51, -63, -48, 127"
values_83,14,"{-32, -102, 111, 9, -73, 8, -63, 43, -33, -11, 5, -85, 1, 85"
values_1,4,"{-92, -31, 25, 30"
values_21,27,"{-121, -119, -38, 9, -29, -58, -14, 96, 91, 112, 28, -65, -81, 49, 103, 106, 17, 39, 6, 108, 105, 55, 9, 71, 90, 66, -8"
values_32,11,"{2, -92, -61, -123, -71, 116, 23, 50, 119, -57, 49"
values_22,19,"{127, 88, -8, 65, -125, -46, 115, 121, -57, 49, 52, -29, -92, -50, -73, 110, 21, 86, 2"
values_9,20,"{-9, 17, -15, 92, -43, 32, -80, 116, 28, -107, 57, 3, 88, 58, -64, -25, -62, 17, -29, 14"
values_6,14,"{85, 41, 83, -102, 8, 124, -2, -2, 111, 33, 45, 17, 13, -23"
values_76,3,"{108, -120, -47"
values_18,14,"{-123, -62, -49, -76, 13, -2, 51, -61, -9, -78, -103, -6, -46, 8"
values_16,13,"{-117, -69, 53, -113, -60, -16, 53, 13, 70, -13, 67, 114, -4"
values_40,28,"{103, -85, 33, -74, -5, -88, 74, -41, -35, 20, -93, -8, 70, -4, 113, -31, 119, 91, -35, 32, -76, -78, 83, -63, 56, -3, -42, 117"
values_2,26,"{15, 54, 114, 125, -104, -97, 102, 63, 65, -40, -110, 15, 101, -90, 28, -27, -43, -64, -88, 14, 65, 11, 10, 21, 122, 21"
values_60,25,"{125, 112, 60, -62, 40, 12, -80, 27, -101, 85, -77, -6, -23, -83, -103, 77, 90, -42, 10, -80, 53, 51, -18, -88, -44"
values_99,28,"{102, 99, -84, -105, -105, 99, 93, 10, -19, 24, -118, 109, 46, 42, 23, 106, 101, -1, -45, -85, 36, -54, -119, -71, -37, 22, 54, 16"
values_48,22,"{22, 115, -80, -105, -44, -61, -76, -80, 122, 61, 20, 125, -34, -55, -74, 4, -38, -5, 47, 104, -120, 12"
values_69,18,"{-55, -103, -83, 67, 1, 42, 22, 73, 70, -123, -12, 25, 54, -124, 94, 90, 17, -100"
values_46,21,"{-46, 124, -25, 85, -77, -5, -7, 7, 51, -26, 120, 89, 0, -101, 107, -117, 79, -41, -91, 106, 115"
values_24,23,"{-106, -115, 18, 60, -60, 5, 24, 41, -38, 57, 41, 63, 37, 65, -73, 96, -92, 98, 42, 122, 18, -22, -116"
values_95,4,"{71, -38, -101, -70"
values_42,10,"{-65, -78, 52, 80, -58, 73, 119, 93, 126, 17"
values_37,19,"{24, -66, 34, -81, -5, -96, -62, 101, 63, 51, -12, -43, 127, 25, -120, 59, -51, 94, -66"
values_10,19,"{-7, -73, 47, -57, 22, -81, -112, -118, 87, 9, -121, -95, -64, -99, -60, 72, 22, 24, -87"
values_67,28,"{-1, 110, -8, 53, 31, -110, 111, 65, 116, -119, 45, 17, -32, -55, 9, -12, 11, -43, 108, 123, -55, -17, -56, 123, -45, -115, -4, 109"
values_35,9,"{90, -76, 54, -85, -33, 18, -99, 75, 77"
values_30,7,"{-112, 98, 106, -77, -85, -91, 3"
values_4,5,"{15, 25, 84, 85, 23"
