,FUNCTION,DistinctOperators,ProgramLevel,Goto,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_7,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_15,M_VAL_16,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_27,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,clockCycles
14,insertionsort,53,0.03,0,100,0,0,0,0,43,-125,-97,-116,-19,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
15,insertionsort,53,0.03,0,100,0,0,0,0,-45,31,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
16,insertionsort,53,0.03,0,100,0,0,0,0,-35,84,-6,2,126,100,-97,-53,122,67,-120,-38,48,-8,5,-9,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383
17,insertionsort,53,0.03,0,100,0,0,0,0,-43,48,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
18,insertionsort,53,0.03,0,100,0,0,0,0,44,-107,-70,24,-7,-65,-33,-26,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
19,insertionsort,53,0.03,0,100,0,0,0,0,114,70,-86,121,-85,-110,68,78,-117,86,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
20,insertionsort,53,0.03,0,100,0,0,0,0,35,22,97,2,58,80,-23,118,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
21,insertionsort,53,0.03,0,100,0,0,0,0,123,18,-87,-117,-81,-84,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
22,insertionsort,53,0.03,0,100,0,0,0,0,25,-85,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
23,insertionsort,53,0.03,0,100,0,0,0,0,68,-90,99,82,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
24,insertionsort,53,0.03,0,100,0,0,0,0,-64,65,-109,90,-17,7,-13,-18,-112,88,85,73,96,88,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261
25,insertionsort,53,0.03,0,100,0,0,0,0,11,86,-108,-81,-112,8,85,65,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
26,insertionsort,53,0.03,0,100,0,0,0,0,75,-94,-61,-110,-53,36,116,-46,-117,84,-102,15,-126,18,36,48,-74,69,-30,44,38,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479
27,insertionsort,53,0.03,0,100,0,0,0,0,41,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
28,insertionsort,53,0.03,0,100,0,0,0,0,-101,102,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
29,insertionsort,53,0.03,0,100,0,0,0,0,93,31,-28,75,85,-58,-112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
30,insertionsort,53,0.03,0,100,0,0,0,0,-2,-22,-45,92,-121,-24,-35,-60,-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
31,insertionsort,53,0.03,0,100,0,0,0,0,78,79,-47,75,80,-9,-99,-114,-119,100,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
32,insertionsort,53,0.03,0,100,0,0,0,0,-101,-5,59,70,-126,-35,-27,75,-112,41,-90,-71,-22,-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272
33,insertionsort,53,0.03,0,100,0,0,0,0,-70,-99,66,107,-21,91,101,-34,-34,108,117,-46,-19,0,-63,112,115,-56,-74,-29,-14,121,111,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507
34,insertionsort,53,0.03,0,100,0,0,0,0,4,-118,-45,-22,-81,-117,126,-56,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
35,insertionsort,53,0.03,0,100,0,0,0,0,85,98,47,76,-97,62,-5,-12,50,-69,-31,-116,43,80,107,108,39,106,103,87,-80,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534
36,insertionsort,53,0.03,0,100,0,0,0,0,-64,-112,-66,-4,-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
37,insertionsort,53,0.03,0,100,0,0,0,0,-89,-68,-99,62,-3,-42,81,-115,87,69,-117,-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
38,insertionsort,53,0.03,0,100,0,0,0,0,5,66,-81,56,97,124,-14,92,-104,-96,-36,-72,64,-80,-48,9,35,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416
39,insertionsort,53,0.03,0,100,0,0,0,0,-25,-125,83,-20,-81,4,126,104,-123,-28,80,75,-111,-51,42,51,104,72,-103,112,57,-36,-104,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613
40,insertionsort,53,0.03,0,100,0,0,0,0,40,-85,67,36,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
41,insertionsort,53,0.03,0,100,0,0,0,0,108,-3,25,-33,-71,-65,22,-115,37,15,-50,50,88,53,93,46,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331
42,insertionsort,53,0.03,0,100,0,0,0,0,-15,2,38,97,-13,72,11,20,2,-113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
43,insertionsort,53,0.03,0,100,0,0,0,0,-99,116,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
44,insertionsort,53,0.03,0,100,0,0,0,0,103,4,34,3,4,-115,94,-67,115,-83,25,-63,75,46,-34,-77,1,-19,-107,20,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516
45,insertionsort,53,0.03,0,100,0,0,0,0,-44,62,-7,73,-84,119,108,50,-69,-65,107,5,-61,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247
46,insertionsort,53,0.03,0,100,0,0,0,0,-87,0,52,-20,7,76,95,-25,-59,49,-96,113,-89,-96,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327
47,insertionsort,53,0.03,0,100,0,0,0,0,0,-72,66,59,-110,36,-73,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
48,insertionsort,53,0.03,0,100,0,0,0,0,-26,-86,-16,71,-98,-90,73,14,-67,17,-126,-33,102,99,-115,-63,118,-114,-126,-47,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514
49,insertionsort,53,0.03,0,100,0,0,0,0,94,30,100,29,-96,-15,-10,118,-2,28,13,71,-76,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
50,insertionsort,53,0.03,0,100,0,0,0,0,-96,-78,-16,12,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
51,insertionsort,53,0.03,0,100,0,0,0,0,-1,-110,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
52,insertionsort,53,0.03,0,100,0,0,0,0,-84,-37,-61,-71,-63,25,45,-112,-27,17,67,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
53,insertionsort,53,0.03,0,100,0,0,0,0,20,125,-47,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
54,insertionsort,53,0.03,0,100,0,0,0,0,-107,-87,57,-123,-93,-34,-20,124,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
55,insertionsort,53,0.03,0,100,0,0,0,0,5,-69,97,83,64,-37,86,79,23,58,-95,-55,112,-120,-67,-103,-50,-18,-18,-9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561
56,insertionsort,53,0.03,0,100,0,0,0,0,85,-73,-124,59,15,63,103,-111,30,68,-75,116,-107,101,-37,2,84,-75,-39,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434
57,insertionsort,53,0.03,0,100,0,0,0,0,-110,37,96,57,-55,-88,113,-110,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
58,insertionsort,53,0.03,0,100,0,0,0,0,28,116,-88,46,-12,-29,-22,-15,23,40,50,27,33,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
59,insertionsort,53,0.03,0,100,0,0,0,0,4,71,118,45,-110,-81,-71,109,-79,43,-32,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
60,insertionsort,53,0.03,0,100,0,0,0,0,29,-115,-48,90,-121,-25,-95,-35,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
61,insertionsort,53,0.03,0,100,0,0,0,0,-80,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
62,insertionsort,53,0.03,0,100,0,0,0,0,-76,-71,-40,74,93,79,49,-40,19,-76,-121,61,-102,105,110,77,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355
63,insertionsort,53,0.03,0,100,0,0,0,0,33,20,-75,81,-121,-112,100,61,-28,-117,87,-26,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235
64,insertionsort,53,0.03,0,100,0,0,0,0,-100,-42,-35,-11,-81,-125,-54,57,19,-49,4,95,-108,106,9,33,64,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305
65,insertionsort,53,0.03,0,100,0,0,0,0,35,50,125,-88,40,13,8,119,-86,124,110,-98,-15,5,-114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
66,insertionsort,53,0.03,0,100,0,0,0,0,20,113,20,41,-8,72,-10,23,-87,-100,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218
67,insertionsort,53,0.03,0,100,0,0,0,0,-26,-9,-66,-113,-95,106,124,73,-18,38,-38,105,-76,-83,91,124,122,-37,94,-40,62,96,-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519
68,insertionsort,53,0.03,0,100,0,0,0,0,61,-97,67,-71,-114,83,124,-6,-11,29,1,38,80,109,-84,61,126,-125,-56,-61,-27,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521
69,insertionsort,53,0.03,0,100,0,0,0,0,26,-65,-101,-125,-93,-29,66,38,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
70,insertionsort,53,0.03,0,100,0,0,0,0,-63,29,-47,-71,-62,23,75,-28,-72,-123,-78,91,-112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270
71,insertionsort,53,0.03,0,100,0,0,0,0,-29,122,-6,-106,44,-78,57,126,-104,-34,-81,-29,-85,42,29,57,41,-82,114,-110,109,58,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530
72,insertionsort,53,0.03,0,100,0,0,0,0,103,-50,55,63,37,36,-115,-85,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
73,insertionsort,53,0.03,0,100,0,0,0,0,121,18,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
74,insertionsort,53,0.03,0,100,0,0,0,0,93,-30,4,-41,-100,-114,-95,39,-13,-68,-48,-8,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261
75,insertionsort,53,0.03,0,100,0,0,0,0,-86,34,105,17,-21,8,38,-13,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
76,insertionsort,53,0.03,0,100,0,0,0,0,-61,28,-3,66,-34,-9,-61,96,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
77,insertionsort,53,0.03,0,100,0,0,0,0,57,118,-1,17,124,-11,123,-112,111,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
78,insertionsort,53,0.03,0,100,0,0,0,0,-118,91,32,45,115,97,-78,-92,115,-37,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
79,insertionsort,53,0.03,0,100,0,0,0,0,-80,81,-35,-49,60,53,78,13,-97,33,47,64,8,-45,-20,-41,45,40,0,17,33,-82,64,-82,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710
80,insertionsort,53,0.03,0,100,0,0,0,0,-1,-82,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
81,insertionsort,53,0.03,0,100,0,0,0,0,65,54,34,-98,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
82,insertionsort,53,0.03,0,100,0,0,0,0,83,55,-48,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
83,insertionsort,53,0.03,0,100,0,0,0,0,-124,-23,122,14,-78,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
84,insertionsort,53,0.03,0,100,0,0,0,0,-72,41,36,48,20,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
85,insertionsort,53,0.03,0,100,0,0,0,0,-39,88,-119,-109,43,44,-104,-22,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
86,insertionsort,53,0.03,0,100,0,0,0,0,117,-22,16,-123,57,84,-19,-92,45,76,-7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
87,insertionsort,53,0.03,0,100,0,0,0,0,94,125,-50,-107,68,4,117,105,-83,57,-80,10,-59,-123,35,-71,87,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463
88,insertionsort,53,0.03,0,100,0,0,0,0,-33,-7,110,-112,-51,-12,125,-93,76,101,-115,90,-67,-91,-117,-117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390
89,insertionsort,53,0.03,0,100,0,0,0,0,-102,-86,-29,11,21,11,-6,-1,16,-115,82,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
90,insertionsort,53,0.03,0,100,0,0,0,0,-7,-90,123,-92,-52,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
91,insertionsort,53,0.03,0,100,0,0,0,0,25,58,26,-91,-4,119,-39,48,118,86,15,-48,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
92,insertionsort,53,0.03,0,100,0,0,0,0,22,-89,-68,-36,4,102,-80,66,51,27,30,-17,-3,13,-105,126,-20,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321
93,insertionsort,53,0.03,0,100,0,0,0,0,-29,125,-72,-69,-79,-64,116,15,83,-117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
94,insertionsort,53,0.03,0,100,0,0,0,0,96,-24,-44,-35,-65,-105,56,108,-99,102,-65,122,108,-20,119,-120,-70,-54,73,9,58,111,-71,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531
95,insertionsort,53,0.03,0,100,0,0,0,0,-36,58,-35,6,-31,-23,-76,-23,-58,-70,39,-65,-95,-98,36,9,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362
96,insertionsort,53,0.03,0,100,0,0,0,0,68,-53,-37,-15,60,36,87,9,104,-23,48,-60,-9,-114,-93,1,84,-28,-17,-10,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489
97,insertionsort,53,0.03,0,100,0,0,0,0,-26,-113,-89,91,-84,-46,-41,55,-8,-28,23,64,73,112,0,-5,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215
98,insertionsort,53,0.03,0,100,0,0,0,0,-14,-60,72,10,-43,23,56,125,-12,-41,37,-15,81,-81,-48,-38,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370
99,insertionsort,53,0.03,0,100,0,0,0,0,93,120,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
100,park_miller,23,0.04,0,100,1,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,park_miller,23,0.04,0,100,1,1,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
