,FUNCTION,BugsDelivered,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,VocabularySize,DecisionPoint,GlobalVariables,If,Goto,ExitPoint,Function.1,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,cInstr,Bugs_Delivered,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Flip_Flop
34,insertionsort,1.194336667,98,53,126922.66,495,0.03,3583.01,7051.26,364,151,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,147.0,1.194336667,11,0,0,4,-118,-45,112,-22,-81,-117,126,-56,78,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
35,insertionsort,1.289106667,112,53,132680.12,525,0.03,3867.32,7371.12,380,165,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,603.0,1.289106667,25,0,0,85,98,47,-10,76,-97,62,-5,-12,50,13,20,-69,-31,-116,43,80,107,108,39,106,103,87,-80,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
36,insertionsort,1.15996,93,53,124938.74,484,0.03,3479.88,6941.04,358,146,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,66.0,1.15996,6,0,0,-64,-112,-66,-102,-4,-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
37,insertionsort,1.229666667,102,53,129386.08,507,0.03,3689.0,7188.12,372,155,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,261.0,1.229666667,15,0,0,-89,-68,-99,-8,62,-3,-42,81,-115,87,-81,-58,69,-117,-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
38,insertionsort,1.264253333,107,53,132445.26,518,0.03,3792.76,7358.07,377,160,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,471.0,1.264253333,21,0,0,5,66,-81,-104,56,97,124,-14,92,-104,100,14,-96,-36,-72,64,-80,-48,9,35,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
39,insertionsort,1.310523333,110,53,140178.33,535,0.03,3931.57,7787.68,387,163,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,678.0,1.310523333,28,0,0,-25,-125,83,-85,-20,-81,4,126,104,-123,33,-123,-28,80,75,-111,-51,42,51,104,72,-103,112,57,-36,-104,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
40,insertionsort,1.154346667,94,53,123011.69,481,0.03,3463.04,6833.98,355,147,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,66.0,1.154346667,6,0,0,40,-85,67,-120,36,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
41,insertionsort,1.250503333,106,53,131302.81,513,0.03,3751.51,7294.6,373,159,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,387.0,1.250503333,20,0,0,108,-3,25,71,-33,-71,-65,22,-115,37,97,63,15,-50,50,88,53,93,46,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
42,insertionsort,1.198323333,99,53,127984.64,496,0.03,3594.97,7110.26,363,152,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,207.0,1.198323333,13,0,0,-15,2,38,46,97,-13,72,11,20,2,106,-62,-113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
43,insertionsort,1.132846667,91,53,121731.38,474,0.03,3398.54,6762.85,351,144,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,24.0,1.132846667,3,0,0,-99,116,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
44,insertionsort,1.278896667,107,53,136830.0,524,0.03,3836.69,7601.67,380,160,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,579.0,1.278896667,24,0,0,103,4,34,-88,3,4,-115,94,-67,115,101,-69,-83,25,-63,75,46,-34,-77,1,-19,-107,20,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
45,insertionsort,1.23434,105,53,128036.22,507,0.03,3703.02,7113.12,370,158,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,291.0,1.23434,17,0,0,-44,62,-7,-110,73,-84,119,108,50,-69,74,109,-65,107,5,-61,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
46,insertionsort,1.24495,104,53,131330.11,512,0.03,3734.85,7296.12,374,157,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,375.0,1.24495,18,0,0,-87,0,52,-43,-20,7,76,95,-25,-59,-83,-63,49,-96,113,-89,-96,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
47,insertionsort,1.176723333,96,53,125707.27,489,0.03,3530.17,6983.74,360,149,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,120.0,1.176723333,9,0,0,0,-72,66,-53,59,-110,36,-73,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
48,insertionsort,1.300723333,110,53,136310.06,531,0.03,3902.17,7572.78,386,163,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,582.0,1.300723333,25,0,0,-26,-86,-16,-114,71,-98,-90,73,14,-67,42,-86,17,-126,-33,102,99,-115,-63,118,-114,-126,-47,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
49,insertionsort,1.241643333,105,53,129733.93,510,0.03,3724.93,7207.44,372,158,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,354.0,1.241643333,18,0,0,94,30,100,-62,29,-96,-15,-10,118,-2,-12,-70,28,13,71,-76,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
50,insertionsort,1.154346667,94,53,123011.69,481,0.03,3463.04,6833.98,355,147,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,42.0,1.154346667,6,0,0,-96,-78,-16,65,12,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
51,insertionsort,1.13126,90,53,122911.36,474,0.03,3393.78,6828.41,351,143,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,24.0,1.13126,3,0,0,-1,-110,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
52,insertionsort,1.223946667,103,53,127534.15,504,0.03,3671.84,7085.23,369,156,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,198.0,1.223946667,15,0,0,-84,-37,-61,23,-71,-63,25,45,-112,-27,20,-107,17,67,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
53,insertionsort,1.14558,93,53,122410.63,478,0.03,3436.74,6800.59,353,146,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,51.0,1.14558,5,0,0,20,125,-47,-72,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
54,insertionsort,1.19675,98,53,127179.07,496,0.03,3590.25,7065.5,365,151,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,123.0,1.19675,11,0,0,-107,-87,57,-11,-123,-93,-34,-20,124,-76,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
55,insertionsort,1.289366667,109,53,135419.02,527,0.03,3868.1,7523.28,383,162,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,624.0,1.289366667,24,0,0,5,-69,97,-50,83,64,-37,86,79,23,38,-95,58,-95,-55,112,-120,-67,-103,-50,-18,-18,-9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
56,insertionsort,1.273136667,108,53,134015.24,521,0.03,3819.41,7445.29,378,161,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,492.0,1.273136667,23,0,0,85,-73,-124,-39,59,15,63,103,-111,30,20,86,68,-75,116,-107,101,-37,2,84,-75,-39,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
57,insertionsort,1.19675,98,53,128149.9,496,0.03,3590.25,7119.44,364,151,3,6,3,0,2,2,1,5,5,2,2,100,0,0,1,3,1,165.0,1.19675,12,0,0,-110,37,96,-69,57,-55,-88,113,-110,98,-110,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
