inputName,nn,size,isign,data[size]
values_74,10,9,-1,"{-27, -86, -109, 81, 27, 39, -73, 116, 57"
values_72,10,9,-1,"{-87, 0, -87, 124, -116, -34, -9, 11, -93"
values_86,2,5,0,"{-10, 83, 125, 107, 31"
values_75,2,10,1,"{-12, -30, 8, -120, 40, -77, -89, -60, 81, -2"
values_55,10,5,1,"{70, -91, 83, 126, 91"
values_14,8,5,-1,"{-87, 34, -59, -40, 100"
values_47,7,9,-1,"{123, -126, -115, 123, 21, -40, 115, -121, 15"
values_91,2,10,0,"{1, -57, 41, -93, -89, 125, 38, 41, 33, 42"
values_64,10,5,-1,"{39, -124, -99, 15, -25"
values_11,8,5,0,"{91, 49, 28, 16, 78"
values_49,7,9,-1,"{-81, -64, 110, 111, -120, -80, 96, -14, 69"
values_62,10,5,-1,"{-21, 65, -56, -35, 11"
values_80,2,5,1,"{11, -3, 95, 61, 45"
values_39,7,5,-1,"{-73, -81, -55, 77, 90"
values_90,2,10,1,"{56, -83, -98, 6, -36, -43, 50, 36, -32, 34"
values_53,10,10,0,"{89, 76, 16, -108, -125, 25, 113, 12, 51, 65"
values_94,2,10,-1,"{23, -58, 30, -121, 1, 113, 2, 19, 82, -29"
values_7,8,5,-1,"{-7, -96, -114, 96, 36"
values_31,7,5,0,"{-51, -81, -63, 25, 83"
values_93,2,10,0,"{-2, 0, 43, -57, 30, -13, 72, -38, 48, -9"
values_38,7,5,0,"{119, 62, -13, 70, 20"
values_58,10,5,0,"{-11, -106, 103, -17, -96"
values_78,2,10,0,"{113, 33, 3, -125, 61, 67, -50, -91, -97, 120"
values_50,10,10,1,"{34, 123, 121, 69, 23, 117, 16, -114, -43, 61"
values_3,8,10,0,"{-119, 101, 12, -109, 14, -22, 75, 119, 104, 120"
values_13,8,5,0,"{-8, 60, -106, 98, 106"
values_83,2,5,0,"{94, -6, -43, -75, -124"
values_1,8,10,0,"{-77, -72, -26, 120, 56, 42, -79, 76, -112, -11"
values_21,8,9,0,"{-80, 68, 61, 98, 91, -1, -54, -37, 27"
values_32,7,5,-1,"{-96, 21, -63, 59, -109"
values_22,8,9,-1,"{-105, -12, 37, 84, 114, -58, 15, 42, -8"
values_9,8,5,-1,"{60, -34, 53, 110, 70"
values_6,8,5,0,"{-42, 89, -64, 125, 74"
values_76,2,10,0,"{125, -23, -11, -35, -94, 12, 7, -75, -51, 20"
values_18,8,10,0,"{-64, 22, -126, 58, 35, -10, -15, -25, -62, 88"
values_16,8,10,0,"{23, 107, -21, -17, 76, 91, 105, -38, -84, -30"
values_40,7,10,1,"{120, -25, 34, 23, -42, 28, 37, 106, 120, 87"
values_2,8,10,-1,"{24, 54, 105, 92, -113, -35, 111, -56, -82, -40"
values_60,10,5,1,"{53, -53, -60, 26, 43"
values_99,2,9,-1,"{-126, 119, 62, -38, -37, 115, 90, -32, -93"
values_48,7,9,0,"{63, -84, 110, 86, 17, -101, 0, -47, -98"
values_69,10,10,-1,"{104, 86, -33, 82, 122, 92, 8, -117, 66, 71"
values_46,7,9,0,"{115, -120, 47, -72, -18, -30, -114, 43, 68"
values_24,8,9,-1,"{123, -14, 55, -22, -92, 114, 24, -126, 109"
values_95,2,9,1,"{-39, -101, 86, 59, -37, -114, 117, -111, 12"
values_42,7,10,-1,"{22, -64, -29, 70, 126, 22, 122, 9, 68, -23"
values_37,7,5,-1,"{43, -71, -83, 36, -42"
values_10,8,5,1,"{-1, 41, -77, -113, -18"
values_67,10,10,-1,"{7, 6, -102, 44, -78, 15, 97, 41, 4, -76"
values_35,7,5,1,"{-6, 29, -61, -8, -32"
values_30,7,5,1,"{-56, 70, -6, 5, 58"
values_4,8,10,-1,"{-84, 20, -48, 30, -56, -76, 29, -31, -32, -51"
