;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;V_VAL_1;V_VAL_2;V_VAL_3;V_VAL_4;V_VAL_5;V_VAL_6;V_VAL_7;V_VAL_8;V_VAL_9;V_VAL_10;V_VAL_11;V_VAL_12;V_VAL_13;V_VAL_14;V_VAL_15;V_VAL_16;V_VAL_17;V_VAL_18;V_VAL_19;V_VAL_20;V_VAL_21;V_VAL_22;V_VAL_23;V_VAL_24;V_VAL_25;V_VAL_26;V_VAL_27;V_VAL_28
13;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;17;43;23;22;79;116;3;37;38;82;31;13;113;30;118;43;40;22;0;0;0;0;0;0;0;0;0;0;0
14;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;12;108;42;50;9;86;121;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;33;120;60;5;31;6;23;20;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;25;88;127;21;105;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;19;100;115;31;54;30;9;93;116;122;60;2;8;7;43;73;42;40;119;102;9;97;0;0;0;0;0;0;0
18;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;97;74;74;27;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;81;3;117;92;83;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;8;63;39;54;34;14;95;52;14;93;73;20;4;98;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;73;17;72;57;11;11;43;127;123;20;34;112;79;77;120;121;53;4;32;27;80;112;86;39;48;41;0;0;0
22;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;89;25;26;19;67;44;112;59;75;84;27;67;113;2;49;82;18;100;45;115;84;0;0;0;0;0;0;0;0
23;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;82;45;40;42;34;121;48;63;19;55;111;47;26;60;118;28;55;5;65;69;18;55;0;0;0;0;0;0;0
24;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;34;114;69;99;106;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;70;80;80;115;97;27;87;8;19;42;25;110;86;96;123;70;59;3;68;61;51;110;0;0;0;0;0;0;0
26;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;29;43;27;115;112;126;63;33;89;101;88;69;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;51;8;25;91;49;44;40;93;121;62;30;88;107;13;26;127;83;115;122;76;8;115;123;47;100;64;89;0;0
28;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;57;23;33;87;39;20;30;127;14;87;38;36;118;9;126;83;74;59;50;0;0;0;0;0;0;0;0;0;0
29;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;88;24;37;26;43;10;78;31;46;35;119;10;109;55;43;51;0;0;0;0;0;0;0;0;0;0;0;0;0
30;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;23;30;21;76;26;83;81;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;45;43;39;56;35;98;16;35;123;89;30;4;10;32;44;45;102;96;7;11;93;9;85;26;14;0;0;0;0
32;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;66;127;48;9;43;76;95;4;121;70;74;32;55;73;110;111;2;60;0;0;0;0;0;0;0;0;0;0;0
33;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;36;13;88;43;90;67;29;42;64;87;6;121;83;102;99;51;90;88;61;72;67;63;39;61;37;73;0;0;0
34;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;56;111;25;6;123;31;99;100;83;28;8;38;7;55;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;26;98;93;101;59;42;98;113;115;32;85;7;28;45;123;72;31;29;47;48;65;107;64;88;70;98;42;0;0
36;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;43;94;29;67;120;8;22;71;37;117;121;100;44;5;72;112;0;0;0;0;0;0;0;0;0;0;0;0;0
37;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;52;8;4;82;64;70;113;62;75;62;7;74;77;68;63;13;54;33;0;0;0;0;0;0;0;0;0;0;0
38;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;98;115;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;61;62;72;113;106;120;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;44;62;96;55;48;109;69;45;8;3;89;85;92;8;127;55;26;6;38;93;40;0;0;0;0;0;0;0;0
41;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;68;20;80;63;80;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;41;10;102;103;5;29;115;91;103;40;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;85;9;2;68;120;108;25;31;17;121;42;124;126;86;12;72;24;10;119;111;52;0;0;0;0;0;0;0;0
44;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;79;72;39;44;5;80;7;109;74;68;84;80;12;109;82;79;57;88;9;89;26;101;93;118;104;0;0;0;0
45;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;71;73;95;3;117;8;15;66;44;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;63;116;94;10;21;125;69;120;73;95;10;50;88;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;20;29;126;32;83;44;62;42;10;68;53;10;10;94;106;98;119;22;17;46;15;57;93;24;70;58;55;13;5
48;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;74;91;64;60;78;6;57;105;93;108;122;15;3;34;84;76;119;2;77;111;39;116;32;36;77;124;30;0;0
49;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;72;64;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;86;83;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;75;110;53;36;46;74;110;32;116;27;90;10;87;21;69;121;88;0;0;0;0;0;0;0;0;0;0;0;0
52;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;55;87;66;94;3;5;85;23;55;119;111;6;28;98;93;73;4;44;33;0;0;0;0;0;0;0;0;0;0
53;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;14;104;27;39;2;61;101;75;71;117;47;91;70;105;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;47;26;14;66;51;126;86;90;91;32;34;32;25;68;55;48;126;123;0;0;0;0;0;0;0;0;0;0;0
55;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;91;93;3;16;99;102;22;109;3;106;82;8;33;109;61;111;74;2;91;15;112;11;70;104;15;40;79;0;0
56;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;64;29;48;52;117;121;63;57;14;107;80;83;111;118;53;43;37;65;101;50;66;91;16;96;0;0;0;0;0
57;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;11;30;3;66;114;27;60;94;50;104;21;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;49;39;50;30;3;117;105;12;116;118;116;9;106;78;85;19;39;41;120;112;63;45;12;54;117;44;127;0;0
59;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;62;120;69;62;47;109;56;127;95;15;60;73;49;12;21;45;15;26;102;27;6;95;0;0;0;0;0;0;0
60;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;80;109;101;27;81;67;76;92;76;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;39;95;111;6;14;2;34;50;95;31;17;11;31;20;117;38;65;92;86;38;39;55;109;20;0;0;0;0;0
62;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;90;78;54;81;100;60;120;114;71;98;115;71;12;7;23;52;11;102;48;30;107;15;27;95;65;19;108;0;0
63;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;53;89;57;90;70;118;86;125;17;6;27;51;14;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;94;109;68;22;55;79;106;31;119;15;79;103;115;48;108;53;126;35;77;81;33;12;58;121;39;0;0;0;0
65;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;7;118;45;108;32;49;95;92;3;75;47;91;15;19;11;21;119;85;69;82;2;75;16;126;86;0;0;0;0
66;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;31;111;38;98;96;40;55;104;28;105;122;106;73;101;84;120;22;0;0;0;0;0;0;0;0;0;0;0;0
67;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;93;111;52;8;78;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;38;72;83;30;100;92;29;106;93;65;66;110;71;8;76;40;66;38;89;0;0;0;0;0;0;0;0;0;0
69;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;58;17;45;126;47;65;58;99;39;96;25;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;78;4;111;109;83;110;64;45;77;27;107;33;72;125;90;17;111;24;68;38;123;12;5;104;71;58;58;11;0
71;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;50;68;73;110;82;62;107;122;11;52;105;71;74;18;62;16;114;99;54;30;102;0;0;0;0;0;0;0;0
72;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;3;19;14;64;115;12;39;17;60;38;124;22;22;50;4;30;61;11;94;106;118;97;9;56;37;113;63;0;0
73;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;13;80;124;5;80;78;66;12;25;17;7;112;83;40;71;104;67;25;114;58;53;0;0;0;0;0;0;0;0
74;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;83;67;99;111;22;56;61;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;1;18;60;55;62;120;77;86;80;55;22;103;21;109;45;101;45;54;11;85;42;42;15;0;0;0;0;0;0
76;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;21;54;104;79;67;62;33;115;102;106;30;81;13;20;19;98;62;0;0;0;0;0;0;0;0;0;0;0;0
77;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;32;20;84;42;104;120;9;31;46;10;69;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;22;61;72;7;103;109;15;124;25;53;15;36;3;18;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;9;127;82;35;54;108;112;119;111;110;39;109;88;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;6;2;75;80;110;16;125;26;105;108;61;22;9;45;21;110;127;74;119;101;25;114;17;2;77;17;77;0;0
81;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;76;99;113;44;127;76;76;44;76;23;23;104;100;86;68;102;50;95;0;0;0;0;0;0;0;0;0;0;0
82;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;18;89;91;49;18;58;47;21;77;64;100;53;106;93;112;81;61;20;37;27;74;32;103;111;21;88;124;0;0
83;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;16;122;71;102;16;81;12;108;41;76;89;116;118;71;32;124;7;110;39;0;0;0;0;0;0;0;0;0;0
84;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;40;44;53;113;74;12;46;34;5;6;13;47;3;41;110;59;51;123;33;46;107;26;15;19;112;63;100;122;0
85;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;2;4;49;89;62;35;51;71;104;114;77;126;108;36;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;60;64;28;110;57;85;10;97;38;23;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;99;53;16;118;99;45;79;30;18;84;9;36;18;120;93;61;98;0;0;0;0;0;0;0;0;0;0;0;0
88;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;48;15;70;49;11;21;67;87;110;88;122;114;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;69;99;53;60;44;104;95;4;19;83;83;27;9;4;40;49;0;0;0;0;0;0;0;0;0;0;0;0;0
90;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;46;3;22;34;53;30;79;54;92;30;116;23;94;95;61;124;99;0;0;0;0;0;0;0;0;0;0;0;0
91;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;24;93;32;107;26;48;61;110;9;49;63;28;30;98;10;10;50;47;115;0;0;0;0;0;0;0;0;0;0
92;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;95;99;43;38;23;80;57;122;117;110;12;40;99;17;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;42;99;42;69;20;34;114;121;52;34;9;33;113;48;86;64;110;27;17;75;90;34;0;0;0;0;0;0;0
94;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;37;80;8;11;113;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;10;105;37;19;34;63;27;42;116;31;95;33;86;55;38;67;37;23;124;16;68;26;47;10;0;0;0;0;0
96;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;67;111;95;3;87;3;114;40;47;34;115;41;101;45;25;34;94;0;0;0;0;0;0;0;0;0;0;0;0
97;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;35;37;11;95;24;118;62;108;34;117;55;52;6;21;31;112;4;14;90;111;28;36;17;74;2;0;0;0;0
98;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;30;121;55;48;12;114;37;79;32;35;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;4;117;84;87;40;118;11;86;20;21;108;63;75;83;55;55;68;42;14;33;92;122;8;104;47;116;103;105;49
100;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;27;-59;-56;-77;111;126;-111;114;20;20;25;-76;46;36;59;-60;76;-16;-64;118;44;93;0;0;0;0;0;0;0
101;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;84;-38;46;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;65;-8;-73;50;122;93;-26;-126;-17;-48;107;-104;-46;-36;-23;-71;73;-14;-67;-78;114;0;0;0;0;0;0;0;0
103;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;96;46;52;27;-9;-105;13;20;58;-100;-119;37;104;39;-127;114;-81;-34;124;46;49;63;70;0;0;0;0;0;0
104;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;28;-80;65;4;124;-81;-102;-64;-93;81;-45;-55;-25;-87;112;13;14;111;-115;-49;-77;93;0;0;0;0;0;0;0
105;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;54;-111;-108;-16;45;78;-39;-21;-104;42;-58;-122;116;80;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;15;-83;74;2;-21;-9;84;46;-24;-121;40;2;62;-50;68;86;117;-79;0;0;0;0;0;0;0;0;0;0;0
107;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;87;-85;20;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;59;-115;-29;-96;67;127;-66;-124;-87;-22;-30;-56;-27;-102;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;5;122;-116;46;111;81;64;-77;-59;-112;37;116;85;-113;107;44;109;-5;-122;95;3;17;-82;-100;-119;-26;0;0;0
110;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;92;81;98;-80;14;-109;-89;-115;80;-35;28;92;47;-114;-38;-29;1;72;-30;105;58;-11;-107;0;0;0;0;0;0
111;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;0;79;-21;113;124;-46;96;82;16;-57;-117;-76;-84;-39;-112;-61;78;-55;-45;-22;-76;16;-99;-63;-39;-82;0;0;0
112;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;77;103;-80;2;87;-21;-109;-90;3;62;46;-122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;17;113;-78;41;-2;-127;-69;64;-106;-70;48;28;-21;-122;-122;-25;-36;-30;0;0;0;0;0;0;0;0;0;0;0
114;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;12;124;-83;96;-3;-94;46;-33;19;58;40;46;103;74;-17;49;-45;-88;0;0;0;0;0;0;0;0;0;0;0
115;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;33;115;-53;-115;43;74;93;-21;102;-114;-115;-29;-17;-114;83;110;31;-45;78;84;-55;0;-35;0;0;0;0;0;0
116;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;25;41;-112;24;11;-1;4;-6;118;-13;-74;-123;43;8;125;-90;-40;76;-112;-112;76;-9;0;0;0;0;0;0;0
117;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;19;-2;25;79;-116;-9;115;43;-46;-45;-117;81;15;86;37;-125;108;102;0;0;0;0;0;0;0;0;0;0;0
118;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;97;-13;-21;107;-88;92;-47;-126;123;-72;-51;-57;103;21;-112;50;-10;7;-103;20;-116;123;-36;0;0;0;0;0;0
119;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;81;-90;-125;-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;8;-78;-114;126;113;105;-25;25;74;-116;121;-59;44;-58;-49;-35;-1;-68;-73;37;-32;-21;-56;-50;14;27;0;0;0
121;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;73;-35;-26;33;-127;50;-124;-26;-25;-15;-88;-54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;89;20;-81;-75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;82;115;-42;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;34;68;46;-34;101;-127;4;-125;-3;50;1;99;70;-56;-51;88;6;100;32;-77;19;-117;-90;0;0;0;0;0;0
125;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;70;-55;88;-30;-121;7;78;-123;-59;46;105;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;29;38;-108;-59;-24;38;-47;100;-44;84;-105;84;31;113;-99;-94;-117;-26;85;33;-78;-14;0;0;0;0;0;0;0
127;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;51;-99;90;52;-41;67;-106;-119;-77;-13;-48;-16;-57;-123;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;57;-51;18;80;76;-37;-94;72;-64;11;32;62;102;81;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;88;-68;56;-66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;23;-89;-17;104;-32;76;-51;91;73;-62;48;26;-110;11;82;-10;-77;-10;-30;39;54;-81;0;0;0;0;0;0;0
131;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;45;-89;-20;69;119;-13;-96;-113;-48;-52;95;-96;86;125;-45;-106;-45;0;0;0;0;0;0;0;0;0;0;0;0
132;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;66;98;74;-104;22;-4;39;-38;-103;-6;-5;-87;41;-35;-92;-66;-46;-22;108;4;102;0;0;0;0;0;0;0;0
133;Bambu;5SGXEA7N2F45C1-Stratix-V;binarysearch;int8_t;36;95;-40;59;-121;-58;-97;72;-93;17;-88;-69;65;73;27;-23;-6;-12;-93;-53;-43;-50;92;0;0;0;0;0;0
