inputName,size,arr[size]
values_23,7,"{33, 35, -26, -66, 120, 14, 7"
values_45,18,"{102, 113, 0, 55, 45, -96, 58, -107, -113, 74, -22, -4, -74, 27, 38, 84, -49, 41"
values_66,3,"{-53, -110, -84"
values_36,6,"{48, 44, -112, 87, 23, -119"
values_56,2,"{17, 8"
values_26,7,"{33, -40, 85, 13, -74, -18, 101"
values_43,3,"{-123, 101, -21"
values_52,14,"{-15, -76, -83, -97, 90, 90, -113, 42, 62, 23, 84, -78, -11, -49"
values_98,6,"{81, 81, 49, -88, -21, -62"
values_61,27,"{-31, 50, 70, 91, 84, 62, 21, -34, -47, 121, 50, 85, -37, 86, -49, -117, -108, -120, -57, 22, 38, -81, 46, 5, 59, 107, 106"
values_44,7,"{-11, 126, 111, -92, 11, 63, 95"
values_68,6,"{44, 86, 12, -50, -10, -99"
values_41,27,"{118, -18, -21, 11, 95, 6, -118, 2, -59, 116, -97, -60, -123, -98, -65, 66, 40, 29, -81, -82, -15, 33, -67, 99, 118, -39, -116"
values_85,25,"{32, 87, 48, -90, 70, -13, -29, 50, -115, -70, 39, -1, 67, 9, 105, 22, 32, 11, 15, -107, -77, -118, 98, 57, 74"
values_79,13,"{8, 58, 76, -17, 17, 96, -119, 64, -39, 14, 74, -72, 75"
values_71,23,"{-18, 45, 77, -61, -30, 46, -7, 75, -73, 98, 102, 24, 114, -122, 48, -17, 59, 59, -106, 120, -75, 10, -22"
values_63,11,"{-81, 19, 114, 99, 125, -64, -59, -63, -73, 118, -12"
values_20,4,"{-100, 50, 105, -57"
values_74,10,"{-92, -105, -92, 3, 26, 42, -45, 3, -37, 7"
values_72,19,"{100, 34, -24, 8, 96, 3, -60, 84, -36, 75, 42, -14, 10, 97, -18, 64, -55, -95, -28"
values_86,16,"{13, -2, 36, 30, 25, 9, 125, 33, 74, -21, 26, 7, -105, -4, -53, 60"
values_75,15,"{97, 8, 108, 39, 115, -63, 103, 73, 54, 87, -49, -40, -114, 76, 96"
values_55,24,"{-59, -95, 96, -10, 3, 64, 82, 80, -106, -18, -48, -85, -29, 81, -117, -73, 87, 98, -117, -110, 82, -63, 53, -89"
values_14,15,"{-66, 101, -80, 112, -11, 111, 115, 59, -10, -120, 97, 84, -120, -23, -29"
values_47,23,"{13, -17, 79, -117, -124, -57, 72, -73, 11, 26, 104, -119, -86, 37, 98, -110, -92, -103, 43, 58, -83, -77, 115"
values_91,6,"{24, 110, -11, 35, -53, 49"
values_64,15,"{78, 34, 86, 116, 116, 25, -52, 1, -8, 37, 48, -43, 18, -20, 2"
values_11,24,"{-2, -24, 66, 50, -48, 103, -64, 94, -9, -41, -5, 70, 75, -11, 9, -84, -23, -76, -113, -75, -84, -55, 45, -1"
values_49,3,"{-31, 28, 4"
values_62,28,"{62, -105, 108, 114, -114, 112, -50, 93, -53, 6, -50, 54, 114, 74, -32, 118, -13, 29, -21, -109, 113, -107, 27, 58, -106, 45, -4, -3"
values_80,7,"{2, 21, -64, 112, 75, 52, 42"
values_39,16,"{75, -43, 19, -38, 34, 91, 62, 105, -99, 92, 123, -47, 125, 28, 56, -104"
values_90,9,"{16, 3, 73, 11, 105, 116, 94, -93, -77"
values_53,8,"{110, 85, -31, -91, 70, -83, 73, -97"
values_94,8,"{90, -71, 36, 108, 112, 23, 49, 69"
values_7,11,"{13, -60, -70, 94, -13, 118, 58, 72, 7, -78, -125"
values_31,20,"{66, -125, 98, -114, 74, 122, 39, -19, -78, -122, -114, -67, -5, -85, -13, 82, 92, 0, -39, 83"
values_93,8,"{114, -40, -94, -110, -83, -6, 94, -111"
values_38,6,"{52, 62, -46, 58, 6, -57"
values_58,21,"{20, -15, 38, 112, -5, -56, 112, 29, 18, -52, 14, 36, -119, 13, -47, 55, -1, 100, -50, 92, 47"
values_78,8,"{-72, 56, -106, 121, -126, -9, -84, -79"
values_50,5,"{28, 80, 99, -105, -61"
values_3,28,"{81, 85, -6, -17, -82, 61, 73, 61, 117, -110, -62, 112, -85, 113, 65, -31, -9, 29, 11, -63, -47, -102, -25, -7, 48, 48, -67, -80"
values_13,20,"{-29, -69, -96, 76, -83, -67, -56, -13, -68, 11, 52, 42, 10, -70, -66, -57, -117, 21, -20, -46"
values_83,4,"{-32, -25, -10, -51"
values_1,9,"{-63, 37, -70, 22, -66, 116, 19, 48, 65"
values_21,28,"{-60, -121, 63, -70, 82, 36, -12, -126, 102, -43, 39, 117, 110, 82, -41, 78, 91, -25, 48, 37, 93, 41, 47, 85, 114, 97, -100, 28"
values_32,11,"{52, -31, 13, -71, -23, -100, -8, -61, -20, -94, 15"
values_22,27,"{56, 126, -60, -46, 59, -120, -118, -93, -94, -28, 10, 66, -15, 91, 1, 10, -122, -36, -24, -79, -14, -10, 126, -115, 18, -88, -117"
values_9,4,"{-36, 115, -56, -93"
values_6,21,"{10, -18, 2, -99, -35, 88, 41, -43, -51, -58, 21, -112, -93, -104, -11, -88, 94, 55, 27, 58, -124"
values_76,7,"{0, 110, -23, -52, 112, -67, 13"
values_18,12,"{-12, -70, 43, 91, -66, 30, 120, 67, 93, -56, -30, -44"
values_16,17,"{-7, 112, -50, 64, -8, -60, -74, 38, 40, -52, 65, -15, -122, -6, -28, -78, 80"
values_40,7,"{-52, -118, 26, -72, -93, -68, -66"
values_2,10,"{-56, 22, -52, -11, 45, -3, -57, -78, -74, 26"
values_60,6,"{-10, 109, 112, -44, -54, 109"
values_99,25,"{44, -48, 64, 84, 118, -60, 35, 121, 2, -26, -112, -76, -40, 1, 114, -94, -96, 91, -108, -80, 83, 106, 110, 8, -111"
values_48,20,"{118, -90, -44, -125, 68, 74, 63, -19, -82, -13, 121, -26, 2, -35, 24, 116, 116, 11, -32, -110"
values_69,20,"{-32, -19, -69, 58, 39, 118, -73, 74, -86, -67, -56, 70, -113, 125, -32, -27, 103, 42, 82, -52"
values_46,17,"{-64, 9, 84, -119, -58, 65, -119, -64, 63, -94, 71, 52, -76, -21, -101, 17, -56"
values_24,14,"{67, 88, 116, 86, -34, -26, 104, 88, -56, 29, -125, 46, 22, 97"
values_95,21,"{-46, 124, -93, 70, -116, -57, -111, -73, 98, 1, 23, 20, -88, 12, -88, -49, 29, 53, -60, 78, 123"
values_42,20,"{-56, -113, -72, -101, 60, -99, -88, -23, -107, 39, -56, 99, 57, 40, 7, -22, 126, -77, 83, -49"
values_37,11,"{115, -117, -117, -30, -66, -86, 106, -38, 119, -74, 32"
values_10,19,"{-123, 4, -80, 107, 45, 111, 13, -89, 67, 118, -16, -95, -95, -84, -30, -25, -84, 6, -38"
values_67,21,"{77, -80, -125, -80, 17, 47, 97, 35, 46, -29, 101, -37, 61, 56, 12, 124, 63, -1, -89, -125, -15"
values_35,13,"{-45, -9, -71, 67, -115, -113, 21, 16, -77, -119, 113, -28, 52"
values_30,4,"{-124, -63, 64, -117"
values_4,4,"{-96, 88, 121, 34"
