inputName,nn,size,isign,data[size]
values_36,5,9,1,"{-45, -27, 24, -97, -88, -64, 34, -98, -74"
values_56,7,3,1,"{-84, 119, 48"
values_26,5,7,1,"{-4, -62, -64, -33, -64, -41, -4"
values_43,5,2,-1,"{118, 120"
values_52,7,7,0,"{63, -93, 55, -65, 64, 124, 89"
values_98,2,9,-1,"{43, 44, -6, -85, -33, -71, 126, -90, 34"
values_61,7,9,1,"{-38, 17, -31, 48, 81, -99, 88, -110, -62"
values_44,5,2,0,"{16, -104"
values_68,7,2,-1,"{-70, -24"
values_41,5,2,1,"{-17, -61"
values_85,2,9,0,"{-79, -43, 28, 110, 40, 76, -81, -43, -61"
values_79,2,7,0,"{-99, -37, -30, -126, -101, 86, 11"
values_71,7,9,1,"{-43, 64, 40, -31, -99, 72, -90, -102, 7"
values_63,7,9,-1,"{-65, 16, -77, 12, 60, 43, 17, 108, 31"
values_20,7,9,0,"{-27, -75, 90, -24, 86, -124, -70, -32, 81"
values_74,7,9,0,"{48, 95, 96, 20, 97, -82, -82, -74, -25"
values_72,7,9,0,"{124, 126, -32, 51, -123, 18, -23, 48, 49"
values_86,2,9,1,"{110, 16, 19, -70, 105, 95, -103, 56, 117"
values_75,2,7,0,"{-93, 3, 92, -76, -37, -14, 79"
values_55,7,3,0,"{-29, -3, -58"
values_14,7,9,0,"{-71, -55, 91, 86, -13, -36, 59, -79, -25"
values_47,5,9,0,"{-20, 47, 53, -118, -77, 97, 79, -14, 119"
values_91,2,2,1,"{7, -32"
values_64,7,9,0,"{84, -21, -90, 81, 73, -41, -76, -2, -96"
values_11,7,9,1,"{10, -106, 74, -117, -82, 45, 38, 122, -89"
values_49,5,9,0,"{104, -61, 70, 107, 32, 54, -46, 103, -45"
values_62,7,9,0,"{29, -4, 115, 16, 4, -55, -117, 43, 120"
values_80,2,3,0,"{67, -100, -102"
values_39,5,9,0,"{81, 125, 120, 33, -93, 104, -29, 78, -49"
values_90,2,2,0,"{102, 77"
values_53,7,7,-1,"{-111, -22, 55, 14, 49, 124, -15"
values_94,2,2,0,"{109, -100"
values_7,7,3,0,"{61, -32, -106"
values_31,5,3,1,"{64, -93, -123"
values_93,2,2,-1,"{-94, -92"
values_38,5,9,-1,"{91, -11, 69, -10, 49, -80, 123, 39, -57"
values_58,7,3,-1,"{-47, -102, -69"
values_78,2,7,-1,"{93, -36, 69, -73, 45, 19, 106"
values_50,7,7,0,"{-121, 2, -65, 83, -2, 16, -90"
values_3,7,7,-1,"{11, -12, 101, 94, -114, 70, -89"
values_13,7,9,-1,"{16, 17, -41, 45, -47, -13, 116, -53, 3"
values_83,2,3,-1,"{103, -7, 124"
values_1,7,7,1,"{9, 91, 66, 7, -30, -5, 74"
values_21,7,9,1,"{-113, 1, -124, -6, 59, 25, 54, 124, -73"
values_32,5,3,0,"{47, 15, -33"
values_22,7,9,0,"{-99, 63, -2, -38, 27, 13, 57, 86, 100"
values_9,7,3,0,"{38, -111, 57"
values_6,7,3,1,"{-60, -71, -9"
values_76,2,7,1,"{-73, 106, 20, -4, 40, -68, -53"
values_18,7,2,-1,"{37, -8"
values_16,7,2,1,"{-107, -70"
values_40,5,2,0,"{116, -30"
values_2,7,7,0,"{-108, 60, -20, -92, -63, 71, -111"
values_60,7,9,0,"{2, 93, -18, 41, -25, -67, -50, -75, 94"
values_99,2,9,0,"{-102, 118, -68, 43, -77, 75, -15, 7, 31"
values_48,5,9,-1,"{-113, 13, -104, -40, 103, 41, 31, -114, -11"
values_69,7,2,0,"{-126, -5"
values_46,5,9,1,"{96, 118, 36, -112, -28, -55, -60, -126, 120"
values_24,7,9,0,"{106, -16, -82, -86, 34, 22, 48, 98, -97"
values_95,2,9,0,"{95, -113, -99, -40, 102, -17, 54, 41, 42"
values_42,5,2,0,"{-13, 47"
values_37,5,9,0,"{11, 70, 15, -47, -11, 25, -96, -59, 61"
values_10,7,9,0,"{-48, 104, -104, 66, -91, 42, 73, 63, 65"
values_67,7,2,0,"{-20, -20"
values_35,5,9,0,"{73, 34, 115, -115, 80, -30, 32, -2, -25"
values_30,5,3,0,"{34, 46, -25"
values_4,7,7,0,"{-25, 5, 46, -23, -26, -119, -116"
