inputName,size,arr[size]
values_93,19,"{97, 42, 27, 57, 103, 43, 16, 79, 96, 48, 92, 51, 85, 19, 30, 52, 8, 43, 108"
values_38,4,"{38, 78, 32, 89"
values_58,21,"{106, 73, 106, 60, 19, 17, 32, 86, 12, 82, 33, 50, 74, 18, 86, 54, 41, 39, 101, 103, 8"
values_78,3,"{75, 55, 74"
values_50,11,"{14, 38, 89, 97, 116, 42, 115, 90, 86, 18, 72"
values_3,21,"{58, 21, 36, 82, 71, 62, 54, 57, 80, 85, 28, 77, 99, 61, 78, 7, 108, 2, 71, 109, 116"
values_13,11,"{99, 36, 56, 26, 78, 45, 113, 96, 10, 34, 51"
values_83,23,"{65, 72, 22, 89, 110, 88, 101, 44, 16, 41, 79, 93, 24, 114, 39, 97, 67, 38, 5, 57, 17, 6, 51"
values_1,7,"{33, 40, 8, 70, 31, 84, 67"
values_21,12,"{111, 31, 92, 78, 6, 104, 37, 93, 54, 59, 26, 61"
values_32,4,"{65, 62, 93, 92"
values_22,8,"{75, 55, 96, 114, 106, 44, 28, 52"
values_9,26,"{73, 95, 88, 82, 75, 55, 20, 32, 95, 77, 68, 24, 102, 52, 74, 72, 61, 107, 46, 11, 54, 41, 39, 27, 31, 59"
values_6,21,"{81, 32, 12, 83, 39, 8, 98, 19, 52, 100, 32, 5, 82, 15, 42, 68, 96, 14, 19, 20, 98"
values_76,6,"{16, 71, 61, 48, 70, 94"
values_18,15,"{16, 89, 10, 101, 46, 101, 80, 18, 24, 36, 96, 78, 106, 75, 51"
values_16,22,"{93, 24, 71, 25, 58, 50, 114, 51, 31, 72, 94, 68, 98, 88, 86, 4, 51, 108, 58, 81, 89, 40"
values_40,8,"{17, 39, 84, 5, 5, 98, 77, 62"
values_2,4,"{65, 84, 71, 63"
values_60,21,"{50, 104, 103, 92, 20, 99, 27, 9, 90, 102, 43, 49, 5, 14, 65, 48, 17, 96, 62, 90, 52"
values_99,25,"{49, 15, 110, 30, 60, 116, 56, 33, 71, 50, 81, 70, 48, 30, 68, 83, 23, 8, 18, 22, 104, 96, 38, 26, 90"
values_48,15,"{91, 33, 66, 47, 91, 64, 112, 105, 108, 63, 48, 49, 49, 49, 58"
values_69,8,"{112, 6, 58, 96, 6, 71, 40, 10"
values_46,9,"{108, 6, 27, 66, 107, 59, 39, 71, 78"
values_24,8,"{85, 72, 39, 36, 31, 26, 53, 76"
values_95,17,"{19, 7, 33, 114, 73, 91, 80, 82, 111, 29, 65, 50, 21, 26, 50, 57, 116"
values_42,17,"{64, 33, 29, 100, 54, 113, 82, 9, 49, 43, 19, 100, 94, 21, 75, 30, 74"
values_37,19,"{97, 52, 54, 85, 91, 4, 10, 11, 9, 105, 93, 101, 11, 44, 61, 11, 71, 77, 91"
values_10,21,"{84, 30, 85, 112, 69, 114, 42, 114, 60, 38, 4, 7, 67, 29, 106, 95, 80, 112, 38, 60, 68"
values_67,5,"{77, 37, 5, 103, 97"
values_35,20,"{8, 72, 74, 115, 100, 28, 11, 54, 42, 116, 22, 46, 67, 83, 4, 30, 91, 41, 61, 34"
values_30,10,"{101, 27, 12, 15, 81, 51, 69, 47, 86, 56"
values_4,20,"{115, 38, 97, 13, 23, 24, 26, 53, 50, 4, 96, 97, 32, 43, 104, 22, 83, 46, 29, 82"
