,FUNCTION,BugsDelivered,DifficultyLevel,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,ExitPoint,Function.1,FunctionCall,PointerDereferencing,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,cInstr,Bugs_Delivered,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,BRAM
11,insertionsort,1.228803333,34.73,103,53,128040.24,506,0.03,3686.41,7113.35,371,135,156,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,204.0,1.228803333,15,0,0,-25,-97,-39,-67,-24,5,-95,-23,119,12,40,-22,-92,-51,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
12,insertionsort,1.128066667,35.82,91,53,121217.75,472,0.03,3384.2,6734.32,349,123,144,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,21.0,1.128066667,3,0,0,29,45,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
13,insertionsort,1.214233333,34.99,103,53,127459.17,500,0.03,3642.7,7081.07,364,136,156,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,249.0,1.214233333,16,0,0,0,31,-124,75,44,64,37,103,30,83,82,66,32,39,92,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
14,insertionsort,1.31628,35.98,109,53,142085.76,538,0.03,3948.84,7893.65,390,148,162,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,720.0,1.31628,28,0,0,61,-60,106,115,-89,-6,-58,-56,-79,11,-125,-6,-117,92,-2,88,-30,70,-113,-4,-110,89,3,11,-92,72,-58,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
15,insertionsort,1.18951,35.15,98,53,125444.88,493,0.03,3568.53,6969.16,363,130,151,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,144.0,1.18951,10,0,0,79,-39,-55,-23,53,-74,-31,114,-45,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
16,insertionsort,1.23209,35.85,102,53,132522.19,508,0.03,3696.27,7362.34,370,138,155,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,384.0,1.23209,18,0,0,61,102,90,102,0,-24,-119,14,0,14,21,-120,63,109,-89,-45,42,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
17,insertionsort,1.207836667,34.81,102,53,126147.88,498,0.03,3623.51,7008.22,364,134,155,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,225.0,1.207836667,14,0,0,-5,15,118,60,-43,47,45,34,30,84,-113,105,69,-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
18,insertionsort,1.242516667,35.42,104,53,132023.41,511,0.03,3727.55,7334.63,372,139,157,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,462.0,1.242516667,19,0,0,114,90,-118,83,100,-114,122,89,72,72,87,124,-63,23,-89,-93,10,-94,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
19,insertionsort,1.130456667,35.82,91,53,121474.56,473,0.03,3391.37,6748.59,350,123,144,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,24.0,1.130456667,3,0,0,-61,101,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
20,insertionsort,1.184686667,35.15,98,53,124935.97,491,0.03,3554.06,6940.89,361,130,151,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,144.0,1.184686667,10,0,0,35,13,53,108,-43,-118,63,-45,-36,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
21,insertionsort,1.154346667,35.52,94,53,123011.69,481,0.03,3463.04,6833.98,355,126,147,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,66.0,1.154346667,6,0,0,11,-27,28,92,-87,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
22,insertionsort,1.257106667,35.42,104,53,133573.59,517,0.03,3771.32,7420.75,378,139,157,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,390.0,1.257106667,19,0,0,-93,-94,-42,-109,22,76,-37,31,2,95,40,-41,-24,-105,-95,-84,-31,-79,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
23,insertionsort,1.261813333,34.67,107,53,131252.06,517,0.03,3785.44,7291.78,377,140,160,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,402.0,1.261813333,20,0,0,100,107,-66,-22,-99,-60,-1,18,54,-43,-93,-126,-117,98,-113,-15,56,63,49,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
24,insertionsort,1.315216667,34.71,113,53,136945.35,535,0.03,3945.65,7608.07,387,148,166,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,738.0,1.315216667,28,0,0,37,-95,-71,49,44,103,50,39,-20,94,-20,107,-107,75,13,-20,-100,121,-65,45,-55,-117,-63,122,-123,-12,114,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
25,insertionsort,1.290926667,34.69,110,53,134350.25,527,0.03,3872.78,7463.9,383,144,163,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,552.0,1.290926667,24,0,0,-23,16,36,-83,73,-26,-28,-68,101,70,-30,-103,90,-125,-125,81,-31,-1,-78,53,71,43,82,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
26,insertionsort,1.140016667,36.11,91,53,123497.78,477,0.03,3420.05,6860.99,353,124,144,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,39.0,1.140016667,4,0,0,-20,75,-91,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
27,insertionsort,1.191923333,35.15,98,53,125699.33,494,0.03,3575.77,6983.3,364,130,151,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,105.0,1.191923333,10,0,0,-120,-36,-72,-90,21,-17,-44,-28,-45,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
28,insertionsort,1.144,36.01,92,53,123570.53,478,0.03,3432.0,6865.03,353,125,145,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,48.0,1.144,5,0,0,1,-78,105,51,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
29,insertionsort,1.243376667,35.5,103,53,132437.58,512,0.03,3730.13,7357.64,374,138,156,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,360.0,1.243376667,18,0,0,-4,91,-22,-115,47,124,-67,-77,-42,77,9,-70,11,57,-92,-49,-62,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
30,insertionsort,1.267566667,35.25,106,53,134045.14,520,0.03,3802.7,7446.95,379,141,159,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,408.0,1.267566667,21,0,0,-121,-12,7,-81,44,8,-87,-107,91,19,103,119,-124,-65,-105,-84,-15,-91,81,-71,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
31,insertionsort,1.170333333,35.98,95,53,126340.7,487,0.03,3511.0,7018.93,358,129,148,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,102.0,1.170333333,9,0,0,44,37,8,-9,-87,-104,44,66,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
32,insertionsort,1.1241,35.92,90,53,121140.49,471,0.03,3372.3,6730.03,349,122,143,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,15.0,1.1241,2,0,0,-117,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
33,insertionsort,1.25449,34.67,107,53,130490.44,514,0.03,3763.47,7249.47,374,140,160,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,426.0,1.25449,20,0,0,119,36,98,1,64,-66,-48,-6,-97,57,103,-124,70,-113,110,-114,42,46,-39,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
34,insertionsort,1.248233333,36.02,103,53,134881.8,514,0.03,3744.7,7493.43,374,140,156,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,369.0,1.248233333,20,0,0,-72,111,-87,30,-83,-68,-4,58,30,19,0,-67,44,50,19,108,-122,1,49,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
35,insertionsort,1.193493333,35.33,99,53,126510.16,494,0.03,3580.48,7028.34,362,132,152,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,177.0,1.193493333,12,0,0,94,39,58,60,95,-118,-84,-13,-26,118,80,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
36,insertionsort,1.25138,35.08,105,53,131698.92,514,0.03,3754.14,7316.61,375,139,158,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,357.0,1.25138,19,0,0,-52,115,-87,69,-122,-32,61,-39,-1,-12,106,28,20,27,-8,-113,-44,19,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
37,insertionsort,1.19747,34.98,100,53,125662.4,495,0.03,3592.41,6981.24,363,132,153,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,201.0,1.19747,12,0,0,59,-68,66,104,37,-55,33,23,-86,-93,75,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
38,insertionsort,1.147976667,35.62,93,53,122666.72,479,0.03,3443.93,6814.82,354,125,146,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,45.0,1.147976667,5,0,0,-93,73,-28,110,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
39,insertionsort,1.25294,35.0,106,53,131558.76,514,0.03,3758.82,7308.82,374,140,159,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,444.0,1.25294,20,0,0,-116,81,84,85,69,29,103,16,-121,-101,112,121,-121,39,59,118,-105,-70,-11,-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
40,insertionsort,1.269133333,35.42,107,53,134842.54,520,0.03,3807.4,7491.25,377,143,160,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,567.0,1.269133333,23,0,0,108,35,-71,88,63,84,-48,111,-9,89,-48,-50,117,84,-51,39,105,51,109,19,-116,-117,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
41,insertionsort,1.169506667,35.33,96,53,123967.56,486,0.03,3508.52,6887.09,358,128,149,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,78.0,1.169506667,8,0,0,-70,-50,-125,64,111,117,24,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
42,insertionsort,1.121713333,35.92,90,53,120883.29,470,0.03,3365.14,6715.74,348,122,143,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,18.0,1.121713333,2,0,0,100,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
43,insertionsort,1.312756667,34.47,113,53,135765.8,534,0.03,3938.27,7542.54,387,147,166,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,633.0,1.312756667,27,0,0,-52,123,103,34,98,-33,-3,-110,13,-91,-60,-32,-104,-116,-1,-41,85,-88,-65,93,21,-50,57,54,63,88,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
44,insertionsort,1.150373333,35.62,93,53,122922.81,480,0.03,3451.12,6829.04,355,125,146,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,51.0,1.150373333,5,0,0,-22,-7,115,-17,-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
45,insertionsort,1.1241,35.92,90,53,121140.49,471,0.03,3372.3,6730.03,349,122,143,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,18.0,1.1241,2,0,0,76,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
46,insertionsort,1.193493333,35.33,99,53,126510.16,494,0.03,3580.48,7028.34,362,132,152,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,165.0,1.193493333,12,0,0,90,-37,40,17,22,-108,78,22,-59,91,123,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
47,insertionsort,1.135236667,36.11,91,53,122979.97,475,0.03,3405.71,6832.22,351,124,144,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,42.0,1.135236667,4,0,0,65,88,47,-123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
48,insertionsort,1.26888,34.45,110,53,131138.79,518,0.03,3806.64,7285.49,375,143,163,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,492.0,1.26888,23,0,0,78,88,16,12,20,10,-95,97,-72,50,116,94,100,-124,-79,-76,-69,111,55,124,80,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
49,insertionsort,1.150373333,35.9,93,53,123906.19,480,0.03,3451.12,6883.68,354,126,146,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,57.0,1.150373333,6,0,0,1,-75,21,118,66,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
50,insertionsort,1.165526667,35.71,95,53,124846.48,485,0.03,3496.58,6935.92,357,128,148,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,96.0,1.165526667,8,0,0,-4,38,40,113,65,72,-26,-123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
51,insertionsort,1.229666667,35.33,102,53,130344.49,507,0.03,3689.0,7241.36,371,136,155,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,276.0,1.229666667,16,0,0,-125,-86,100,73,-124,74,58,-28,1,-22,-99,-115,47,75,-43,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
52,insertionsort,1.130456667,35.82,91,53,121474.56,473,0.03,3391.37,6748.59,350,123,144,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,24.0,1.130456667,3,0,0,-119,48,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
53,insertionsort,1.321026667,34.78,112,53,137840.92,538,0.03,3963.08,7657.83,391,147,165,22,3,6,3,2,0,2,2,1,5,2,2,100,0,0,1,3,1,762.0,1.321026667,27,0,0,100,-1,-75,-72,-35,52,79,-74,-125,5,-4,-37,-16,83,-38,34,90,-124,-93,31,-63,43,-49,-86,-70,-13,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
