,FUNCTION,BugsDelivered,ProgramLength,ProgramLevel,ProgramVolume,TotalOperators,CoverageEstimation,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,cInstr,Bugs_Delivered,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_9,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Max_Freq
10,insertionsort,1.215976667,502,0.03,3647.93,367,100,1,3,198.0,1.215976667,0,0,19,-119,-49,-89,-116,116,-76,55,33,41,85,92,119,63,-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
11,insertionsort,1.228803333,506,0.03,3686.41,371,100,1,3,204.0,1.228803333,0,0,-25,-97,-39,-67,-24,5,-95,-23,119,12,40,-22,-92,-51,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
12,insertionsort,1.128066667,472,0.03,3384.2,349,100,1,3,21.0,1.128066667,0,0,29,45,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
13,insertionsort,1.214233333,500,0.03,3642.7,364,100,1,3,249.0,1.214233333,0,0,0,31,-124,75,44,64,37,103,30,83,82,66,32,39,92,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
14,insertionsort,1.31628,538,0.03,3948.84,390,100,1,3,720.0,1.31628,0,0,61,-60,106,115,-89,-6,-58,-56,-79,11,-125,-6,-117,92,-2,88,-30,70,-113,-4,-110,89,3,11,-92,72,-58,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
15,insertionsort,1.18951,493,0.03,3568.53,363,100,1,3,144.0,1.18951,0,0,79,-39,-55,-23,53,-74,-31,114,-45,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
16,insertionsort,1.23209,508,0.03,3696.27,370,100,1,3,384.0,1.23209,0,0,61,102,90,102,0,-24,-119,14,0,14,21,-120,63,109,-89,-45,42,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
17,insertionsort,1.207836667,498,0.03,3623.51,364,100,1,3,225.0,1.207836667,0,0,-5,15,118,60,-43,47,45,34,30,84,-113,105,69,-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
18,insertionsort,1.242516667,511,0.03,3727.55,372,100,1,3,462.0,1.242516667,0,0,114,90,-118,83,100,-114,122,89,72,72,87,124,-63,23,-89,-93,10,-94,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
19,insertionsort,1.130456667,473,0.03,3391.37,350,100,1,3,24.0,1.130456667,0,0,-61,101,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
20,insertionsort,1.184686667,491,0.03,3554.06,361,100,1,3,144.0,1.184686667,0,0,35,13,53,108,-43,-118,63,-45,-36,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
21,insertionsort,1.154346667,481,0.03,3463.04,355,100,1,3,66.0,1.154346667,0,0,11,-27,28,92,-87,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
22,insertionsort,1.257106667,517,0.03,3771.32,378,100,1,3,390.0,1.257106667,0,0,-93,-94,-42,-109,22,76,-37,31,2,95,40,-41,-24,-105,-95,-84,-31,-79,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
23,insertionsort,1.261813333,517,0.03,3785.44,377,100,1,3,402.0,1.261813333,0,0,100,107,-66,-22,-99,-60,-1,18,54,-43,-93,-126,-117,98,-113,-15,56,63,49,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
24,insertionsort,1.315216667,535,0.03,3945.65,387,100,1,3,738.0,1.315216667,0,0,37,-95,-71,49,44,103,50,39,-20,94,-20,107,-107,75,13,-20,-100,121,-65,45,-55,-117,-63,122,-123,-12,114,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
25,insertionsort,1.290926667,527,0.03,3872.78,383,100,1,3,552.0,1.290926667,0,0,-23,16,36,-83,73,-26,-28,-68,101,70,-30,-103,90,-125,-125,81,-31,-1,-78,53,71,43,82,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
26,insertionsort,1.140016667,477,0.03,3420.05,353,100,1,3,39.0,1.140016667,0,0,-20,75,-91,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
27,insertionsort,1.191923333,494,0.03,3575.77,364,100,1,3,105.0,1.191923333,0,0,-120,-36,-72,-90,21,-17,-44,-28,-45,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
28,insertionsort,1.144,478,0.03,3432.0,353,100,1,3,48.0,1.144,0,0,1,-78,105,51,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
29,insertionsort,1.243376667,512,0.03,3730.13,374,100,1,3,360.0,1.243376667,0,0,-4,91,-22,-115,47,124,-67,-77,-42,77,9,-70,11,57,-92,-49,-62,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
30,insertionsort,1.267566667,520,0.03,3802.7,379,100,1,3,408.0,1.267566667,0,0,-121,-12,7,-81,44,8,-87,-107,91,19,103,119,-124,-65,-105,-84,-15,-91,81,-71,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
31,insertionsort,1.170333333,487,0.03,3511.0,358,100,1,3,102.0,1.170333333,0,0,44,37,8,-9,-87,-104,44,66,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
32,insertionsort,1.1241,471,0.03,3372.3,349,100,1,3,15.0,1.1241,0,0,-117,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
33,insertionsort,1.25449,514,0.03,3763.47,374,100,1,3,426.0,1.25449,0,0,119,36,98,1,64,-66,-48,-6,-97,57,103,-124,70,-113,110,-114,42,46,-39,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
34,insertionsort,1.248233333,514,0.03,3744.7,374,100,1,3,369.0,1.248233333,0,0,-72,111,-87,30,-83,-68,-4,58,30,19,0,-67,44,50,19,108,-122,1,49,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
35,insertionsort,1.193493333,494,0.03,3580.48,362,100,1,3,177.0,1.193493333,0,0,94,39,58,60,95,-118,-84,-13,-26,118,80,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
36,insertionsort,1.25138,514,0.03,3754.14,375,100,1,3,357.0,1.25138,0,0,-52,115,-87,69,-122,-32,61,-39,-1,-12,106,28,20,27,-8,-113,-44,19,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
37,insertionsort,1.19747,495,0.03,3592.41,363,100,1,3,201.0,1.19747,0,0,59,-68,66,104,37,-55,33,23,-86,-93,75,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
38,insertionsort,1.147976667,479,0.03,3443.93,354,100,1,3,45.0,1.147976667,0,0,-93,73,-28,110,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
39,insertionsort,1.25294,514,0.03,3758.82,374,100,1,3,444.0,1.25294,0,0,-116,81,84,85,69,29,103,16,-121,-101,112,121,-121,39,59,118,-105,-70,-11,-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
40,insertionsort,1.269133333,520,0.03,3807.4,377,100,1,3,567.0,1.269133333,0,0,108,35,-71,88,63,84,-48,111,-9,89,-48,-50,117,84,-51,39,105,51,109,19,-116,-117,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
41,insertionsort,1.169506667,486,0.03,3508.52,358,100,1,3,78.0,1.169506667,0,0,-70,-50,-125,64,111,117,24,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
42,insertionsort,1.121713333,470,0.03,3365.14,348,100,1,3,18.0,1.121713333,0,0,100,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
43,insertionsort,1.312756667,534,0.03,3938.27,387,100,1,3,633.0,1.312756667,0,0,-52,123,103,34,98,-33,-3,-110,13,-91,-60,-32,-104,-116,-1,-41,85,-88,-65,93,21,-50,57,54,63,88,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
44,insertionsort,1.150373333,480,0.03,3451.12,355,100,1,3,51.0,1.150373333,0,0,-22,-7,115,-17,-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
45,insertionsort,1.1241,471,0.03,3372.3,349,100,1,3,18.0,1.1241,0,0,76,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
46,insertionsort,1.193493333,494,0.03,3580.48,362,100,1,3,165.0,1.193493333,0,0,90,-37,40,17,22,-108,78,22,-59,91,123,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
47,insertionsort,1.135236667,475,0.03,3405.71,351,100,1,3,42.0,1.135236667,0,0,65,88,47,-123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
48,insertionsort,1.26888,518,0.03,3806.64,375,100,1,3,492.0,1.26888,0,0,78,88,16,12,20,10,-95,97,-72,50,116,94,100,-124,-79,-76,-69,111,55,124,80,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
49,insertionsort,1.150373333,480,0.03,3451.12,354,100,1,3,57.0,1.150373333,0,0,1,-75,21,118,66,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
50,insertionsort,1.165526667,485,0.03,3496.58,357,100,1,3,96.0,1.165526667,0,0,-4,38,40,113,65,72,-26,-123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
51,insertionsort,1.229666667,507,0.03,3689.0,371,100,1,3,276.0,1.229666667,0,0,-125,-86,100,73,-124,74,58,-28,1,-22,-99,-115,47,75,-43,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
52,insertionsort,1.130456667,473,0.03,3391.37,350,100,1,3,24.0,1.130456667,0,0,-119,48,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
53,insertionsort,1.321026667,538,0.03,3963.08,391,100,1,3,762.0,1.321026667,0,0,100,-1,-75,-72,-35,52,79,-74,-125,5,-4,-37,-16,83,-38,34,90,-124,-93,31,-63,43,-49,-86,-70,-13,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
54,insertionsort,1.328393333,541,0.03,3985.18,394,100,1,3,660.0,1.328393333,0,0,-115,59,-35,-41,-110,-110,8,-8,-62,22,-78,65,-38,-121,-16,-109,-71,-121,-120,-40,-19,-64,-76,81,-89,93,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
55,insertionsort,1.241643333,510,0.03,3724.93,372,100,1,3,264.0,1.241643333,0,0,-121,-83,20,-48,-54,61,-117,-107,57,-75,100,10,90,30,77,-111,4,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
56,insertionsort,1.236773333,508,0.03,3710.32,370,100,1,3,303.0,1.236773333,0,0,49,-65,-97,82,8,39,-101,87,29,40,-69,-108,-80,94,123,115,68,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
57,insertionsort,1.17986,489,0.03,3539.58,359,100,1,3,123.0,1.17986,0,0,52,47,-41,-100,16,102,58,23,-20,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
58,insertionsort,1.209563333,500,0.03,3628.69,366,100,1,3,246.0,1.209563333,0,0,3,59,-19,73,96,-69,70,-28,115,-3,19,67,-88,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
59,insertionsort,1.31366,535,0.03,3940.98,388,100,1,3,570.0,1.31366,0,0,-114,-23,97,-11,75,-33,-16,-36,96,-121,-100,117,-111,-69,-14,119,-69,26,2,-18,18,102,88,125,-62,108,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
60,insertionsort,1.255376667,515,0.03,3766.13,375,100,1,3,450.0,1.255376667,0,0,29,-51,53,123,103,-27,-34,66,86,-108,-59,6,-12,45,-44,24,-26,0,-92,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
61,insertionsort,1.207836667,498,0.03,3623.51,364,100,1,3,246.0,1.207836667,0,0,18,107,111,21,34,27,112,-29,122,-114,-38,86,-36,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
62,insertionsort,1.1241,471,0.03,3372.3,349,100,1,3,18.0,1.1241,0,0,61,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
63,insertionsort,1.280466667,524,0.03,3841.4,381,100,1,3,408.0,1.280466667,0,0,-94,-91,102,23,-117,-47,-71,90,-82,-95,31,-23,-50,-23,34,17,118,-101,8,-28,125,73,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
64,insertionsort,1.150373333,480,0.03,3451.12,354,100,1,3,66.0,1.150373333,0,0,90,101,-101,16,-18,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
65,insertionsort,1.254673333,516,0.03,3764.02,377,100,1,3,369.0,1.254673333,0,0,-38,-100,-52,40,23,-99,-115,99,-68,104,-96,-104,113,-83,111,125,-46,-104,-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
66,insertionsort,1.130456667,473,0.03,3391.37,350,100,1,3,21.0,1.130456667,0,0,-111,37,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
67,insertionsort,1.225496667,504,0.03,3676.49,368,100,1,3,258.0,1.225496667,0,0,124,-61,30,-121,100,-125,38,-89,29,-126,75,-10,109,105,36,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
68,insertionsort,1.136033333,476,0.03,3408.1,352,100,1,3,36.0,1.136033333,0,0,1,-3,-124,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
69,insertionsort,1.22239,504,0.03,3667.17,368,100,1,3,210.0,1.22239,0,0,15,-115,28,40,-106,-120,21,-51,-83,74,61,-16,47,54,123,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
70,insertionsort,1.309376667,532,0.03,3928.13,384,100,1,3,873.0,1.309376667,0,0,47,14,-43,113,112,-18,111,69,13,-34,91,113,-31,-45,27,49,123,103,80,-23,66,38,13,-74,-64,67,-110,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
71,insertionsort,1.128066667,472,0.03,3384.2,349,100,1,3,27.0,1.128066667,0,0,72,99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
72,insertionsort,1.286026667,525,0.03,3858.08,382,100,1,3,597.0,1.286026667,0,0,-43,112,55,-74,69,-14,98,123,-40,-64,84,33,-16,106,45,-41,-93,-55,-11,-63,-9,73,-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
73,insertionsort,1.206286667,498,0.03,3618.86,365,100,1,3,228.0,1.206286667,0,0,53,123,39,-56,-11,45,-60,66,-15,-94,98,47,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
