inputName,dim,a[dim]
values_62,27,"{-23, -50, -57, 50, -24, -60, -91, -118, -105, 39, 122, -99, 73, 7, -98, 17, -50, -109, 94, -72, 71, 28, 62, -85, -53, -20, -42"
values_80,6,"{-65, 81, 13, 0, 6, 88"
values_39,6,"{25, -18, 51, -73, -57, 79"
values_90,5,"{-110, -54, 115, 97, 86"
values_53,20,"{11, 31, -119, 10, 101, -52, 16, -88, 2, 99, 32, 112, -18, -57, 109, -38, -91, 27, -73, -13"
values_94,27,"{-5, -23, 68, 116, -114, -5, -7, 85, -117, -77, -48, -19, -76, -57, 42, -112, 82, 103, -28, -20, -59, 90, -85, 120, -99, 52, 10"
values_7,12,"{-28, -75, -116, 71, 4, 95, 101, 50, -48, -123, 52, -22"
values_31,6,"{-19, -126, -34, 10, 89, 61"
values_93,4,"{-51, -48, -41, 60"
values_38,4,"{-32, -26, 36, -115"
values_58,6,"{97, -82, 106, -12, 19, -16"
values_78,19,"{-43, -48, 33, -30, 32, -26, 74, 77, 127, 102, -125, 24, -17, -71, 102, -40, -23, 52, -33"
values_50,7,"{-57, -22, -76, 33, -121, 126, -58"
values_3,6,"{34, 69, 112, 74, -102, -30"
values_13,2,"{2, 25"
values_83,13,"{38, -91, -7, -58, -118, -35, 88, 127, 125, -61, 57, -66, 92"
values_1,15,"{87, -23, 67, 86, 27, 15, -25, -20, 122, -75, -52, 59, -66, 55, -16"
values_21,5,"{50, 28, -13, -8, -63"
values_32,21,"{-120, 92, -91, -64, 28, -15, 34, -25, 16, 17, -110, -93, -98, -89, 125, 120, 56, 29, -103, -9, -122"
values_22,5,"{-17, 40, -24, 17, -121"
values_9,14,"{29, 81, 114, -85, -107, 55, 21, 1, -21, 82, 13, -119, 0, 77"
values_6,24,"{70, -34, -66, -34, 97, 51, -60, 64, 1, -104, -17, -68, 18, -102, -95, -113, -52, 35, -48, -95, -99, 98, 90, -79"
values_76,17,"{-104, 106, 41, 14, -52, -127, -72, 86, 20, 97, 43, -93, 103, -67, 106, 106, 106"
values_18,13,"{106, 112, -109, -88, 22, 63, 114, -37, -113, 4, 85, -118, -34"
values_16,13,"{-96, -92, 73, -127, 77, -52, 12, -83, 126, -67, 105, 99, -118"
values_40,25,"{102, -11, 33, -30, 94, 91, 69, 54, 58, -40, -40, 114, 91, -106, 49, -67, -3, -32, 28, 75, 65, 27, 69, -7, 59"
values_2,12,"{-108, -5, 51, -51, -29, 55, 38, -125, -116, -101, -13, -56"
values_60,12,"{2, -66, 47, 117, -81, -84, 124, 28, 52, 36, 19, 4"
values_99,15,"{-117, -102, 60, 29, 2, -90, 34, 101, -59, 110, 54, 24, 108, 74, 107"
values_48,28,"{59, -123, -106, -96, 109, 93, -96, -76, 36, 90, 14, -109, 91, -44, -110, -42, -92, 31, 104, 69, 31, 39, -52, 17, 39, 123, -63, 16"
values_69,9,"{-9, -106, 46, -117, -46, -127, 4, 30, 47"
values_46,27,"{-72, 62, -119, 33, -4, 42, 89, -25, -68, 12, -4, 35, 58, 86, -71, -89, -94, 36, -14, 78, 26, 34, -101, -5, -14, 89, 86"
values_24,11,"{-26, -30, -86, 106, 100, 62, 88, 46, 97, 111, -6"
values_95,6,"{-108, 13, 101, 96, 39, -22"
values_42,25,"{27, 8, 82, 99, 31, -92, 65, 33, 35, 11, 65, 25, 32, 114, 18, 120, -89, -33, -55, -85, -76, -121, 66, -76, -97"
values_37,16,"{-48, -99, -114, -22, 19, -113, -119, -29, -15, 47, -78, 8, -110, -97, -26, -40"
values_10,16,"{-85, 75, -39, -49, -126, -23, -125, -91, -97, -67, -112, 83, 96, 92, -36, 61"
values_67,11,"{82, -48, 20, -32, -77, 35, 48, 91, 79, 88, -96"
values_35,7,"{-17, -11, -75, -109, 108, -58, -97"
values_30,15,"{119, 85, 46, -18, 49, 59, -5, -51, -59, -4, -41, 2, 35, 32, 112"
values_4,18,"{-5, 4, 71, 75, -72, 103, -103, 102, 88, -45, -86, 114, -22, -112, 19, 9, -77, 83"
