,DifficultyLevel,Effort,ProgramLevel,TimeToImplement,CoverageEstimation,RANGE_SCALAR_VALUES,SV_VAL_1,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Max_Freq
13,70.69,637517.34,0.01,35417.63,90,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,12,17,1,21,15,15,13,9,15,3,0,11,0,6,7,6,9,9,5,5,2,14,5,4,11,2,1,1,1,5,331.49888
14,73.08,662585.25,0.01,36810.29,100,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,21,3,1,32,0,10,9,6,14,1,0,16,2,7,5,10,13,10,0,13,4,14,11,4,9,3,0,10,0,9,331.49888
15,84.38,1076239.38,0.01,59791.08,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,26,28,0,62,10,21,19,13,38,0,2,51,3,13,25,9,28,28,0,31,2,19,15,36,15,4,2,26,16,19,331.49888
16,142.86,3180114.97,0.01,176673.05,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,44,10,3,53,0,47,41,28,17,18,0,50,0,38,10,18,41,27,0,51,0,9,8,53,20,31,0,52,0,32,331.49888
17,71.47,649300.27,0.01,36072.24,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,13,16,0,28,11,20,15,11,15,3,0,9,0,11,15,8,11,7,0,9,2,13,8,3,10,6,1,6,0,5,331.49888
18,142.86,3149604.65,0.01,174978.04,100,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,36,12,9,0,75,0,33,32,3,31,16,0,69,12,28,38,19,18,18,1,80,0,30,6,17,29,3,2,71,0,49,331.49888
19,69.09,535462.56,0.01,29747.92,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,12,7,0,11,6,11,4,1,5,1,2,0,0,0,8,3,5,8,0,0,0,5,2,1,4,4,1,0,0,0,221.2982138
20,73.95,520928.9,0.01,28940.49,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,5,3,0,1,5,3,0,3,2,1,1,0,0,3,2,4,5,1,1,0,0,0,0,0,1,1,0,0,0,331.49888
21,68.02,587222.79,0.01,32623.49,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,12,1,0,25,2,17,7,7,14,5,0,5,1,5,8,9,9,7,1,0,0,14,11,3,10,7,5,1,1,2,331.49888
22,70.87,549592.51,0.01,30532.92,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,14,3,0,12,3,6,11,2,6,1,2,1,3,0,6,7,5,6,2,0,0,3,4,3,2,2,1,0,0,0,221.2982138
23,68.66,533107.54,0.01,29617.09,90,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,8,6,1,14,0,8,4,2,7,2,3,0,3,0,8,2,9,6,2,2,1,2,3,4,3,5,1,0,1,0,221.2982138
24,81.77,1044702.72,0.01,58039.04,90,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,16,38,11,0,49,0,13,15,27,6,0,0,56,0,24,8,21,36,28,0,34,11,24,30,14,28,8,0,37,0,16,331.49888
25,70.77,604983.8,0.01,33610.21,100,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,11,17,4,33,5,7,8,6,9,2,8,6,0,6,14,10,16,6,1,8,0,8,11,2,7,3,3,0,0,2,331.49888
26,143.48,3153179.65,0.01,175176.65,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,32,5,21,49,9,18,21,27,26,14,0,53,0,35,23,14,10,8,0,59,0,37,21,22,17,0,4,85,0,16,331.49888
27,121.0,2281075.35,0.01,126726.41,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,21,11,0,69,0,18,21,27,22,11,0,46,0,11,33,4,22,20,0,59,0,22,34,14,9,8,0,63,4,15,331.49888
28,122.06,2281242.6,0.01,126735.7,100,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,40,22,15,0,74,0,38,31,12,19,10,0,67,0,30,15,10,26,0,0,60,0,28,30,35,9,13,0,55,0,27,331.49888
29,69.97,542443.9,0.01,30135.77,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,19,8,0,13,0,12,5,4,6,3,3,3,0,1,4,5,9,10,3,2,3,4,5,3,3,3,1,0,0,0,221.2982138
30,143.48,3150823.9,0.01,175045.77,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,29,14,0,43,5,37,1,38,17,0,11,64,0,14,10,33,9,12,0,58,0,53,13,11,37,25,0,52,0,42,331.49888
31,74.85,755950.2,0.01,41997.23,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,12,6,0,20,19,21,15,7,18,10,0,19,0,2,15,4,25,10,0,16,0,12,10,6,13,2,1,13,0,8,331.49888
32,69.96,598426.18,0.01,33245.9,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,19,9,0,28,7,5,6,10,16,1,0,0,0,3,14,3,8,8,0,7,0,14,6,3,13,8,2,1,0,2,331.49888
33,85.95,1085130.96,0.01,60285.05,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36,19,22,5,75,0,18,9,15,22,18,0,44,0,11,17,26,21,18,4,30,9,7,19,9,20,1,0,36,0,6,331.49888
34,122.59,2303953.0,0.01,127997.39,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,22,12,0,54,0,28,18,28,19,23,0,41,10,22,6,30,16,26,0,68,0,36,28,33,41,21,0,50,0,30,331.49888
35,143.48,3144934.5,0.01,174718.58,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,23,31,0,55,0,29,13,15,38,3,0,61,3,36,9,25,17,13,0,50,0,13,32,24,23,10,0,67,0,13,331.49888
36,72.6,737449.83,0.01,40969.43,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,28,3,0,30,10,8,20,14,9,0,2,17,0,5,17,8,16,16,0,8,1,15,15,2,12,3,0,8,1,6,331.49888
37,121.53,2282652.36,0.01,126814.02,100,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,39,25,19,0,45,2,23,40,26,27,17,0,43,0,16,31,26,21,0,0,58,0,13,18,19,20,18,12,66,0,10,331.49888
38,142.86,3149604.65,0.01,174978.04,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,0,11,0,59,8,29,20,27,12,4,4,86,0,22,19,39,16,21,0,60,0,37,16,18,35,1,0,33,7,27,331.49888
39,69.56,594924.4,0.01,33051.36,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,20,17,0,22,3,13,11,14,11,1,0,5,0,4,11,6,10,10,2,2,2,10,4,4,10,7,0,2,1,2,331.49888
40,72.24,732527.17,0.01,40695.95,90,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,23,11,3,45,0,12,24,13,20,0,0,20,1,3,10,11,13,14,7,23,7,11,21,13,9,12,0,11,1,11,331.49888
41,70.36,606416.25,0.01,33689.79,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,15,1,0,21,11,19,8,5,18,0,0,6,0,0,10,7,11,7,0,4,7,11,8,7,6,6,1,0,1,0,331.49888
42,72.96,737131.51,0.01,40951.75,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,20,19,5,0,24,13,27,14,13,24,0,0,24,0,12,9,11,13,7,3,11,4,13,7,2,12,3,2,7,4,12,331.49888
43,70.87,546278.38,0.01,30348.8,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,13,4,1,5,3,6,5,1,6,2,1,1,2,0,10,4,5,8,0,1,0,5,1,2,3,5,1,0,0,0,221.2982138
44,72.02,614239.94,0.01,34124.44,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,25,8,0,23,0,15,5,0,14,0,4,2,0,5,14,8,15,10,0,7,4,12,8,2,5,5,1,5,3,2,331.49888
45,67.27,578413.55,0.01,32134.09,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,12,0,0,19,0,13,7,7,15,0,0,13,3,5,8,5,13,7,0,3,2,11,13,2,7,4,4,6,0,3,331.49888
46,67.27,581623.99,0.01,32312.44,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,21,7,0,18,3,13,8,3,15,0,3,4,0,8,11,3,11,5,0,11,2,9,8,1,7,6,0,0,0,4,331.49888
47,142.86,3160165.91,0.01,175564.77,100,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,23,0,0,60,0,26,4,46,21,24,0,56,0,47,19,10,17,0,0,51,14,13,13,30,1,21,0,67,0,14,331.49888
48,70.77,606102.07,0.01,33672.34,90,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,20,7,3,17,3,16,5,8,12,1,3,2,0,5,9,1,7,8,0,7,7,8,10,5,5,5,2,0,5,0,331.49888
49,72.88,622878.37,0.01,34604.35,100,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,16,12,1,17,1,15,12,4,12,3,0,9,0,8,9,4,14,13,0,3,1,8,4,9,6,6,3,1,0,3,331.49888
50,70.87,551801.92,0.01,30655.66,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,19,2,0,3,0,10,8,0,8,5,2,0,0,0,9,4,5,4,0,0,0,3,3,0,2,2,2,0,1,0,221.2982138
51,68.4,590609.3,0.01,32811.63,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,15,0,0,18,0,10,6,5,12,1,1,1,1,9,15,6,9,11,3,7,2,6,5,3,6,5,1,2,2,2,331.49888
52,122.06,2309282.46,0.01,128293.47,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,25,1,0,56,2,19,18,40,38,22,0,61,0,42,23,8,13,6,0,63,0,35,13,29,14,17,0,50,0,21,331.49888
53,69.18,632861.68,0.01,35158.98,90,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,9,9,0,38,3,14,13,10,15,0,0,11,0,6,10,8,10,13,0,9,4,16,10,5,7,5,2,5,3,3,331.49888
54,71.88,728808.69,0.01,40489.37,90,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,10,11,0,46,15,22,15,16,20,3,0,26,0,9,6,17,24,20,0,21,0,21,9,11,13,2,7,13,2,12,331.49888
55,142.24,3123850.88,0.01,173547.27,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,14,10,0,76,0,16,31,7,17,32,0,48,0,27,2,63,23,21,1,48,0,36,16,27,18,12,0,67,0,25,331.49888
56,69.56,596026.11,0.01,33112.56,90,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,16,5,8,30,10,6,7,4,17,0,0,4,0,1,11,4,9,12,0,5,0,9,4,6,10,6,2,2,1,2,331.49888
57,67.73,614858.12,0.01,34158.78,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,10,8,0,26,7,16,22,5,18,3,1,29,2,13,17,3,21,8,0,10,8,9,11,7,8,6,1,2,1,7,331.49888
58,73.71,744789.11,0.01,41377.17,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,16,21,0,36,0,23,18,8,30,0,0,28,0,9,7,8,6,14,2,25,10,15,10,13,15,4,0,18,0,8,331.49888
59,69.96,603962.04,0.01,33553.45,100,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,18,12,0,23,8,6,8,8,11,1,3,5,1,9,7,5,5,6,0,13,7,8,5,5,10,4,0,0,0,1,331.49888
60,69.97,544082.71,0.01,30226.82,100,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,11,8,0,12,4,10,9,3,9,2,3,0,1,0,7,2,5,6,0,2,4,2,5,3,4,5,1,0,1,0,221.2982138
61,85.56,1090537.09,0.01,60585.39,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,32,18,0,0,54,0,28,8,26,26,11,17,43,0,36,15,4,33,8,0,37,0,21,30,11,15,4,0,52,0,19,331.49888
62,142.86,3148431.17,0.01,174912.84,100,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,16,8,0,2,48,0,15,0,56,4,1,0,59,0,26,18,0,17,4,13,76,0,37,17,28,28,18,0,58,0,9,331.49888
63,121.0,2259208.83,0.01,125511.6,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,12,8,0,52,0,42,34,18,8,10,0,74,0,30,24,18,15,20,0,65,0,35,18,33,32,35,0,49,0,22,331.49888
64,142.86,3146084.22,0.01,174782.46,90,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,14,34,0,63,0,19,33,23,20,0,0,64,0,29,28,22,7,4,0,83,0,38,29,9,18,10,0,70,0,12,331.49888
65,72.88,516060.07,0.01,28670.0,90,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,2,0,2,0,2,2,0,3,2,1,0,1,0,1,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,331.49888
66,84.77,1077740.5,0.01,59874.47,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,7,7,22,63,18,36,22,33,31,0,0,59,0,19,22,17,32,19,0,33,3,20,20,24,23,7,0,40,0,13,331.49888
67,143.48,3143756.63,0.01,174653.15,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,30,12,0,60,0,25,42,7,28,3,0,76,0,11,4,44,20,0,0,77,0,33,10,23,14,33,6,73,0,15,331.49888
68,85.95,1095618.69,0.01,60867.71,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,31,31,15,1,56,0,25,28,13,25,17,0,44,0,19,17,29,29,21,0,55,0,38,10,12,14,2,0,34,6,14,331.49888
69,121.0,2269148.16,0.01,126063.79,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,11,22,16,6,58,0,14,2,27,25,26,0,78,2,25,16,17,14,9,24,46,0,34,24,7,43,14,0,65,1,34,331.49888
70,70.77,612252.55,0.01,34014.03,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,20,0,3,19,0,9,9,8,17,1,0,5,0,4,8,6,9,6,0,6,5,12,10,4,10,7,2,5,2,1,331.49888
71,121.0,2266166.36,0.01,125898.13,100,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,7,18,24,62,0,32,24,16,16,0,0,53,15,32,23,32,11,7,17,57,0,30,23,29,25,0,6,64,2,29,331.49888
72,73.41,522138.4,0.01,29007.69,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,3,1,1,0,2,2,0,1,2,1,0,1,0,0,2,2,4,0,0,0,0,0,0,1,1,0,0,0,0,331.49888
73,73.08,656214.23,0.01,36456.35,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,22,10,0,21,0,23,10,4,16,2,2,10,2,7,7,5,17,5,0,13,2,8,5,2,9,8,0,2,0,7,331.49888
74,68.66,534182.35,0.01,29676.8,90,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,13,7,1,21,6,10,8,1,5,1,2,0,3,0,6,3,8,7,0,1,0,0,2,1,3,3,1,1,3,0,221.2982138
75,72.36,509504.96,0.01,28305.83,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,3,3,2,0,4,1,1,2,2,1,0,1,0,2,2,1,2,1,2,1,0,0,0,0,0,1,0,0,0,331.49888
76,142.24,3149571.21,0.01,174976.18,90,1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,6,2,27,89,0,29,19,9,33,9,0,39,0,10,47,21,17,15,0,42,2,23,17,20,11,0,0,57,0,18,331.49888
77,85.95,1099813.79,0.01,61100.77,100,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,36,21,21,2,55,0,16,15,13,26,0,0,32,14,17,20,13,25,12,0,46,9,20,24,14,19,9,9,24,11,18,331.49888
78,143.48,3140222.99,0.01,174456.83,100,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,24,14,0,68,15,23,24,29,25,19,0,52,0,32,18,33,13,14,12,61,0,26,20,23,42,19,0,61,0,32,331.49888
79,72.88,516060.07,0.01,28670.0,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,4,1,0,1,5,0,0,2,2,1,0,1,0,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,331.49888
80,73.41,522138.4,0.01,29007.69,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,5,0,0,1,2,1,0,2,1,1,0,0,0,1,2,2,4,0,0,0,0,0,1,1,1,0,0,0,0,331.49888
81,69.96,600640.53,0.01,33368.92,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,25,10,0,14,0,1,8,3,9,5,3,5,0,2,8,6,10,7,0,5,3,4,7,3,10,3,0,4,3,2,331.49888
82,71.08,645640.89,0.01,35868.94,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,23,2,0,31,0,21,14,2,24,0,7,9,0,1,14,7,18,12,0,16,5,15,11,6,9,6,1,1,0,10,331.49888
83,69.18,625130.38,0.01,34729.47,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,12,8,0,23,3,12,11,13,23,0,0,22,0,12,9,5,11,13,2,15,3,11,6,7,8,3,2,0,0,7,331.49888
84,75.62,758523.02,0.01,42140.17,100,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,22,2,3,29,0,19,21,6,22,0,0,27,0,14,10,11,24,7,0,19,3,20,17,10,22,9,0,15,1,6,331.49888
