,FUNCTION,ProgramLevel,CoverageEstimation,SCALAR_INDEX_INPUT,RANGE_ARRAY_INPUT,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_2,M_VAL_3,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,clockCycles
11,astar,0.01,100,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,16,55,3,17,34,19,24,0,30,3,21,28,19,4,6,25,15,8,10,13,20,12,0,18,0,10,0
12,astar,0.01,90,1,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,22,11,21,6,11,3,5,6,0,2,4,16,7,0,3,1,12,10,8,5,5,2,1,0,6,0
13,astar,0.01,90,1,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,7,2,8,6,0,4,1,1,0,0,1,5,5,3,0,2,1,1,1,1,2,1,0,2,0,0
14,astar,0.01,90,1,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,10,1,6,3,1,3,2,0,0,0,5,5,8,0,0,0,0,1,1,1,1,1,0,1,0,0
15,astar,0.01,90,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,0,61,0,5,14,28,11,0,74,0,14,8,38,2,0,46,0,27,17,15,21,0,0,68,4,18,0
16,astar,0.01,90,1,1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,6,6,4,2,4,1,2,0,0,0,1,5,5,1,1,1,2,1,1,3,3,2,1,1,0,1525
17,astar,0.01,90,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,5,0,9,6,1,1,1,1,1,1,1,3,4,0,3,1,0,3,2,1,3,1,2,2,0,0
18,astar,0.01,90,1,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,astar,0.01,90,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,72,4,27,12,24,5,0,54,0,21,34,19,18,0,42,3,14,16,23,23,31,0,45,0,14,0
20,astar,0.01,100,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,33,0,48,14,22,25,16,0,0,34,0,7,15,27,27,0,29,5,16,14,6,28,5,4,20,0,4,0
21,astar,0.01,90,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,20,6,7,9,3,0,3,10,0,3,6,12,7,0,2,5,9,10,3,5,6,1,0,4,1,0
22,astar,0.01,90,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,24,63,0,6,0,39,28,0,73,0,15,27,22,20,0,68,0,37,16,18,36,0,0,50,0,11,0
23,astar,0.01,90,1,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22,11,57,0,28,13,33,7,8,84,0,46,18,30,31,4,72,0,26,23,24,29,34,0,53,0,37,0
24,astar,0.01,90,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,0,79,0,32,13,29,0,6,62,2,10,21,17,2,0,38,25,23,14,24,26,22,0,43,0,23,0
25,astar,0.01,100,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,1,22,3,7,8,9,0,0,10,0,4,4,16,8,1,0,3,16,7,3,7,12,2,0,0,4,0
26,astar,0.01,90,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,5,0,8,5,5,1,0,0,0,0,2,4,4,0,1,1,2,0,1,3,2,2,0,0,0,1894
27,astar,0.01,90,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,7,1,7,6,4,2,4,2,1,0,2,7,5,1,1,0,2,3,2,3,3,1,1,2,0,1642
28,astar,0.01,90,1,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,10,5,8,6,3,0,2,0,2,0,4,5,5,0,2,1,1,3,2,3,3,2,0,2,0,1796
29,astar,0.01,100,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,20,74,11,36,40,10,22,0,55,26,31,20,27,9,18,63,11,27,6,48,28,5,0,70,4,29,0
30,astar,0.01,90,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,1,10,1,13,6,0,5,1,0,1,0,5,9,4,1,3,2,2,2,2,3,2,2,0,0,0,1265
31,astar,0.01,90,1,1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,1,9,0,11,10,3,0,3,2,1,0,4,7,10,1,1,0,1,7,4,1,4,1,0,0,0,1004
32,astar,0.01,90,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,1,2,3,2,0,3,1,0,1,0,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0
33,astar,0.01,100,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,0,59,6,39,27,30,0,0,51,7,18,41,6,29,3,79,8,29,32,22,23,17,9,52,0,17,0
34,astar,0.01,90,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,5,2,12,7,2,2,4,0,0,0,5,7,6,1,2,1,4,0,1,6,4,1,0,1,0,1644
35,astar,0.01,90,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,11,0,9,5,2,3,2,1,2,0,2,8,7,0,0,4,1,2,3,2,3,2,0,1,0,1879
36,astar,0.01,90,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,1,16,2,7,4,2,4,3,1,0,0,1,8,7,0,2,1,2,3,2,4,2,1,0,1,0,1393
37,astar,0.01,90,1,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,7,4,15,6,4,1,1,0,1,0,4,7,5,1,1,3,2,4,1,3,3,1,0,1,0,1395
38,astar,0.01,90,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,astar,0.01,90,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,4,3,6,3,0,1,1,0,0,0,3,2,4,0,0,0,0,0,0,1,0,1,0,0,0,0
40,astar,0.01,90,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,3,14,5,18,7,4,2,1,1,1,0,3,8,8,1,2,0,3,2,1,4,3,3,0,0,0,1533
41,astar,0.01,90,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,0,1,1,0,0,2,1,0,1,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0
42,astar,0.01,90,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,8,5,4,9,7,2,1,1,1,4,8,13,6,0,1,3,5,6,4,2,2,2,0,2,0,1401
43,astar,0.01,90,1,1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,17,5,53,0,12,30,10,29,2,63,0,51,20,12,33,0,55,4,32,0,25,10,13,14,59,4,26,0
44,astar,0.01,90,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,2,20,5,13,9,3,0,2,7,1,3,5,8,8,0,3,2,9,5,7,9,6,2,0,0,4,0
45,astar,0.01,90,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,0,30,0,25,7,5,0,0,2,3,8,5,16,9,1,6,0,12,7,0,11,3,2,1,1,5,0
46,astar,0.01,90,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,2,0,2,2,0,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47,astar,0.01,90,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,4,0,6,6,6,3,1,2,0,1,4,6,4,0,2,0,4,2,3,3,2,2,0,1,0,1787
48,astar,0.01,90,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,0,20,2,14,9,8,0,4,16,0,0,11,8,6,0,11,9,5,14,3,8,4,3,6,0,2,0
49,astar,0.01,90,1,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,21,4,9,10,6,0,6,13,3,10,2,9,8,0,6,3,7,7,7,5,4,0,2,0,2,0
50,astar,0.01,100,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,0,68,0,9,18,31,4,1,49,0,30,21,17,6,0,57,0,23,27,26,8,15,0,61,0,19,0
51,astar,0.01,90,1,1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,22,3,16,7,4,4,1,11,0,2,5,7,8,1,1,2,18,6,3,12,7,2,0,0,5,0
52,astar,0.01,90,1,1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,11,7,6,6,1,0,1,0,0,0,4,5,6,0,1,0,4,2,3,4,2,1,0,0,0,1374
53,astar,0.01,90,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,1,3,3,7,3,0,1,1,0,0,2,3,3,4,1,1,0,1,0,1,2,2,1,0,0,0,0
54,astar,0.01,90,1,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,8,5,3,8,7,3,2,2,2,0,1,4,8,5,0,1,0,2,3,2,3,2,1,0,0,0,1518
55,astar,0.01,90,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,astar,0.01,90,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,1,2,7,1,0,1,1,0,1,0,3,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0
57,astar,0.01,90,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,7,1,5,6,1,1,2,0,1,0,2,5,3,2,0,0,0,0,1,2,3,0,0,0,0,0
58,astar,0.01,90,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,8,3,7,6,1,3,2,0,0,1,4,4,9,0,4,0,1,2,1,4,2,1,0,0,0,1521
59,astar,0.01,90,1,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,3,2,3,4,0,1,1,0,2,0,3,2,4,0,0,0,0,0,0,1,1,0,0,0,0,0
60,astar,0.01,100,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,54,0,17,31,29,17,0,31,0,30,28,22,8,0,70,0,34,42,16,18,18,0,95,1,31,0
61,astar,0.01,90,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,69,10,22,50,32,5,20,68,0,39,24,25,20,0,56,0,17,33,25,16,10,0,43,0,16,0
62,astar,0.01,90,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,astar,0.01,90,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,15,8,6,7,2,1,3,0,0,2,7,5,8,0,2,0,1,1,2,5,4,2,0,0,0,1987
64,astar,0.01,90,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,astar,0.01,90,1,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,0,50,18,23,29,28,2,0,38,6,8,19,18,16,0,36,12,31,20,15,22,2,0,31,4,19,0
66,astar,0.01,90,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0,54,0,13,49,18,8,10,64,0,39,44,10,17,8,49,17,23,11,29,27,16,0,61,0,36,0
67,astar,0.01,90,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,astar,0.01,100,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,47,0,50,0,21,35,29,0,0,66,0,26,13,16,17,0,42,5,23,18,24,26,16,5,52,0,8,0
69,astar,0.01,90,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,14,3,7,2,3,2,1,1,0,0,2,6,4,1,0,0,0,2,2,2,2,1,0,0,0,1925
70,astar,0.01,90,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,0,18,0,24,19,6,0,3,3,0,0,7,8,6,0,7,16,6,9,5,9,5,1,1,1,3,0
71,astar,0.01,90,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0,13,0,14,5,5,3,5,2,0,0,7,8,4,1,1,1,1,3,2,2,3,1,0,2,0,1781
72,astar,0.01,90,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,19,9,39,0,11,20,20,14,0,40,6,12,20,17,6,0,45,7,10,13,23,16,0,0,22,3,18,0
73,astar,0.01,90,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,2,0,4,2,1,5,2,1,2,0,2,7,5,1,1,0,1,2,1,2,2,1,0,0,0,0
74,astar,0.01,90,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29,0,89,0,28,11,40,24,0,53,0,20,25,4,27,3,64,6,11,32,17,34,11,0,43,6,22,0
75,astar,0.01,90,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,0,59,3,19,11,5,16,0,31,0,12,25,20,10,0,40,4,23,13,18,18,6,0,30,6,11,0
76,astar,0.01,90,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,15,4,14,6,1,2,2,0,0,1,7,9,5,0,0,0,1,2,1,1,2,2,0,0,0,2302
77,astar,0.01,90,1,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,0,63,0,21,21,22,0,10,53,0,24,37,34,29,0,38,9,49,29,3,21,13,9,47,5,40,0
78,astar,0.01,90,1,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,7,6,6,5,3,2,2,0,1,0,6,7,5,0,0,0,2,1,2,3,3,1,0,0,0,1147
79,astar,0.01,90,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,28,0,19,26,19,0,0,31,0,8,16,21,16,0,30,0,23,17,12,20,11,5,31,0,12,0
80,astar,0.01,100,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,0,35,0,22,17,9,0,0,34,0,23,11,21,13,0,29,0,25,15,2,30,14,0,28,9,18,0
81,astar,0.01,90,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,19,6,10,6,7,0,3,6,0,6,7,8,6,0,3,7,7,5,3,4,4,1,0,0,0,0
82,astar,0.01,90,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,8,4,5,3,1,1,2,1,0,2,3,4,3,1,0,0,0,0,1,2,2,0,0,0,0,0
83,astar,0.01,90,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,2,5,2,5,4,3,1,2,0,0,1,4,4,7,1,2,1,2,0,1,3,1,2,0,1,0,0
84,astar,0.01,90,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,2,14,0,5,8,3,4,2,1,0,2,2,8,9,0,2,1,3,3,2,2,5,1,0,1,0,1629
85,astar,0.01,90,1,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,4,46,0,18,20,22,2,0,42,0,13,26,10,27,5,30,9,17,6,18,19,0,0,50,15,28,0
86,astar,0.01,90,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,1,0,2,1,0,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0
87,astar,0.01,90,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,astar,0.01,90,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,4,11,5,9,6,4,2,2,0,0,0,8,4,7,0,0,1,3,6,2,3,3,1,0,2,0,2053
89,astar,0.01,90,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,2,1,1,2,1,2,1,0,1,0,3,2,5,0,0,0,0,1,1,1,1,1,0,0,0,0
90,astar,0.01,90,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,9,6,3,5,3,2,4,1,0,1,1,6,4,1,4,2,3,4,3,4,6,1,1,1,0,1402
91,astar,0.01,90,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,12,2,9,5,1,3,3,1,0,0,8,7,6,0,0,0,2,2,2,2,3,1,0,0,0,1825
92,astar,0.01,90,1,1,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,astar,0.01,90,1,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,4,5,1,6,5,1,3,4,1,1,0,2,10,5,0,1,2,3,5,5,4,5,1,0,0,0,17406
94,astar,0.01,90,1,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,28,0,68,0,26,12,27,0,0,60,0,8,6,9,2,8,53,0,20,36,30,19,11,3,58,0,13,0
95,astar,0.01,90,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,8,0,3,2,0,2,1,1,0,0,3,4,4,0,1,0,0,1,0,1,1,1,0,2,0,0
96,astar,0.01,90,1,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,3,0,6,2,0,1,2,0,0,0,3,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0
