inputName,size,arr[size]
values_36,21,"{80, 32, 37, 108, 109, 107, 45, 86, 58, 115, 22, 67, 71, 106, 33, 4, 5, 35, 70, 24, 23"
values_56,8,"{25, 17, 6, 87, 14, 76, 87, 111"
values_26,25,"{80, 46, 77, 103, 43, 79, 12, 54, 107, 3, 28, 100, 48, 112, 9, 111, 4, 95, 83, 65, 54, 71, 10, 52, 58"
values_43,20,"{30, 54, 53, 53, 90, 59, 97, 7, 28, 55, 112, 74, 66, 74, 105, 11, 95, 15, 78, 39"
values_52,2,"{18, 37"
values_98,18,"{68, 96, 94, 73, 92, 22, 54, 43, 69, 97, 12, 2, 108, 11, 64, 116, 5, 80"
values_61,28,"{34, 69, 13, 98, 42, 114, 103, 4, 30, 105, 106, 66, 107, 41, 113, 15, 41, 78, 49, 77, 71, 19, 104, 35, 70, 45, 90, 91"
values_44,20,"{11, 81, 75, 41, 18, 6, 87, 52, 69, 66, 73, 99, 13, 13, 8, 47, 94, 57, 30, 103"
values_68,7,"{34, 40, 55, 61, 77, 18, 31"
values_41,25,"{3, 102, 100, 84, 43, 115, 48, 15, 46, 64, 15, 74, 13, 78, 38, 101, 40, 71, 99, 107, 83, 2, 13, 88, 40"
values_85,15,"{93, 68, 29, 8, 40, 25, 17, 29, 72, 45, 116, 71, 19, 4, 29"
values_79,14,"{109, 93, 4, 114, 77, 113, 30, 104, 28, 104, 63, 10, 114, 4"
values_71,28,"{65, 94, 94, 69, 73, 100, 69, 75, 4, 90, 100, 28, 22, 74, 62, 46, 52, 48, 100, 88, 12, 24, 110, 111, 43, 93, 32, 108"
values_63,12,"{88, 91, 27, 19, 50, 116, 45, 3, 53, 72, 80, 105"
values_20,17,"{56, 39, 56, 111, 74, 113, 88, 44, 26, 52, 2, 6, 18, 35, 85, 100, 83"
values_74,7,"{101, 90, 104, 7, 102, 104, 27"
values_72,2,"{53, 66"
values_86,26,"{105, 64, 15, 5, 104, 43, 55, 65, 34, 27, 104, 79, 103, 28, 58, 106, 23, 81, 10, 64, 17, 54, 110, 65, 26, 93"
values_75,13,"{89, 12, 29, 73, 107, 33, 83, 92, 55, 63, 66, 110, 83"
values_55,18,"{80, 57, 16, 112, 52, 96, 51, 24, 51, 103, 34, 50, 14, 80, 75, 89, 93, 108"
values_14,20,"{40, 115, 84, 93, 6, 103, 56, 12, 12, 89, 96, 115, 70, 80, 64, 96, 91, 37, 61, 18"
values_47,18,"{22, 94, 20, 40, 91, 28, 47, 110, 60, 6, 110, 77, 110, 69, 30, 115, 43, 26"
values_91,19,"{2, 94, 71, 5, 102, 97, 93, 21, 2, 57, 58, 33, 101, 71, 34, 41, 65, 116, 41"
values_64,21,"{14, 98, 6, 32, 42, 8, 3, 101, 107, 33, 63, 73, 91, 52, 17, 100, 47, 26, 64, 58, 51"
values_11,28,"{6, 11, 100, 55, 78, 34, 102, 102, 18, 20, 38, 105, 27, 80, 107, 54, 74, 70, 66, 47, 9, 20, 78, 86, 77, 106, 113, 68"
values_49,13,"{89, 24, 50, 78, 31, 53, 82, 23, 65, 83, 98, 105, 31"
values_62,2,"{99, 56"
values_80,20,"{81, 105, 73, 82, 19, 44, 77, 98, 39, 33, 114, 75, 90, 21, 16, 19, 33, 50, 71, 44"
values_39,7,"{59, 21, 89, 72, 82, 31, 18"
values_90,20,"{6, 2, 101, 85, 9, 113, 40, 71, 79, 59, 97, 58, 92, 28, 79, 111, 106, 31, 80, 36"
values_53,8,"{83, 43, 5, 33, 68, 64, 82, 29"
values_94,13,"{22, 104, 85, 71, 36, 52, 20, 54, 81, 116, 116, 31, 89"
values_7,12,"{60, 113, 36, 3, 70, 65, 112, 100, 34, 95, 106, 12"
values_31,3,"{108, 45, 27"
values_93,14,"{66, 31, 44, 115, 98, 111, 22, 52, 86, 54, 35, 26, 77, 17"
values_38,15,"{100, 89, 34, 60, 64, 103, 11, 10, 41, 43, 68, 88, 49, 78, 30"
values_58,10,"{102, 101, 108, 49, 113, 13, 25, 95, 79, 2"
values_78,4,"{86, 91, 34, 78"
values_50,28,"{66, 64, 5, 43, 107, 107, 113, 62, 99, 19, 114, 61, 96, 85, 53, 65, 23, 7, 105, 103, 21, 8, 8, 4, 96, 82, 114, 109"
values_3,15,"{27, 95, 86, 60, 66, 41, 105, 84, 48, 34, 33, 103, 24, 36, 40"
values_13,20,"{92, 104, 82, 109, 6, 98, 113, 78, 52, 56, 102, 103, 55, 73, 37, 14, 100, 57, 115, 93"
values_83,22,"{48, 57, 19, 52, 70, 53, 71, 20, 111, 2, 101, 10, 71, 15, 42, 20, 112, 111, 102, 95, 95, 12"
values_1,20,"{103, 37, 108, 27, 20, 4, 66, 57, 104, 36, 34, 77, 11, 24, 86, 95, 56, 43, 111, 110"
values_21,7,"{11, 74, 48, 30, 46, 83, 111"
values_32,17,"{38, 111, 4, 22, 109, 84, 13, 19, 112, 70, 99, 65, 7, 4, 68, 28, 88"
values_22,12,"{96, 98, 63, 44, 49, 60, 83, 109, 73, 71, 36, 79"
values_9,8,"{22, 115, 61, 31, 55, 15, 114, 30"
values_6,18,"{99, 93, 48, 112, 64, 49, 96, 105, 108, 14, 70, 109, 16, 69, 74, 104, 22, 15"
values_76,26,"{65, 111, 104, 51, 33, 12, 85, 34, 23, 15, 85, 25, 35, 73, 101, 16, 60, 37, 73, 34, 79, 94, 95, 26, 104, 31"
values_18,19,"{63, 95, 29, 112, 43, 116, 95, 87, 42, 80, 12, 61, 8, 79, 113, 72, 84, 18, 54"
values_16,17,"{63, 12, 92, 108, 13, 95, 71, 107, 91, 51, 98, 37, 78, 36, 33, 29, 36"
values_40,22,"{75, 71, 58, 4, 77, 115, 99, 80, 116, 21, 115, 46, 38, 11, 67, 23, 15, 28, 95, 11, 51, 75"
values_2,5,"{81, 107, 14, 84, 11"
values_60,21,"{32, 71, 33, 84, 107, 90, 68, 67, 2, 32, 34, 110, 81, 76, 50, 48, 107, 108, 108, 44, 102"
values_99,24,"{85, 74, 18, 55, 28, 30, 12, 24, 25, 26, 85, 79, 49, 56, 39, 74, 18, 30, 44, 86, 53, 97, 87, 65"
values_48,5,"{10, 28, 16, 45, 99"
values_69,19,"{31, 100, 57, 27, 86, 93, 76, 5, 115, 33, 69, 76, 110, 13, 68, 58, 20, 89, 46"
values_46,6,"{94, 76, 61, 104, 97, 80"
values_24,15,"{116, 46, 4, 30, 56, 75, 31, 17, 103, 29, 18, 115, 77, 63, 22"
values_95,28,"{55, 75, 108, 95, 60, 52, 42, 70, 72, 89, 55, 38, 79, 80, 53, 88, 44, 95, 29, 39, 42, 99, 46, 89, 95, 67, 70, 78"
values_42,11,"{27, 53, 80, 76, 75, 113, 42, 51, 40, 54, 54"
values_37,25,"{17, 43, 14, 101, 39, 19, 26, 35, 115, 56, 75, 57, 65, 98, 61, 112, 49, 99, 113, 18, 50, 80, 3, 46, 17"
values_10,15,"{99, 99, 49, 84, 114, 32, 5, 78, 107, 94, 65, 21, 115, 33, 22"
values_67,3,"{93, 29, 41"
values_35,3,"{110, 31, 101"
values_30,8,"{86, 90, 34, 106, 57, 99, 66, 20"
values_4,27,"{89, 82, 91, 95, 97, 54, 52, 60, 110, 10, 38, 79, 105, 85, 13, 27, 38, 79, 19, 94, 87, 7, 37, 40, 107, 39, 80"
