inputName,n,arr[n]
values_29,24,"{40, -16, 52, 76, -123, 105, 48, -92, -44, -85, 112, -84, -116, -6, 48, 75, -1, -56, -99, 121, 109, -58, 74, 26"
values_51,5,"{79, 0, 55, 115, 75"
values_57,7,"{26, 50, 40, 18, -13, 101, -96"
values_88,19,"{-116, 56, 43, -90, -102, 14, 123, -62, 37, 39, 124, 60, 107, 71, 58, 73, 67, 117, -61"
values_23,15,"{65, 100, 63, -18, 66, 12, -69, 96, -73, 37, 56, 38, 80, -47, -99"
values_45,10,"{125, -84, 21, 92, -127, 43, 24, -127, 107, -50"
values_66,25,"{74, -61, -27, 116, 55, -67, 87, 81, 109, 33, -11, -125, 100, 99, -72, -96, -61, -89, -70, 19, -67, 80, -49, 5, 127"
values_36,5,"{-43, -85, -11, 112, -36"
values_56,25,"{-50, -21, -2, 119, -54, 49, 62, 9, 92, -93, 86, 45, -17, -104, -34, -71, 90, -89, -13, 123, -63, 19, -121, 19, 35"
values_26,10,"{-11, 124, 43, 54, -76, -47, 26, -10, -98, 81"
values_43,21,"{93, 82, 91, -57, 63, 10, -27, -99, -105, 21, 14, -8, 2, 57, 102, 41, -1, -126, 93, 10, -66"
values_52,25,"{18, -18, 28, 24, -65, -16, 22, 57, 20, 103, 63, -79, 11, 34, 45, -52, 102, -109, 118, 84, 65, -52, -102, 5, 14"
values_98,18,"{-53, -24, -30, 118, -108, 71, 9, 44, 101, 94, 100, -60, -67, -11, 25, -108, 54, -125"
values_61,12,"{39, -83, 25, 111, -26, -84, 41, 8, 58, 112, -7, -25"
values_44,10,"{59, -96, 13, -93, -55, 79, -36, -31, -6, -124"
values_68,8,"{-85, 43, 113, -44, 90, 43, -121, 123"
values_41,23,"{-23, -10, -60, -116, -122, 51, 65, -61, -59, -13, -96, 71, 5, 77, 70, -89, -23, 87, -24, 74, 99, 58, 85"
values_85,12,"{-82, -84, -43, 39, -81, -50, -98, 124, -88, 32, 10, -98"
values_79,27,"{54, 42, -96, 18, -95, -118, -71, -16, 75, -66, 106, -79, -70, 97, 111, -109, 24, 61, -84, -6, 91, 66, 40, 45, 5, -60, 0"
values_71,21,"{15, 116, -117, -12, 126, -44, -112, 19, 106, 47, 17, 62, -59, 56, -73, -17, -75, 93, -43, -52, -50"
values_63,14,"{51, 41, 58, -87, -30, -8, -98, -23, 20, 100, -69, 109, 76, 95"
values_20,28,"{109, 117, -64, -9, -1, 124, -67, -113, -4, 17, 48, 36, 79, -98, 67, 80, -117, 101, 115, 0, -28, -68, 61, -39, -54, 46, -43, 54"
values_74,8,"{0, 113, -52, -15, -8, -1, -6, -20"
values_72,8,"{74, 43, 120, -105, -66, 80, -23, 102"
values_86,5,"{-25, 56, -93, -44, -7"
values_75,25,"{-18, -87, 50, 96, -87, -6, -15, 52, -53, -23, -64, 104, -11, -37, -21, 90, 35, -70, -28, 13, 78, -9, 127, 50, -119"
values_55,15,"{-120, -75, 77, 22, 108, 12, -98, -3, 125, -29, 86, 71, -2, 107, 80"
values_14,7,"{77, 30, 8, -6, -95, 7, -87"
values_47,16,"{34, -3, -81, 69, -116, 113, 6, 108, -115, 116, 94, 21, -5, 25, -33, -9"
values_91,5,"{-94, 80, 34, 31, -12"
values_64,9,"{31, -122, 7, 23, -48, 35, -73, 48, -111"
values_11,8,"{-118, 71, -14, 20, 77, -4, -29, 76"
values_49,17,"{-80, 79, -100, -71, -117, 87, -119, -26, 1, 53, -98, 19, 43, 124, 0, -114, -10"
values_62,15,"{-73, 59, -15, -16, 41, -121, 71, -103, -114, -2, 29, -64, 109, -125, -49"
values_80,7,"{-96, -126, -51, 1, -119, -2, 45"
values_39,28,"{101, -40, 65, 125, -56, -22, -56, -95, 74, -68, 127, -71, -72, 77, -125, -45, 82, 26, -3, 75, -116, 92, -116, 24, -79, 67, 45, 23"
values_90,9,"{69, 60, -92, -119, -21, -72, 32, 2, -88"
values_53,19,"{52, 44, -35, -83, -39, 89, -36, 36, -23, 68, 26, -115, 20, 33, 52, -85, -22, 103, 82"
values_94,28,"{-14, 13, -13, -38, -101, 73, -56, 116, 32, -30, 64, 79, 26, 85, 55, -53, -118, 121, -46, -10, -105, -120, 98, 4, -60, -37, -53, -48"
values_7,14,"{61, 53, 26, 108, -92, -92, 33, 2, -30, 30, 100, 25, -68, -97"
values_31,2,"{94, -114"
values_93,15,"{-125, 84, 54, 7, -79, 89, -52, -23, 76, 111, 37, -126, -4, -3, -24"
values_38,18,"{101, 114, -5, -46, 104, -53, -123, -63, 125, 54, -78, 93, -126, 79, -9, -83, 33, 90"
values_58,3,"{12, -127, 38"
values_78,20,"{121, -110, 33, 93, 3, 22, -32, -87, 16, -39, 100, 113, 57, -37, -126, 9, 11, 32, 116, 115"
values_50,12,"{-10, 109, 127, 69, -63, -114, 41, -52, -118, 114, 88, 105"
values_3,11,"{-41, -7, 64, 26, 36, 40, -108, -13, 21, -111, -101"
values_13,27,"{-19, -89, -121, 52, -102, -3, 19, -6, -78, -26, 29, -31, 75, 85, -69, -65, -11, -121, -15, -82, 26, 6, -121, 44, 30, 37, 47"
values_83,22,"{22, -9, 70, -15, 116, -116, 49, 52, -110, -46, -106, 62, 22, -44, 14, -93, 40, 33, 75, -54, -56, -96"
values_1,21,"{-114, -89, -11, 74, -121, -20, 122, -73, -114, 93, 89, -82, -62, 94, 96, 80, -56, -127, -58, -62, -39"
values_21,9,"{90, -90, 82, 85, 18, 38, 127, -81, -82"
values_32,15,"{73, -75, -50, 2, 23, 85, 116, -16, -18, 25, 62, 51, -75, -56, 45"
values_22,8,"{85, 109, 34, -8, -51, -112, -121, -79"
values_9,19,"{-62, -83, 39, -110, -89, 80, 25, -106, -94, 95, 115, -107, 50, -113, 51, 50, -37, 61, 15"
values_6,4,"{1, -112, 55, -64"
values_76,22,"{-69, -14, 75, -108, -117, 22, -12, 1, 23, -25, -105, -35, -80, -109, 21, 74, -118, -60, 55, 65, -25, -70"
values_18,11,"{-16, 76, 29, 42, -117, 69, 66, 83, 68, 96, -86"
values_16,4,"{-71, 96, -104, -104"
values_40,11,"{-46, 78, 37, -100, 106, -55, 46, -60, 30, -115, 117"
values_2,24,"{-71, 11, 59, 33, 16, 90, 119, -48, -6, -26, 124, 80, -35, -12, -125, -24, -43, -32, 114, -89, 119, -98, -10, 51"
values_60,6,"{30, 75, -108, -58, 29, -41"
values_99,19,"{-117, 77, -95, 103, 78, -108, -68, 119, 65, -48, -76, -26, 24, -53, -107, 32, 26, -19, 44"
values_48,12,"{-28, 126, 54, -107, -120, -112, 61, -106, 85, -44, 88, -65"
values_69,23,"{-25, 124, -117, 21, -26, 41, 78, 38, 82, 25, 27, -118, -51, -105, 71, 24, 40, 62, -3, -106, -85, -58, -120"
values_46,23,"{-115, 89, 20, 48, -117, 28, 82, 25, -85, 124, -124, -72, -9, 12, -1, 98, 118, 27, -60, -15, 72, -29, 122"
values_24,4,"{-116, -14, -19, 4"
values_95,14,"{-27, -99, 123, -27, -37, 57, 91, 82, -3, 99, 116, -10, 85, -11"
values_42,16,"{81, -116, 126, -118, 29, 19, -84, 101, -122, -13, -35, -94, -114, 81, -109, 93"
values_37,8,"{117, 54, -115, -7, 87, -19, 105, -113"
values_10,23,"{33, -126, 68, 31, -67, -94, -82, -112, -100, -121, 112, 33, 86, 77, -62, 41, 61, 73, -38, 50, 82, -104, 92"
values_67,9,"{-99, 62, -125, -122, -55, 15, 85, 55, 122"
values_35,14,"{122, -3, -12, -42, -25, -127, 119, 31, -121, 97, 82, -47, 120, 15"
values_30,14,"{116, 104, -88, -97, -6, 23, 70, 71, 34, 59, 109, -19, 29, -17"
values_4,4,"{12, 70, -54, 12"
