inputName,n,arr[n]
values_90,26,"{-97, 76, 44, -48, -81, -87, 77, 79, -116, -64, -10, 67, 74, 8, -39, -36, -32, 40, 123, -87, -71, 37, -99, 28, -123, 127"
values_53,16,"{80, 104, 58, -1, -56, 32, -121, 92, -1, -9, -100, -40, 21, 125, -78, 87"
values_94,11,"{11, 66, -14, 20, 101, -117, 110, -33, -31, 76, -67"
values_7,10,"{19, 7, -55, -111, -64, 27, 102, -82, 20, 65"
values_31,13,"{-72, -118, 83, -18, 89, -122, 42, 69, 48, -14, -75, 96, -28"
values_93,17,"{94, 7, 49, 59, -99, -84, -7, -76, 8, -107, 41, -30, -67, -18, -54, 52, -85"
values_38,20,"{49, -44, 113, -10, -74, -122, -70, -72, 100, -93, 13, -95, 68, -91, 30, -12, 56, 109, 22, 23"
values_58,22,"{24, -84, 25, 9, 127, 26, -28, 105, 96, 47, 87, 37, -36, -51, 77, -29, 6, -72, -106, -91, 114, -45"
values_78,16,"{40, 53, -58, -13, -18, -29, -112, -97, -13, -99, 30, 111, 79, -2, -81, -26"
values_50,13,"{-14, -38, -56, -46, 17, 28, -100, 60, -40, -6, 82, -93, -81"
values_3,10,"{-29, 51, -68, 84, 76, 37, -63, -38, -52, -9"
values_13,26,"{30, 121, -71, -101, -85, 83, 19, -27, -93, 73, 17, -84, -1, -38, 1, 120, -83, 91, -75, -121, 116, -36, -54, -26, -75, -67"
values_83,10,"{113, 104, -15, 47, 41, -86, 123, -102, 79, 8"
values_1,19,"{-71, 16, 76, 84, -77, 117, 16, 6, -64, 43, 61, 89, -109, -8, -1, 123, -102, -103, 89"
values_21,25,"{2, -48, -118, -88, 99, -126, -121, 30, -17, -92, 56, -123, 107, 26, 44, 81, -60, -52, -103, 19, -107, 103, -29, -66, -51"
values_32,2,"{-113, 27"
values_22,12,"{44, 23, -38, -56, -55, -5, 110, 71, 25, -25, 71, 96"
values_9,19,"{65, 64, -67, 23, -124, -98, -67, -69, 30, -94, -26, -87, 37, 46, 106, -67, -127, 36, -69"
values_6,23,"{9, 99, 101, -110, -82, 32, 22, 55, 16, 86, -16, 8, 124, 33, 76, -110, -1, 41, 39, -72, 77, -53, -76"
values_76,20,"{41, 7, -88, 5, 1, -115, -44, 5, -3, -120, -78, 70, 72, 4, -52, 91, -103, 38, -53, 74"
values_18,25,"{-47, -94, -41, -102, -112, -114, 113, 6, -33, -27, -13, -69, -119, 3, -71, 124, -109, -26, 83, 99, -77, -35, 7, 110, -57"
values_16,20,"{27, -77, 79, 100, 91, -34, -54, 78, -58, -2, -102, 111, 117, -92, 67, 91, -41, -108, 46, 19"
values_40,23,"{-81, 21, -75, -96, 99, 98, 114, 60, -81, -94, -124, -82, -126, 104, 108, -87, -7, 56, -105, -19, -99, -100, 68"
values_2,6,"{-39, 80, 43, -122, 46, -56"
values_60,26,"{14, -30, 78, -62, -125, -55, 79, 6, -118, -11, 80, 34, -121, -36, -74, -11, -85, 21, 53, 69, 29, -14, -117, 78, -43, -58"
values_99,12,"{96, 30, -3, 27, -28, 17, -69, -31, 119, 103, -55, 97"
values_48,3,"{81, -75, 68"
values_69,23,"{90, -18, 76, 73, -93, -43, 77, -119, 41, 15, -69, 48, 94, 115, 69, 113, -5, -6, 5, 33, -48, 7, 92"
values_46,14,"{54, 14, -116, 5, 14, 91, -101, 108, 75, 120, 93, 29, 33, -109"
values_24,10,"{101, 39, 51, 42, 74, 124, -25, -118, 77, -7"
values_95,9,"{57, -12, 70, -52, -117, -100, -64, 119, 126"
values_42,6,"{113, -59, 74, 101, 76, -72"
values_37,19,"{100, 109, 50, 71, -6, -36, -65, -45, -91, -18, -63, 52, -66, -99, 102, -94, -120, 87, -117"
values_10,15,"{1, -32, -76, 20, -49, -34, -9, -127, 83, -17, -88, -123, -103, 56, -7"
values_67,12,"{-93, -23, -55, 55, -71, 56, -15, 73, -33, -82, -124, 46"
values_35,4,"{112, -105, 34, -26"
values_30,26,"{47, 109, -43, 125, 121, -52, -77, -78, 108, -6, 24, 112, 4, -61, 102, 96, -30, 27, -15, -14, 107, 74, 78, 72, 8, -110"
values_4,11,"{-108, 99, 30, -108, -73, -117, 118, 89, 31, 60, -43"
