inputName,nn,size,isign,data[size]
values_41,9,8,1,"{-24, -67, -74, 98, -27, -118, -26, -125"
values_85,3,8,0,"{35, 72, -80, 12, 76, -85, -110, -1"
values_79,3,6,1,"{-84, 16, -36, -91, 27, 95"
values_71,2,3,1,"{54, 12, -75"
values_63,2,8,1,"{79, 2, -113, 116, -22, -69, 90, -75"
values_20,3,3,0,"{25, 69, 113"
values_74,2,3,1,"{115, 19, 74"
values_72,2,3,-1,"{43, 76, 19"
values_86,3,8,1,"{-73, -29, -40, 83, -112, -17, -49, -40"
values_75,3,6,0,"{-91, -116, 68, -78, -19, -26"
values_55,2,6,0,"{-84, -125, 56, -70, -103, -94"
values_14,3,8,1,"{82, -34, -86, 70, 17, -23, 6, 11"
values_47,9,3,-1,"{-83, 21, -48"
values_91,3,8,1,"{101, 65, 122, 90, -79, -124, -35, 61"
values_64,2,8,1,"{68, -120, 66, 7, -70, -113, -58, -95"
values_11,3,8,1,"{75, 44, 18, -29, 71, -80, -66, -94"
values_49,9,3,1,"{-51, -23, 11"
values_62,2,8,-1,"{-4, 79, -53, -99, 72, -92, -114, -77"
values_80,3,6,0,"{66, -3, -34, -46, -76, -25"
values_39,9,8,1,"{-39, 117, -19, 88, 86, -19, -125, 29"
values_90,3,8,0,"{-68, -12, 100, -44, -21, -23, -12, 21"
values_53,2,6,1,"{-50, 112, 68, -73, -37, -64"
values_94,3,8,1,"{-40, -3, -89, -71, -124, -80, 115, 117"
values_7,3,6,-1,"{15, 121, -54, -115, 25, 118"
values_31,9,6,1,"{99, 42, -75, 76, 101, 34"
values_93,3,8,1,"{12, 64, -20, -5, 57, -78, -80, -113"
values_38,9,8,1,"{78, 23, 86, -118, -53, 63, -99, -17"
values_58,2,6,1,"{-33, 26, -72, 8, 86, 112"
values_78,3,6,1,"{124, 111, -98, 39, 102, -35"
values_50,2,6,0,"{-53, -34, -54, -38, 85, -101"
values_3,3,6,1,"{28, 51, -78, -47, 36, -54"
values_13,3,8,1,"{43, -40, 93, 125, 89, 111, 49, -77"
values_83,3,6,1,"{-97, -88, 48, 4, -57, -90"
values_1,3,6,1,"{-22, 63, 46, 55, 83, 56"
values_21,3,3,1,"{-12, -1, 1"
values_32,9,6,-1,"{75, 92, 51, 104, -43, 101"
values_22,3,3,-1,"{-107, 18, -92"
values_9,3,6,1,"{118, -13, -111, 67, 0, 124"
values_6,3,6,1,"{94, -125, -43, -12, -7, 89"
values_76,3,6,1,"{-64, -46, -100, 64, 82, -95"
values_18,3,8,1,"{-17, -76, -17, -4, 56, 43, -59, -1"
values_16,3,8,1,"{-56, -119, -15, 72, 4, 45, 21, 114"
values_40,9,8,0,"{8, -18, 116, 48, -38, 5, 73, -122"
values_2,3,6,-1,"{-58, 4, -43, -7, -36, 115"
values_60,2,8,0,"{126, 79, -34, 50, 82, -48, -44, 48"
values_99,3,3,1,"{116, 92, 109"
values_48,9,3,1,"{-117, 19, 119"
values_69,2,8,1,"{5, -75, 85, 23, 74, -37, 110, 29"
values_46,9,3,1,"{89, 16, -73"
values_24,3,3,1,"{-90, -47, 39"
values_95,3,3,0,"{36, 58, -78"
values_42,9,8,-1,"{33, -32, 52, -40, 109, -80, 13, -15"
values_37,9,8,-1,"{43, 8, -31, -110, 62, 9, -7, 122"
values_10,3,8,0,"{113, -75, 124, -106, -120, 126, -66, -97"
values_67,2,8,-1,"{106, 96, -98, -85, 19, 70, -35, -120"
values_35,9,8,0,"{69, 29, -44, 45, -73, -122, -96, -63"
values_30,9,6,0,"{3, 14, -54, -112, -51, -71"
values_4,3,6,1,"{-93, 40, -53, 46, -96, -77"
