inputName,n,arr[n]
values_98,22,"{-52, 48, 4, 97, 50, -126, -119, -13, -40, -28, 15, -24, 4, 90, -86, -52, 56, -78, -9, 92, 3, -39"
values_61,9,"{-93, 14, 26, 68, 62, -22, -9, -27, -54"
values_44,8,"{115, 122, -110, -52, 100, -126, -65, -73"
values_68,11,"{-54, -94, 44, 45, 80, -124, 47, 52, -53, 9, 46"
values_41,11,"{-120, -78, -79, 38, 32, 58, -54, 98, -18, -79, -104"
values_85,21,"{-125, -127, -33, 108, 125, 36, -85, -25, 126, -114, -13, -1, 20, 53, -36, 10, -40, 90, 113, 115, 54"
values_79,5,"{101, -60, -119, 111, -48"
values_71,24,"{-10, 0, -61, -47, 120, -92, -3, 122, 3, 36, 39, 15, 13, 92, -52, -118, -8, 37, 99, -62, 126, -70, -102, 36"
values_63,10,"{22, 38, -48, 55, 109, -5, -95, -119, 106, -56"
values_20,23,"{49, 66, -95, -1, -55, 126, 119, -59, 10, -13, -96, 1, -107, -97, 126, -55, -12, -48, -79, -21, 104, -102, -5"
values_74,19,"{63, -24, 75, -3, -57, 52, -93, 56, -87, -80, 47, 61, 7, 68, -53, -43, 125, -62, -44"
values_72,8,"{-26, -71, 12, -127, 103, -89, -1, -66"
values_86,18,"{72, -48, -47, -63, 109, -3, -68, 95, -69, -28, -106, 123, 23, 120, 113, 124, -104, -23"
values_75,22,"{19, 113, 67, 48, 125, -100, -99, -89, -60, 93, -31, -38, -6, -105, 39, 36, -64, -100, -56, 78, 23, 35"
values_55,25,"{66, -77, 8, 12, 96, -64, -93, 40, 30, 34, -52, 2, 37, -34, -11, -120, 121, 2, 48, -116, 79, -9, 110, 120, -76"
values_14,6,"{-35, 66, -6, 45, -121, -43"
values_47,25,"{-118, -17, -120, 116, -121, 62, 62, 28, 126, -55, -31, -86, -42, 111, -108, 80, 79, -60, 84, 18, -87, -62, 2, -48, 12"
values_91,11,"{41, 12, 8, 37, -39, -9, 34, -23, 67, 5, 64"
values_64,16,"{49, -22, -25, 114, 46, -88, 2, -27, 18, -11, 83, -43, 94, -32, -112, 39"
values_11,8,"{104, -78, -113, -91, -90, 77, -114, 89"
values_49,14,"{69, -66, -26, 57, 103, 97, -11, 6, -113, -52, -62, -28, -117, 80"
values_62,5,"{-120, -93, 90, -69, 21"
values_80,11,"{34, 66, -84, -48, 100, -38, -110, 33, -108, -11, -4"
values_39,22,"{-33, -23, -107, 88, 40, 1, -87, -116, 73, 54, 28, 1, -18, 32, 30, 21, 82, -57, -62, -121, 14, -7"
values_90,5,"{59, 40, 53, -75, 115"
values_53,24,"{-116, -61, 9, -64, -15, 9, 84, -106, -17, -100, -85, 77, 114, -11, 10, 41, 11, 125, 29, -63, -54, 76, 55, 13"
values_94,19,"{19, 74, 42, -36, 15, 34, -120, -115, -102, -84, 25, 116, -15, 77, 25, -88, 53, -13, 40"
values_7,7,"{92, -84, -74, 3, -2, -61, -29"
values_31,8,"{-19, 73, 80, -34, -83, 43, -122, 127"
values_93,17,"{30, 0, -82, 8, 66, 25, 89, -10, -22, 20, -102, -109, 113, 110, 81, -69, 110"
values_38,20,"{105, -120, 24, 125, -75, 91, 48, 41, -23, -30, 17, -56, -116, -60, 42, -83, 92, 115, -22, 93"
values_58,2,"{77, 80"
values_78,27,"{55, 118, 98, -70, 5, 13, -65, 76, -20, -47, 14, -121, -95, 28, -13, -107, -68, -7, -11, 80, -17, 88, 65, -77, -8, 103, -2"
values_50,13,"{-54, 56, 35, -122, 85, 110, -112, -27, -8, 106, -120, -46, 65"
values_3,23,"{42, 56, 82, 98, 79, -115, -8, -13, 56, -71, -28, -17, -40, 53, 66, 19, 108, -95, 35, 44, -29, -98, -12"
values_13,27,"{68, 68, 35, 78, -121, -5, 107, 126, 82, 29, -123, -31, -48, 125, -119, 23, -110, 70, -72, -62, -83, -99, -60, -79, 35, -33, -92"
values_83,25,"{-48, 60, -69, 84, 122, -2, 85, -111, 103, 19, -112, 11, -37, -118, -30, -84, 58, -126, -15, -33, 47, -20, -100, -109, 114"
values_1,5,"{-33, 84, -14, -14, -20"
values_21,22,"{-123, -25, 23, -70, 111, -99, -35, 24, -76, -118, -68, 77, 0, 12, 45, 25, -1, -37, 29, 115, 103, 99"
values_32,15,"{79, -70, -124, -81, 115, 110, 91, 2, -99, -8, 57, -127, 42, 64, 16"
values_22,16,"{-34, 93, -28, 11, 62, -83, -72, 34, -97, 41, 88, 20, -89, 72, -17, 118"
values_9,8,"{33, -104, -13, 41, -45, -30, 92, 81"
values_6,15,"{2, 4, -22, 5, -4, -19, 91, 34, -64, 33, 95, -9, -107, 4, 5"
values_76,23,"{94, 98, 63, -32, 38, -75, -54, -110, -64, -121, 44, -91, 7, 109, 11, 61, 105, 106, -44, 115, 60, 37, -7"
values_18,13,"{-38, 58, 104, 84, -29, 122, 31, -90, 76, -123, 100, 107, -25"
values_16,27,"{-44, 5, 94, 76, -112, -100, -30, 84, 77, -63, 62, -25, -9, -127, -112, -92, 62, -73, 23, 18, -104, -43, 103, 99, -48, -20, -121"
values_40,7,"{106, 18, 101, -113, -107, 77, -28"
values_2,16,"{68, 115, -92, 9, 51, -127, -2, 110, -65, -121, -40, 105, 109, 107, -93, 109"
values_60,6,"{-108, 43, 15, 77, -7, -120"
values_99,27,"{27, 102, -103, -42, 22, 92, 1, 96, 39, -69, 20, -40, -106, -62, -52, -117, -9, 17, 83, 26, -33, -89, 78, -50, -47, 109, -127"
values_48,2,"{-101, 40"
values_69,5,"{-1, -1, -32, -127, 25"
values_46,26,"{78, 23, 9, 47, -43, 46, -70, -66, -81, 40, 72, -71, -69, -103, -123, -125, -17, 0, -56, 86, -10, -112, 76, 55, 15, -33"
values_24,9,"{100, 84, -15, -8, -5, -89, 94, 63, -74"
values_95,21,"{-7, 47, -93, 85, -22, 88, -7, -52, 0, 125, -61, -105, 124, 100, 54, 45, 102, -41, -86, -76, -12"
values_42,28,"{-120, -86, -46, -97, -20, 27, -14, -75, -58, -89, -121, 122, 54, -96, -69, -10, 14, -107, 19, 30, -79, -103, -56, -105, 6, -51, 122, -103"
values_37,23,"{31, 122, 33, 123, 61, -108, -119, 115, 51, -60, 38, 99, 52, -3, -116, -20, -101, -14, -53, 52, -73, -79, -39"
values_10,11,"{-91, -117, 42, -46, -28, -69, -56, -17, -7, -91, 113"
values_67,9,"{41, -75, -77, 52, 104, -45, -16, 122, 38"
values_35,24,"{-45, 27, -45, 34, -62, -122, -28, 103, -82, -32, -103, 98, 43, 71, 41, 124, -121, -63, -56, -119, -127, 125, 36, 0"
values_30,25,"{-127, -86, -41, 85, -60, -68, 27, -116, 121, -56, -5, -112, 96, -15, 46, -53, -72, -117, -31, 102, 88, -53, 29, 102, -65"
values_4,27,"{13, -31, -26, -7, 33, 45, -86, 77, 113, 4, 10, -105, -40, 97, 102, -97, -65, -110, 60, -37, 2, -73, 29, -118, 109, -62, -93"
